Nodo,X,Y,N,P,K,pH,T,Hv,CE
1,587212.458,517583.952,18,26,52,7.47,20.9,16.4,265
2,587210.547,517582.34,21,29,59,7.37,20.9,14.8,298
3,587208.636,517580.728,14,20,41,7.58,20.9,15.2,207
4,587206.725,517579.116,22,30,61,7.56,20.5,16.2,308
5,587204.814,517577.504,14,20,41,7.67,20.5,15.8,207
6,587202.903,517575.892,17,24,49,7.43,20.5,14.8,248
7,587200.992,517574.28,18,25,51,7.4,20.5,16.7,258
8,587199.081,517572.668,12,17,35,7.64,20.5,17,177
9,587197.17,517571.056,21,30,61,7.56,20.1,15.4,308
10,587195.26,517569.444,22,31,63,7.47,20.5,15.7,314
11,587193.349,517567.832,23,32,65,7,20.5,16.8,322
12,587191.438,517566.22,7,10,20,7,20.5,16.7,100
13,587189.527,517564.608,12,18,36,7.32,20.5,13.7,182
14,587187.578,517562.853,21,30,60,7,20.5,12,299
15,587190.286,517559.643,11,15,31,7.24,20.5,19.1,157
16,587192.235,517561.398,20,28,56,6.63,20.5,14.1,280
17,587194.146,517563.01,3,4,9,6.68,20.5,11.8,60
18,587196.057,517564.622,12,18,36,7,21.3,14.4,181
19,587197.968,517566.234,13,18,37,7.44,21.3,15.3,188
20,587199.879,517567.846,6,9,18,7.48,21.9,16.3,89
21,587201.789,517569.458,17,23,47,7.71,21.3,14.7,239
22,587203.7,517571.07,19,28,56,7.76,21.3,15.9,280
23,587205.611,517572.682,12,17,35,7.72,21.3,15.6,175
24,587207.522,517574.294,19,26,53,7.77,21.3,12.6,263
25,587209.433,517575.906,19,26,53,7.55,21.3,12.9,267
26,587211.344,517577.518,21,29,59,7.56,21.7,12.9,299
27,587213.255,517579.13,15,22,44,7.77,22.5,17,223
28,587215.166,517580.742,14,19,39,7.67,22.9,11.6,198
