Nodo,Experimental_Unit,Lote,Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,Omission_public,Replication,Area_m2,Public_treatment_code,Public_unit_code,X,Y,Geometry_status,Observation_status,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia
1,L2_NODE_01,Lote_2,T4-A,T4,A,100,Sin K,Minus_K,1,4,D100_Minus_K,D100_Minus_K_R1,587212.895,517579,Point_available,Observed,8.666666666666666,28.53333333333333,3.3555555555555556,0.7,4900,4100,1200
2,L2_NODE_02,Lote_2,T6-A,T6,A,100,Sin Fe,Minus_Fe,1,4,D100_Minus_Fe,D100_Minus_Fe_R1,587211.104,517578,Point_available,Observed,8.333333333333334,39.13333333333333,3.2999999999999994,0.69,5500,4100,1000
3,L2_NODE_03,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,1,4,D100_Minus_Cu,D100_Minus_Cu_R1,587208.994,517576,Point_available,Observed,7.333333333333333,39.9,3.3444444444444446,0.7,5400,4200,940
4,L2_NODE_04,Lote_2,T3-B,T3,B,75,Sin P,Minus_P,1,4,D75_Minus_P,D75_Minus_P_R1,587207.025,517574,Point_available,Observed,7.666666666666667,48.333333333333336,3.3000000000000003,0.66,6100,4400,1400
5,L2_NODE_05,Lote_2,T1-B,T1,B,75,Completo,Complete,1,4,D75_Complete,D75_Complete_R1,587204.915,517572,Point_available,Observed,8,46.5,3.077777777777778,0.68,5800,4400,1600
6,L2_NODE_06,Lote_2,T2-B,T2,B,75,Sin N,Minus_N,1,4,D75_Minus_N,D75_Minus_N_R1,587202.983,517570,Point_available,Observed,5.666666666666667,44.43333333333334,3.3333333333333335,0.65,4100,4100,1500
7,L2_NODE_07,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,2,4,D100_Minus_Cu,D100_Minus_Cu_R2,587201.014,517569,Point_available,Observed,6.666666666666667,44.699999999999996,3.1333333333333337,0.7,3400,4400,1200
8,L2_NODE_08,Lote_2,T4-A,T4,A,100,Sin K,Minus_K,2,4,D100_Minus_K,D100_Minus_K_R2,587198.948,517567,Point_available,Observed,5.666666666666667,42.63333333333333,2.888888888888889,0.69,3800,4400,1400
9,L2_NODE_09,Lote_2,T0-A,T0,A,100,Control,Control,2,4,D100_Control,D100_Control_R2,587197.023,517566,Point_available,Observed,4.666666666666667,46.46666666666667,3.333333333333334,0.66,3600,4200,1600
10,L2_NODE_10,Lote_2,T3-B,T3,B,75,Sin P,Minus_P,2,4,D75_Minus_P,D75_Minus_P_R2,587194.69,517564,Point_available,Observed,6.333333333333333,48.800000000000004,3.2777777777777786,0.69,5400,4700,1700
11,L2_NODE_11,Lote_2,T8-B,T8,B,75,Sin Mn,Minus_Mn,2,4,D75_Minus_Mn,D75_Minus_Mn_R2,587193.167,517562,Point_available,Observed,6,41.13333333333333,3.222222222222222,0.7,5900,4500,2000
12,L2_NODE_12,Lote_2,T7-B,T7,B,75,Sin Zn,Minus_Zn,2,4,D75_Minus_Zn,D75_Minus_Zn_R2,587191.101,517561,Point_available,Observed,5.666666666666667,47.86666666666667,3.2222222222222223,0.69,5400,4900,1800
13,L2_NODE_13,Lote_2,T0-A,T0,A,100,Control,Control,3,4,D100_Control,D100_Control_R3,587189.132,517559,Point_available,Observed,7.666666666666667,44.333333333333336,3.3111111111111113,0.67,2800,4300,1000
14,L2_NODE_14,Lote_2,T11-A,T11,A,100,Sin Mo,Minus_Mo,3,4,D100_Minus_Mo,D100_Minus_Mo_R3,587187.054,517557,Point_available,Observed,7.333333333333333,62.333333333333336,3.533333333333333,0.72,4500,4800,2000
15,L2_NODE_15,Lote_2,T8-A,T8,A,100,Sin Mn,Minus_Mn,3,4,D100_Minus_Mn,D100_Minus_Mn_R3,587188.6,517555,Point_available,Observed,7.333333333333333,56.666666666666664,4.022222222222222,0.72,4900,4800,1700
16,L2_NODE_16,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,3,4,D100_Minus_Cu,D100_Minus_Cu_R3,587190.678,517557,Point_available,Observed,6.666666666666667,45.333333333333336,3.2777777777777777,0.71,5300,5700,1900
17,L2_NODE_17,Lote_2,T1-B,T1,B,75,Completo,Complete,2,4,D75_Complete,D75_Complete_R2,587192.647,517559,Point_available,Observed,5.333333333333333,37.6,3.255555555555555,0.7,5900,4700,2300
18,L2_NODE_18,Lote_2,T5-B,T5,B,75,Sin Mg y S,Minus_MgS,2,4,D75_Minus_MgS,D75_Minus_MgS_R2,587194.713,517560,Point_available,Observed,6,49.53333333333333,3.3444444444444446,0.71,5200,5600,1800
19,L2_NODE_19,Lote_2,T11-B,T11,B,75,Sin Mo,Minus_Mo,2,4,D75_Minus_Mo,D75_Minus_Mo_R2,587196.236,517562,Point_available,Observed,6,48.36666666666667,3.6222222222222222,0.7,5600,5600,1800
20,L2_NODE_20,Lote_2,T9-A,T9,A,100,Sin B,Minus_B,2,4,D100_Minus_B,D100_Minus_B_R2,587198.569,517564,Point_available,Observed,5.666666666666667,46.4,3.4222222222222225,0.71,5700,5000,1300
21,L2_NODE_21,Lote_2,T11-A,T11,A,100,Sin Mo,Minus_Mo,2,4,D100_Minus_Mo,D100_Minus_Mo_R2,587200.494,517565,Point_available,Observed,6.666666666666667,45.9,3.622222222222222,0.72,4500,5600,1300
22,L2_NODE_22,Lote_2,T5-A,T5,A,100,Sin Mg y S,Minus_MgS,2,4,D100_Minus_MgS,D100_Minus_MgS_R2,587202.56,517567,Point_available,Observed,7,46.03333333333333,5.233333333333333,0.7,4600,4700,1200
23,L2_NODE_23,Lote_2,T10-B,T10,B,75,Sin Cu,Minus_Cu,1,4,D75_Minus_Cu,D75_Minus_Cu_R1,587204.529,517569,Point_available,Observed,6.333333333333333,45.06666666666666,3.055555555555556,0.7,5800,4400,1500
24,L2_NODE_24,Lote_2,T7-B,T7,B,75,Sin Zn,Minus_Zn,1,4,D75_Minus_Zn,D75_Minus_Zn_R1,587206.461,517570,Point_available,Observed,6.333333333333333,38.733333333333334,2.833333333333333,0.67,5600,4400,1600
25,L2_NODE_25,Lote_2,T0-B,T0,B,75,Control,Control,1,4,D75_Control,D75_Control_R1,587208.571,517572,Point_available,Observed,6.333333333333333,41.9,2.844444444444444,0.66,5000,4300,1600
26,L2_NODE_26,Lote_2,T9-A,T9,A,100,Sin B,Minus_B,1,4,D100_Minus_B,D100_Minus_B_R1,587210.54,517574,Point_available,Observed,7.666666666666667,40.93333333333333,3.511111111111111,0.71,4600,4400,1200
27,L2_NODE_27,Lote_2,T1-A,T1,A,100,Completo,Complete,1,4,D100_Complete,D100_Complete_R1,587212.65,517576,Point_available,Observed,7,46.300000000000004,3.411111111111111,0.72,4000,4200,750
