Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,n,Repeticiones,Macollas_media,Altura_media,Diametro_media,NDVI_media,Nitratos_media,Potasio_savia_media,Calcio_savia_media
T0-A,T0,A,100,Control,3,"1, 2, 3",7,44.733333333333334,3.3259259259259264,0.6666666666666667,2866.6666666666665,4066.6666666666665,1126.6666666666667
T0-B,T0,B,75,Control,2,"1, 2",5.666666666666666,44.75,3.0777777777777775,0.665,4700,4300,1750
T1-A,T1,A,100,Completo,3,"1, 2, 3",7.222222222222222,47.644444444444446,3.3962962962962964,0.71,4800,4500,1383.3333333333333
T1-B,T1,B,75,Completo,2,"1, 2",6.666666666666666,42.05,3.1666666666666665,0.69,5850,4550,1950
T10-A,T10,A,100,Sin Cu,3,"1, 2, 3",6.888888888888889,43.31111111111111,3.251851851851852,0.7033333333333333,4700,4766.666666666667,1346.6666666666667
T10-B,T10,B,75,Sin Cu,2,"1, 2",5.833333333333333,45.633333333333326,3.0722222222222224,0.705,5300,4500,1650
T11-A,T11,A,100,Sin Mo,3,"1, 2, 3",7.888888888888888,51.16666666666667,3.511111111111111,0.72,5000,5066.666666666667,1413.3333333333333
T11-B,T11,B,75,Sin Mo,2,"1, 2",6.5,45.21666666666667,3.4222222222222225,0.695,5700,5000,1650
T2-A,T2,A,100,Sin N,3,"1, 2, 3",7.333333333333334,45.16666666666667,3.303703703703704,0.69,3400,4500,1533.3333333333333
T2-B,T2,B,75,Sin N,2,"1, 2",5.166666666666667,41.116666666666674,3.0944444444444446,0.66,4050,4200,1750
T3-A,T3,A,100,Sin P,3,"1, 2, 3",7.333333333333333,42.477777777777774,3.344444444444444,0.6966666666666667,4600,4866.666666666667,1220
T3-B,T3,B,75,Sin P,2,"1, 2",7,48.56666666666667,3.2888888888888896,0.675,5750,4550,1550
T4-A,T4,A,100,Sin K,2,"1, 2",7.166666666666666,35.58333333333333,3.1222222222222222,0.695,4350,4250,1300
T4-B,T4,B,75,Sin K,2,"1, 2",6.5,42.71666666666667,3.094444444444445,0.6799999999999999,5350,4100,1800
T5-A,T5,A,100,Sin Mg y S,3,"1, 2, 3",8,48.48888888888889,4.040740740740741,0.7033333333333333,4600,4766.666666666667,1366.6666666666667
T5-B,T5,B,75,Sin Mg y S,2,"1, 2",6.833333333333334,45.9,3.2722222222222226,0.69,5550,4950,1550
T6-A,T6,A,100,Sin Fe,2,"1, 2",7.666666666666667,37.86666666666667,3.161111111111111,0.705,4900,4450,1200
T6-B,T6,B,75,Sin Fe,2,"1, 2",6.833333333333333,43.66666666666667,3.2055555555555557,0.7,6200,4650,1500
T7-A,T7,A,100,Sin Zn,2,"1, 2",7.333333333333334,49.03333333333333,3.3944444444444444,0.715,4050,4550,1275
T7-B,T7,B,75,Sin Zn,2,"1, 2",6,43.3,3.0277777777777777,0.6799999999999999,5500,4650,1700
T8-A,T8,A,100,Sin Mn,3,"1, 2, 3",7.333333333333333,49.77777777777778,3.6,0.72,4533.333333333333,4300,1433.3333333333333
T8-B,T8,B,75,Sin Mn,2,"1, 2",6.333333333333334,40.96666666666667,3.133333333333333,0.69,5550,4600,1700
T9-A,T9,A,100,Sin B,2,"1, 2",6.666666666666667,43.666666666666664,3.466666666666667,0.71,5150,4700,1250
T9-B,T9,B,75,Sin B,2,"1, 2",5.333333333333334,43.5,3.3666666666666667,0.6950000000000001,5300,4100,1600
