Nodo,Variable_suelo,Prediccion,Varianza_kriging,Error_estandar_kriging
1,N,22.427024753216713,16.06541259472446,4.008168234334041
2,N,23.560660362417142,19.015215637472913,4.360643947569317
3,N,20.902369398335367,17.242967651587715,4.152465249895261
4,N,18.73628086611692,14.61062878970187,3.8223852225674313
5,N,21.150811636635034,13.180013426213907,3.6304288212570572
6,N,10.55382148641013,11.045738549875324,3.323512983256621
7,N,14.123732236809962,14.525122131230741,3.811183822807651
8,N,12.466164086525746,12.762559786531398,3.5724725032575684
9,N,8.709670951393623,16.77806425386685,4.096103545305813
10,N,10.5044462927879,16.552046138691562,4.068420595107094
11,N,9.041590553866788,10.616248720860348,3.2582585411321103
12,N,10.742533285444937,16.197529853461006,4.024615491380637
13,N,9.964649182665944,13.348751724445377,3.653594356855366
14,N,14.866279584705195,14.925444006346149,3.8633462188038687
15,N,15.339998739322306,19.23137133671544,4.385358746638118
16,N,12.275055004772081,16.657934217547073,4.08141326228392
17,N,11.948453872332482,15.347711046806277,3.917615479702708
18,N,12.633121782604167,17.670568329705905,4.203637511692214
19,N,11.259529776952602,15.52713766448867,3.9404489166196117
20,N,8.319925793702573,14.923232068637166,3.863059935936429
21,N,13.671251145031947,17.298873920227464,4.159191498383726
22,N,16.016362224247217,16.31055191956087,4.038632431846313
23,N,12.563214588997907,14.63960996672933,3.8261743251881937
24,N,18.452394886895814,17.18211917569119,4.145131985316172
25,N,17.726247836111167,16.25899942381355,4.032244960789653
26,N,20.31907248702906,14.575892255244804,3.8178386890025626
27,N,24.674324396962845,13.399121031429708,3.6604809836180965
28,N,23.115512683275966,16.055352761235667,4.006913121248783
29,N,23.051969831657853,10.119150006062243,3.181061144659474
30,N,20.266920604752585,13.072197494898184,3.6155494042950354
31,N,18.63539592107022,11.161682108430064,3.340910371205738
32,N,13.585240219156278,8.653102664309321,2.941615655436536
33,N,16.732262330262238,13.762113524655119,3.7097322712906275
34,N,14.341133983357802,11.074871399593766,3.3278929369187593
35,N,21.60809473204378,8.65235147802514,2.9414879700629646
36,N,18.17630048949416,13.468635462271099,3.669963959260513
37,N,8.792749658504807,10.614845773514263,3.2580432430393342
38,N,14.96107532768393,11.59279036713323,3.4048186981296418
39,N,17.125574705023062,12.321934215352659,3.510261274514001
40,N,14.896289638923177,9.863147762387609,3.140564879506171
41,N,17.160500587598666,6.9919388257801005,2.6442274534880883
42,N,15.755493495217394,13.870602080280635,3.7243257215609695
43,N,16.58198554388247,19.71236040642972,4.4398604039349845
44,N,17.193494884141167,23.074526315546606,4.803595144841685
45,N,16.957993920739654,21.35058839652908,4.6206696913466
46,N,18.098133134069215,19.76580183581544,4.445874698618422
47,N,16.370593814432546,21.385854856892514,4.624484280100054
48,N,13.134799884721755,20.890617380896295,4.570625491209742
49,N,18.67277101463703,18.508578551588332,4.3021597543081
50,N,19.612267168869977,22.541155152583986,4.747752642312359
51,N,16.167463196993857,20.587336838567428,4.537327058805374
52,N,15.664691750326035,18.18828477836863,4.2647725353608985
53,N,14.268376489088714,16.660973424696593,4.081785568191523
54,N,16.906989679135897,20.51534989130876,4.529387363795324
55,N,18.48154829250872,19.082378947522617,4.368338236391799
56,N,21.564362627899754,16.59267488824114,4.073410719316326
1,P,31.98278557698091,32.27846564143392,5.681414052983105
2,P,33.26813010971999,38.197022209991125,6.180373953895599
3,P,29.280772308596628,34.643666873332556,5.885887093151937
4,P,27.05917647910598,29.36262606270518,5.4187291925972065
5,P,30.062505935158978,26.492168406699385,5.147054342699267
6,P,14.678825809389854,22.20800405378704,4.7125369021140875
7,P,19.85889325347906,29.1910679017696,5.4028758917607576
8,P,17.940420264903995,25.653996668229322,5.064977459794794
9,P,12.961889519778692,33.711329793466845,5.806145863950271
10,P,15.16904986527205,33.25866549601053,5.767032642183546
11,P,12.667347528310373,21.342913991100694,4.619839173726797
12,P,15.39784089115294,32.54677341182856,5.704977950161469
13,P,13.920440598608678,26.82927151752165,5.179698014124149
14,P,20.866984207334028,29.987613410315223,5.476094722547741
15,P,21.65602791257174,38.64193237467847,6.216263538065167
16,P,17.16568873879705,33.48307393200196,5.786456077082238
17,P,16.984244434043607,30.851815551001355,5.554441065579988
18,P,17.738206878881982,35.5163656746216,5.9595608625654295
