Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,n,Repeticiones,Macollas_Media,Macollas_DE,Altura_Media,Altura_DE,Diametro_Media,Diametro_DE,NDVI_Media,NDVI_DE,Nitratos_Media,Nitratos_DE,Potasio_savia_Media,Potasio_savia_DE,Calcio_savia_Media,Calcio_savia_DE,Suelo_N_Media,Suelo_N_DE,Suelo_P_Media,Suelo_P_DE,Suelo_K_Media,Suelo_K_DE,Suelo_pH_Media,Suelo_pH_DE,Suelo_T_Media,Suelo_T_DE,Suelo_Hv_Media,Suelo_Hv_DE,Suelo_CE_Media,Suelo_CE_DE,Suelo_CE_corregida_OLS_Media,Suelo_CE_corregida_OLS_DE,Distancia_suelo_media_m
T0-A,T0,A,100,Control,3,"1, 2, 3",7,2.0816659994661326,44.733333333333334,1.5719768163402141,3.3259259259259264,0.012830005981991894,0.6666666666666667,0.005773502691896263,2866.6666666666665,702.3769168568492,4066.6666666666665,321.4550253664318,1126.6666666666667,424.4211744639201,12.98041357960405,6.341421848520729,18.420255687709144,8.637345396798311,37.42608040848505,17.013648155197863,7.950963551729675,0.9888611475402481,16.46803502033052,0.21567422390726027,14.844711837474025,0.1606533829926208,189.1817988651817,85.57030510879801,442.6890274842744,79.6060548427208,1.0735373082250355
T0-B,T0,B,75,Control,2,"1, 2",5.666666666666666,0.9428090415820631,44.75,4.030508652763318,3.0777777777777775,0.32998316455372256,0.665,0.007071067811865481,4700,424.26406871192853,4300,0,1750,212.13203435596427,17.342120878425412,0.543237553232313,24.54391610192915,1.1068524396455208,49.44957738276359,1.4961787456031188,7.735975472721254,1.0111728951958927,16.46709685419627,0.18277333567701895,14.773091544633893,0.002236982698343518,249.58419968632867,9.25130196325556,498.88138096819364,8.606486216414066,1.6758224816425278
T1-A,T1,A,100,Completo,3,"1, 2, 3",7.222222222222222,0.3849001794597507,47.644444444444446,6.455861534152365,3.3962962962962964,0.3113755489923509,0.71,0.010000000000000009,4800,800,4500,435.88989435406734,1383.3333333333333,548.4827557301445,21.1586380043826,3.7606131232161975,29.719240866693234,5.303216520899795,60.261477558978896,10.508175523513229,7.351640988682051,1.0260995523053562,16.584335950305356,0.3216357504951487,14.934136243665682,0.24189036899652575,303.4530399105776,52.01465114194193,548.9955630288136,48.38922995734846,1.2610680707639093
T1-B,T1,B,75,Completo,2,"1, 2",6.666666666666666,1.885618083164127,42.05,6.293250352560272,3.1666666666666665,0.12570787221094135,0.69,0.014142135623730885,5850,70.71067811865476,4550,212.13203435596427,1950,494.9747468305833,16.54963275448376,6.507049578043011,23.523375184601292,9.247727393569635,47.27724159022017,18.07707062342826,7.121257374340946,0.041555987278446276,16.282934537120315,0.24713957592486696,14.751294420466241,0.03521824573258372,240.74663234648241,92.10991707555966,490.659792071933,85.68985585539663,1.1303038172019968
T10-A,T10,A,100,Sin Cu,3,"1, 2, 3",6.888888888888889,0.3849001794597502,43.31111111111111,2.9710329915766738,3.251851851851852,0.10791705395802548,0.7033333333333333,0.005773502691896263,4700,1126.9427669584645,4766.666666666667,814.4527815247078,1346.6666666666667,496.5212315030782,15.767052213305803,4.5423577380264515,22.10178476695758,6.361346888178036,44.82788560061093,12.568578171174478,7.300143688037616,0.8573271227679525,16.21474583786662,0.24699230853753917,14.755947751192169,0.020751383684588735,226.06678528854,64.11022968064356,477.00313035392935,59.6417466719086,1.3287760952543606
T10-B,T10,B,75,Sin Cu,2,"1, 2",5.833333333333333,0.7071067811865476,45.633333333333326,0.8013876853447536,3.0722222222222224,0.0235702260395515,0.705,0.007071067811865481,5300,707.1067811865476,4500,141.4213562373095,1650,212.13203435596427,14.466904201715227,2.692223668853618,20.26130575029734,3.6948437566502634,41.174718987051584,8.097761059300447,7.868968254883346,1.1331704168801189,16.45159462567377,0.09709531588881573,14.786779611365372,0.021714543633839605,206.97866738618728,39.07078681255569,459.2454542693701,36.34755297172376,1.5769975657125086
T11-A,T11,A,100,Sin Mo,3,"1, 2, 3",7.888888888888888,1.5752718754175357,51.16666666666667,9.675800282721378,3.511111111111111,0.12372809695177782,0.72,0,5000,866.0254037844386,5066.666666666667,461.8802153517006,1413.3333333333333,539.0114408185909,15.148173469624346,1.636184307172454,21.367569559334225,2.162650123775513,43.405479179950255,4.103848324225385,8.150720445266487,1.0246519449988263,16.39363123308647,0.19784378938635555,14.744979520041982,0.046338397691884074,218.2154801742213,20.533617943411656,469.6990612060767,19.102424772756606,1.504987584656761
T11-B,T11,B,75,Sin Mo,2,"1, 2",6.5,0.7071067811865476,45.21666666666667,4.454772721475252,3.4222222222222225,0.2828427124746186,0.695,0.007071067811865481,5700,141.4213562373095,5000,848.5281374238571,1650,212.13203435596427,12.800331880155202,2.1790232312821054,18.338547851145066,3.233422371672461,37.32490429293367,5.809463332875388,7.6287346758495715,1.427391326646073,16.81049332421619,0.6449380204769193,14.742411693648926,0.020262661286747752,187.24716872752987,29.654833751405228,440.8892410672192,27.5878918389335,1.0757422970472148
T2-A,T2,A,100,Sin N,3,"1, 2, 3",7.333333333333334,2.1858128414340006,45.16666666666667,5.12195709123421,3.303703703703704,0.5516902572256425,0.69,0.017320508075688724,3400,435.88989435406734,4500,1126.9427669584645,1533.3333333333333,351.1884584284246,16.356254309793147,7.195171590897676,22.907536560125642,10.524550420528351,47.208262923715516,20.591588390192804,7.886384845050463,1.2064192938759426,16.655912051516236,0.3978856677135248,15.108200011087966,1.0680966934793488,235.99895859149686,103.75072977408422,486.24303117767045,96.51930390883572,0.857434861641682
T2-B,T2,B,75,Sin N,2,"1, 2",5.166666666666667,0.7071067811865476,41.116666666666674,4.690474981870765,3.0944444444444446,0.3378399065669061,0.66,0.014142135623730963,4050,70.71067811865476,4200,141.4213562373095,1750,353.5533905932738,12.757448407047029,3.116399077575165,17.83175164270318,4.458910474628194,36.44470036860258,9.876713810798954,7.491879921244738,1.216947016827366,16.13652314185333,0.18345585620296284,14.89718838339693,0.1916300824389101,182.7046651759528,47.86648235381432,436.66335001318686,44.53018853375518,0.8312089127591723
T3-A,T3,A,100,Sin P,3,"1, 2, 3",7.333333333333333,3.333333333333333,42.477777777777774,6.232204294659343,3.344444444444444,0.21111111111111108,0.6966666666666667,0.01527525231651942,4600,916.515138991168,4866.666666666667,251.66114784235833,1220,327.414110874898,17.949769652198697,1.9826162473263436,25.31491295309682,2.632258850757908,51.032756479590894,5.290366744221749,7.354621267497288,0.9670249428268228,16.532978408463496,0.08454601303293895,14.793708425365928,0.038840560399885926,258.19828175483826,26.9265874836266,506.8950615165291,25.049804336021197,1.555792738950417
T3-B,T3,B,75,Sin P,2,"1, 2",7,0.9428090415820638,48.56666666666667,0.3299831645537235,3.2888888888888896,0.015713484026367353,0.675,0.021213203435596368,5750,494.9747468305833,4550,212.13203435596427,1550,212.13203435596427,14.62036357945241,5.820786048406821,21.114113172189015,8.407589157808612,42.457378859236165,15.731578088370593,7.222431211931752,0.28677155517252956,16.315782216450664,0.02560702511751777,14.76007492790265,0.09461555773459734,214.4623434650685,81.19661768607297,466.2075181255512,75.53721343336305,1.1727149569336301
T4-A,T4,A,100,Sin K,2,"1, 2",7.166666666666666,2.121320343559642,35.58333333333333,9.970205614730322,3.1222222222222222,0.32998316455372223,0.695,0.007071067811865481,4350,777.8174593052023,4250,212.13203435596427,1300,141.4213562373095,17.44659441987123,7.043392123871538,24.961602920942454,9.929451736068335,50.69485153218584,19.815796839724076,8.51835598098287,0.22342357974319446,16.01040490823013,0.5380395264206563,14.690953182913688,0.21124897511240337,254.91986157201995,98.59948152657704,503.84514722045276,91.72709766418468,1.037510911563713
T4-B,T4,B,75,Sin K,2,"1, 2",6.5,0.7071067811865476,42.71666666666667,2.522014186232022,3.094444444444445,0.023570226039551813,0.6799999999999999,0.014142135623730885,5350,212.13203435596427,4100,141.4213562373095,1800,707.1067811865476,15.35540746208967,2.5033945226249927,21.265502864084155,3.8785262298703977,43.19010099178857,7.483435956509419,7.084387741940098,0.5530036522849817,16.893146125040595,0.45822846245701554,14.011685604770445,1.15848184402965,217.82732261731496,34.965755762056816,469.33795823088764,32.52864258544175,0.7415850362443617
T5-A,T5,A,100,Sin Mg y S,3,"1, 2, 3",8,1.2018504251546633,48.48888888888889,5.540992022426364,4.040740740740741,1.033771312995295,0.7033333333333333,0.01527525231651948,4600,1200,4766.666666666667,208.16659994661327,1366.6666666666667,472.58156262526086,17.077914563066635,1.378148602410247,24.134596593830818,1.9397139614582393,48.54758090001461,3.789012643833855,7.475751955292112,1.0570871797897634,16.620399022790764,0.4575786869074405,15.005779889639182,0.4049493836772694,244.81215744831428,18.327817313125905,494.44195007416806,17.050368446400736,1.2626080911162156
T5-B,T5,B,75,Sin Mg y S,2,"1, 2",6.833333333333334,1.1785113019775795,45.9,5.138309276622245,3.2722222222222226,0.10213764617138983,0.69,0.02828427124746185,5550,494.9747468305833,4950,919.2388155425118,1550,353.5533905932738,14.148906766465101,2.143643681817616,19.901919025683945,3.059951063078741,40.60106926713206,6.194932920505089,6.957368722828955,0.06431807840742783,16.57550644462657,0.23243037680936096,14.77983575444873,0.011977253605485065,204.2237750535167,31.699281523108443,456.6825779322851,29.48984160094856,1.6670161767858818
T6-A,T6,A,100,Sin Fe,2,"1, 2",7.666666666666667,0.9428090415820638,37.86666666666667,1.7913371790059192,3.161111111111111,0.19641855032959585,0.705,0.021213203435596444,4900,848.5281374238571,4450,494.9747468305833,1200,282.842712474619,21.116715688527087,3.4562597035048093,29.801359291169433,4.902754309233474,60.196926174674225,9.932119096859903,8.346319292406829,0.1826835322392941,16.510356019651027,0.21246771184809604,14.771938944614188,0.0010360177501199726,302.46072099410515,49.059274353527435,548.0724087408239,45.63984293109189,1.5323153542457892
T6-B,T6,B,75,Sin Fe,2,"1, 2",6.833333333333333,2.5927248643506737,43.66666666666667,2.3098821518760597,3.2055555555555557,0.21213203435596475,0.7,0.014142135623730963,6200,707.1067811865476,4650,212.13203435596427,1500,424.26406871192853,14.582333064005946,0.44400164624415317,20.25236623832442,0.8703064701433084,41.39963487528449,1.831189425248183,7.7160957023136225,0.8509599830839778,16.90837695661351,0.08462676122048858,14.862602818802987,0.19734005154270823,208.69881335740487,8.175135060588184,460.84570606639215,7.605328146866184,0.9755341953162565
T7-A,T7,A,100,Sin Zn,2,"1, 2",7.333333333333334,2.8284271247461907,49.03333333333333,2.2156012477178537,3.3944444444444444,0.25927248643506773,0.715,0.021213203435596444,4050,636.3961030678928,4550,636.3961030678928,1275,459.6194077712559,20.614135160576005,3.447618854667301,29.20105012482877,4.806835391363289,58.980190179919674,9.894475668727779,8.608522735812912,0.08364152304641431,16.753139771471627,0.2789500127959131,14.522647737346741,0.3459303896029072,296.2367609065156,48.92698486925444,542.2822586713336,45.51677402386919,0.871236695697297
T7-B,T7,B,75,Sin Zn,2,"1, 2",6,0.47140452079103123,43.3,6.458241934837134,3.0277777777777777,0.2749859704614354,0.6799999999999999,0.014142135623730885,5500,141.4213562373095,4650,353.5533905932738,1700,141.4213562373095,14.597464086170376,5.45169542039569,20.7989731606401,7.638354507679713,41.94418375408175,15.022795946820965,6.8004689955545885,0.376818393590947,16.379307024124138,0.1900978090739013,14.775608060715122,0.00617072085055673,213.32711612230133,75.84962987827792,465.1514161285733,70.56291067576856,1.479028257965696
T8-A,T8,A,100,Sin Mn,3,"1, 2, 3",7.333333333333333,1.0000000000000004,49.77777777777778,6.834010806525234,3.6,0.36582394740342933,0.72,0,4533.333333333333,814.4527815247078,4300,500,1433.3333333333333,251.66114784235833,16.679720417314606,4.37155837672969,23.41858840419917,6.36474602456,47.77900409144406,12.395132229479971,7.767395881586273,0.8102692255141157,16.58112136224416,0.13286949370664256,14.754939819216789,0.028031795839726315,239.81395277924972,62.78640730070033,489.79212027053796,58.41019471184602,1.6026132301012712
T8-B,T8,B,75,Sin Mn,2,"1, 2",6.333333333333334,0.4714045207910319,40.96666666666667,0.23570226039551248,3.133333333333333,0.12570787221094165,0.69,0.014142135623730885,5550,494.9747468305833,4600,141.4213562373095,1700,424.26406871192853,12.886926442064514,5.438126164969214,18.159123527006443,7.766544098871031,37.10338707037977,15.319033174696077,6.406742953747138,0.27524194435144805,16.367378492799936,0.7385309729458833,14.774557286653378,0.2662280206394822,187.11526688713386,78.20435001484756,440.766532785098,72.75350681881689,0.8912318780799293
T9-A,T9,A,100,Sin B,2,"1, 2",6.666666666666667,1.4142135623730951,43.666666666666664,3.865517070486461,3.466666666666667,0.06285393610547067,0.71,0,5150,777.8174593052023,4700,424.26406871192853,1250,70.71067811865476,14.319499140365817,8.484677995303297,20.288338467006273,11.417413635687618,41.22437990176684,22.73699508986824,8.604067583085683,0.020276747422141975,16.15109863801685,0.21910418194554615,14.738510144443431,0.0024523857415648556,208.44090659238518,114.48862972432964,460.6057754028942,106.50877223254821,1.217719643582171
T9-B,T9,B,75,Sin B,2,"1, 2",5.333333333333334,0.9428090415820631,43.5,4.949747468305833,3.3666666666666667,0.17284832429004496,0.6950000000000001,0.021213203435596368,5300,707.1067811865476,4100,424.26406871192853,1600,141.4213562373095,17.132798165531536,1.3651898047389903,24.187210568755376,1.63816011158845,48.88893871671118,3.354431985530015,8.197225893531012,0.09075903750777191,16.567245876332805,0.2082087531571745,14.771631669241593,3.1729451117839435e-4,245.66749747111106,15.955474723288448,495.2376728973775,14.843378135076827,1.7073819778699724
