Variable,Tipo,contrast,Omission_description,estimate,SE,df,t.ratio,p.value
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Control,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Completo,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin N,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin P,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin K,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mg y S,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Fe,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Zn,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mn,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin B,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Cu,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
Macollas,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mo,1.0833333333333341,0.3117498611550764,41,3.4750082303787853,0.0012208538247803589
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Control,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Completo,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin N,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin P,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin K,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mg y S,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Fe,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Zn,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mn,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin B,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Cu,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
NDVI,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mo,0.015833333333333272,0.004538085180755559,41,3.488989893904357,0.0011727503243131663
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Control,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Completo,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin N,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin P,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin K,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mg y S,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Fe,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Zn,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mn,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin B,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Cu,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Nitratos,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mo,-966.666666666666,229.40646456705855,41,-4.213772565175889,1.34391891882144e-4
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Control,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Completo,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin N,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin P,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin K,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mg y S,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Fe,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Zn,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mn,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin B,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Cu,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Calcio_savia,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mo,-457.49999999999994,59.638784591080714,41,-7.671182488658922,1.890681172313555e-9
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Control,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Completo,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin N,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin P,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin K,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mg y S,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Fe,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Zn,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
Suelo_pH,Contraste_D100_vs_D75_por_omision,D100 - D75,Sin Mn,0.886449422912401,0.21992326124025083,41,4.030721524923264,2.354700872129827e-4
