Nodo,Treatment_ID,Dose_percent,Omission_description,Replication,Observado,Ajustado,Residuo,Residuo_estudentizado,Leverage,Cook,Variable,Modelo,X,Y,n_modelo,umbral_cook,umbral_leverage,Flag_Cook,Flag_Leverage,Flag_Residuo,Influyente
1,T4-A,D100,Sin K,1,8.666666666666666,8.430555555555559,0.23611111111110716,0.3149863103123123,0.29166666666666663,0.0027235867834868636,Macollas,M1_Aditivo,587212.895,517579,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
2,T6-A,D100,Sin Fe,1,8.333333333333334,8.847222222222223,-0.5138888888888893,-0.6855584400914823,0.29166666666666713,0.012901696562606564,Macollas,M1_Aditivo,587211.104,517578,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
3,T10-A,D100,Sin Cu,1,7.333333333333333,7.940972222222223,-0.6076388888888902,-0.7866955123661236,0.24791666666666656,0.013600718314323674,Macollas,M1_Aditivo,587208.994,517576,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
4,T3-B,D75,Sin P,1,7.666666666666667,7.590972222222223,0.07569444444444429,0.09799978382617851,0.24791666666666676,2.1105650193302847e-4,Macollas,M1_Aditivo,587207.025,517574,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
5,T1-B,D75,Completo,1,8,7.3909722222222225,0.6090277777777775,0.7884936735372441,0.24791666666666679,0.013662964083431716,Macollas,M1_Aditivo,587204.915,517572,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
6,T2-B,D75,Sin N,1,5.666666666666667,6.857638888888889,-1.1909722222222223,-1.5419232042375957,0.24791666666666665,0.052248519476305405,Macollas,M1_Aditivo,587202.983,517570,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
7,T10-A,D100,Sin Cu,2,6.666666666666667,5.829861111111111,0.8368055555555562,1.083392105601344,0.24791666666666667,0.025794067605362583,Macollas,M1_Aditivo,587201.014,517569,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
8,T4-A,D100,Sin K,2,5.666666666666667,6.319444444444447,-0.6527777777777803,-0.8708445049810777,0.2916666666666668,0.020818004168588904,Macollas,M1_Aditivo,587198.948,517567,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
9,T0-A,D100,Control,2,4.666666666666667,5.829861111111112,-1.1631944444444446,-1.5059599808151438,0.2479166666666667,0.04983969347999872,Macollas,M1_Aditivo,587197.023,517566,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
10,T3-B,D75,Sin P,2,6.333333333333333,5.479861111111111,0.853472222222222,1.104970039654814,0.24791666666666667,0.02683178131775377,Macollas,M1_Aditivo,587194.69,517564,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
11,T8-B,D75,Sin Mn,2,6,5.2131944444444445,0.7868055555555555,1.0186583034409316,0.24791666666666645,0.02280371264286787,Macollas,M1_Aditivo,587193.167,517562,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
12,T7-B,D75,Sin Zn,2,5.666666666666667,5.069444444444445,0.5972222222222223,0.7967300790252392,0.29166666666666635,0.017425300908882113,Macollas,M1_Aditivo,587191.101,517561,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
13,T0-A,D100,Control,3,7.666666666666667,6.958333333333332,0.7083333333333348,0.9505670450439518,0.30000000000000004,0.025816505917816878,Macollas,M1_Aditivo,587189.132,517559,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
14,T11-A,D100,Sin Mo,3,7.333333333333333,7.825000000000001,-0.49166666666666803,-0.6598053606775678,0.29999999999999993,0.012438374685110148,Macollas,M1_Aditivo,587187.054,517557,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
15,T8-A,D100,Sin Mn,3,7.333333333333333,7.424999999999999,-0.0916666666666659,-0.123014558770394,0.29999999999999993,4.32359476270706e-4,Macollas,M1_Aditivo,587188.6,517555,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
16,T10-A,D100,Sin Cu,3,6.666666666666667,6.958333333333332,-0.2916666666666652,-0.39140995972397885,0.30000000000000004,0.0043771930448893385,Macollas,M1_Aditivo,587190.678,517557,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
17,T1-B,D75,Completo,2,5.333333333333333,5.279861111111111,0.05347222222222214,0.0692292050882185,0.24791666666666665,1.0532396262612144e-4,Macollas,M1_Aditivo,587192.647,517559,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
18,T5-B,D75,Sin Mg y S,2,6,5.813194444444445,0.186805555555555,0.2418526775159848,0.24791666666666667,0.0012854355303742314,Macollas,M1_Aditivo,587194.713,517560,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
19,T11-B,D75,Sin Mo,2,6,5.613194444444446,0.3868055555555543,0.5007878861576345,0.24791666666666665,0.0055113263755762875,Macollas,M1_Aditivo,587196.236,517562,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
20,T9-A,D100,Sin B,2,5.666666666666667,5.486111111111112,0.18055555555555536,0.24087188435646714,0.29166666666666663,0.0015926856969178318,Macollas,M1_Aditivo,587198.569,517564,56,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,FALSE
