Nodo,Experimental_Unit,Lote,Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,Omission_public,Replication,Area_m2,Public_treatment_code,Public_unit_code,X,Y,Geometry_status,Observation_status,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,Nodo_suelo_mas_cercano,Distancia_suelo_mas_cercano_m,Dentro_lote_suelo_I2,Distancia_al_lote_m,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Suelo_CE,Suelo_CE_corregida_OLS,VarK_N,VarK_P,VarK_K,VarK_pH,VarK_T,VarK_Hv,VarK_CE,VarK_CE_corregida_OLS,SEK_N,SEK_P,SEK_K,SEK_pH,SEK_T,SEK_Hv,SEK_CE,SEK_CE_corregida_OLS,Flag_pH,Flag_Hv,Flag_NPK,Flag_CE_OLS,Diferencia_dias_suelo_cultivo,CRS,Dentro_lote_auditado,Diferencia_X_geometria_m,Diferencia_Y_geometria_m,Coordenadas_coherentes,Fila_completa_diseno,Fila_completa_cultivo,Fila_completa_suelo,Estado_auditoria
1,L2_NODE_01,Lote_2,T4-A,T4,A,100,Sin K,Minus_K,1,4,D100_Minus_K,D100_Minus_K_R1,587212.895,517579,Point_available,Observed,8.666666666666666,28.53333333333333,3.3555555555555556,0.7,4900,4100,1200,1,1.167904961835629,TRUE,0,22.427024753216713,31.98278557698091,64.70673585216969,8.360371652669484,16.390856305908574,14.840328765734377,324.6402235809403,568.7059999973585,16.06541259472446,32.27846564143392,131.36614231222757,0.10753822799573975,0.2916228016058555,4.911072982346474,3224.6514436142747,2790.800679305529,4.008168234334041,5.681414052983105,11.461506982601701,0.32793021818023993,0.5400211121853066,2.2160940824672752,56.786014507220656,52.828029296061466,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
2,L2_NODE_02,Lote_2,T6-A,T6,A,100,Sin Fe,Minus_Fe,1,4,D100_Minus_Fe,D100_Minus_Fe_R1,587211.104,517578,Point_available,Observed,8.333333333333334,39.13333333333333,3.2999999999999994,0.69,5500,4100,1000,2,1.577847267641317,TRUE,0,23.560660362417142,33.26813010971999,67.21999493961627,8.217142527949312,16.36011865982005,14.772671519790729,337.15086656957567,580.3446511696878,19.015215637472913,38.197022209991125,155.19529385775863,0.1945827871281296,0.3714954138435987,4.923878533119785,3816.4695258415195,3302.9944263773236,4.360643947569317,6.180373953895599,12.457740319085104,0.44111538981102166,0.6095042361162051,2.2189814179302596,61.77758109412766,57.47168369186102,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
3,L2_NODE_03,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,1,4,D100_Minus_Cu,D100_Minus_Cu_R1,587208.994,517576,Point_available,Observed,7.333333333333333,39.9,3.3444444444444446,0.7,5400,4200,940,3,1.3383590699170147,TRUE,0,20.902369398335367,29.280772308596628,59.09602907016894,8.231251924454888,16.304335526651716,14.759608853712594,298.9352269157599,544.7926415997391,17.242967651587715,34.643666873332556,140.96512526379095,0.14252078878032265,0.33560886107075716,4.92084495442707,3460.9868557554873,2995.3390736965835,4.152465249895261,5.885887093151937,11.8728735049183,0.37751925617155296,0.5793175822213211,2.2182977605423195,58.83015260693693,54.72969097022734,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
4,L2_NODE_04,Lote_2,T3-B,T3,B,75,Sin P,Minus_P,1,4,D75_Minus_P,D75_Minus_P_R1,587207.025,517574,Point_available,Observed,7.666666666666667,48.333333333333336,3.3000000000000003,0.66,6100,4400,1400,4,1.0571267662424744,TRUE,0,18.73628086611692,27.05917647910598,53.581284404288716,7.42520932324566,16.333889117557277,14.826978230382531,271.87702244030226,519.6203939762178,14.61062878970187,29.36262606270518,119.71793453005779,0.0887557093911248,0.2629129839030025,4.8926843775187026,2932.8796071537913,2538.284383006655,3.8223852225674313,5.4187291925972065,10.941569107310787,0.29791896447041566,0.5127504109242649,2.2119413142121793,54.156067131520835,50.381389252447725,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
5,L2_NODE_05,Lote_2,T1-B,T1,B,75,Completo,Complete,1,4,D75_Complete,D75_Complete_R1,587204.915,517572,Point_available,Observed,8,46.5,3.077777777777778,0.68,5800,4400,1600,5,0.948222020387181,TRUE,0,21.150811636635034,30.062505935158978,60.05966081203442,7.0918728539374545,16.457688607156356,14.726391360087236,305.8781793251412,551.2516702261818,13.180013426213907,26.492168406699385,108.1589393823854,0.06780519653490867,0.20189739426715553,4.850108721504354,2645.854574362039,2289.8762463445432,3.6304288212570572,5.147054342699267,10.399949008643523,0.26039430972067856,0.44932993920632036,2.202296238362213,51.43787101311678,47.852651403496374,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
6,L2_NODE_06,Lote_2,T2-B,T2,B,75,Sin N,Minus_N,1,4,D75_Minus_N,D75_Minus_N_R1,587202.983,517570,Point_available,Observed,5.666666666666667,44.43333333333334,3.3333333333333335,0.65,4100,4100,1500,6,0.7891108920448889,TRUE,0,10.55382148641013,14.678825809389854,29.460809057147817,8.352391409188108,16.006800261883832,15.03269131416882,148.85795091202448,405.1757517334531,11.045738549875324,22.20800405378704,90.84963704217441,0.04285472030936893,0.10024345574315643,4.680303742941502,2217.5934501402503,1919.2341917543574,3.323512983256621,4.7125369021140875,9.5315075954528,0.20701381671127397,0.3166124693425015,2.1634009667515413,47.091330944668044,43.80906517781859,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
7,L2_NODE_07,Lote_2,T10-A,T10,A,100,Sin Cu,Minus_Cu,2,4,D100_Minus_Cu,D100_Minus_Cu_R2,587201.014,517569,Point_available,Observed,6.666666666666667,44.699999999999996,3.1333333333333337,0.7,3400,4400,1200,7,1.0494836826191036,TRUE,0,14.123732236809962,19.85889325347906,39.99255671661046,7.1257731622419325,15.935461193644215,14.733609465511103,200.9358476625796,453.62381908049406,14.525122131230741,29.1910679017696,119.02725565708742,0.08729646668484242,0.2598911202069539,4.890723332207646,2915.724587024554,2523.437432051693,3.811183822807651,5.4028758917607576,10.909961304105869,0.29545975476338976,0.5097951747584062,2.2114979837674835,53.99744981964013,50.23382756720508,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
8,L2_NODE_08,Lote_2,T4-A,T4,A,100,Sin K,Minus_K,2,4,D100_Minus_K,D100_Minus_K_R2,587198.948,517567,Point_available,Observed,5.666666666666667,42.63333333333333,2.888888888888889,0.69,3800,4400,1400,8,0.9071168612917969,TRUE,0,12.466164086525746,17.940420264903995,36.68296721220198,8.676340309296256,15.629953510551685,14.541577600093,185.1994995630996,438.98429444354707,12.762559786531398,25.653996668229322,104.7659151653368,0.0620957980755732,0.1890472234964166,4.822479794972669,2562.081926381443,2217.3745304290296,3.5724725032575684,5.064977459794794,10.235522222404523,0.24919028487397576,0.43479561117428106,2.1960145252189633,50.617012222981344,47.08900647103344,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
9,L2_NODE_09,Lote_2,T0-A,T0,A,100,Control,Control,2,4,D100_Control,D100_Control_R2,587197.023,517566,Point_available,Observed,4.666666666666667,46.46666666666667,3.333333333333334,0.66,3600,4200,1600,9,1.2862927348887074,TRUE,0,8.709670951393623,12.961889519778692,26.446414214170325,8.355867033529973,16.219063677723863,14.745240864528704,134.24655651633088,391.58277152713356,16.77806425386685,33.711329793466845,137.22504840545983,0.13200891125200243,0.32393608032200655,4.919078058873531,3367.728416067011,2914.6278026074233,4.096103545305813,5.806145863950271,11.714309557351633,0.3633303059916726,0.569153828346965,2.2178994699655643,58.03213261691329,53.987292973508346,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
10,L2_NODE_10,Lote_2,T3-B,T3,B,75,Sin P,Minus_P,2,4,D75_Minus_P,D75_Minus_P_R2,587194.69,517564,Point_available,Observed,6.333333333333333,48.800000000000004,3.2777777777777786,0.69,5400,4700,1700,10,1.2883031476247861,TRUE,0,10.5044462927879,15.16904986527205,31.333473314183614,7.019653100617845,16.297675315344055,14.693171625422769,157.04766448983474,412.7946422748846,16.552046138691562,33.25866549601053,135.42796222498103,0.1269132792905222,0.31224631857336954,4.919160198122873,3322.4094645277914,2875.4061493674853,4.068420595107094,5.767032642183546,11.63735202805952,0.3562489007569318,0.558790048742253,2.217917987240032,57.64034580506775,53.622813702448376,Exploratorio_sensor_no_validado,Exploratorio_estructura_espacial_limitada,Indices_instrumentales_nominales,Calibracion_exploratoria_sin_incertidumbre_adicional,5,EPSG:32618,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,Apto
