Conjunto,Variables,n_variables,VIF_maximo,VIF_medio,Numero_condicion,Estado
C01_CE_original,Suelo_CE + Suelo_pH + Suelo_T + Suelo_Hv,4,1.1372127414631266,1.0818576451021982,1.4636256312997542,Apto
C02_CE_corregida,Suelo_CE_corregida_OLS + Suelo_pH + Suelo_T + Suelo_Hv,4,1.137212741463127,1.0818576451021984,1.4636256312997562,Apto
C03_Indice_N,Suelo_N + Suelo_pH + Suelo_T + Suelo_Hv,4,1.1435921915130576,1.0850040529554925,1.475905418594822,Apto
C04_Indice_P,Suelo_P + Suelo_pH + Suelo_T + Suelo_Hv,4,1.1409916236448407,1.0837311653557218,1.4694532194683791,Apto
C05_Indice_K,Suelo_K + Suelo_pH + Suelo_T + Suelo_Hv,4,1.1416110252129363,1.0841135615756206,1.47082909306061,Apto
C06_CE_T,Suelo_CE + Suelo_T,2,1.0439971672563955,1.0439971672563946,1.2315168129887535,Apto
C07_CEcor_T,Suelo_CE_corregida_OLS + Suelo_T,2,1.0439971672563966,1.043997167256395,1.2315168129887561,Apto
C08_N_T,Suelo_N + Suelo_T,2,1.049046640780894,1.0490466407808927,1.2456945412277027,Apto
C09_P_T,Suelo_P + Suelo_T,2,1.041956384754462,1.0419563847544606,1.2255952259649274,Apto
C10_K_T,Suelo_K + Suelo_T,2,1.0438425155903994,1.0438425155903983,1.2310721584266495,Apto
C11_pH_T_Hv,Suelo_pH + Suelo_T + Suelo_Hv,3,1.021641040375032,1.015964748813628,1.161221521037955,Apto
