Respuesta,Modelo_ID,Familia,Escenario,Termino,Estimacion,Error_estandar,IC95_inferior,IC95_superior,Coeficiente_alias
Macollas,M0_Repeticion,M0,Diseño_reducido,(Intercept),7.8194444444444455,0.21025493936996256,7.407344763279319,8.231544125609572,FALSE
Macollas,M0_Repeticion,M0,Diseño_reducido,Replication2,-2.1111111111111134,0.29734538681293393,-2.693908069264464,-1.5283141529577629,FALSE
Macollas,M0_Repeticion,M0,Diseño_reducido,Replication3,-0.40277777777777785,0.4205098787399248,-1.2269771401080305,0.42142158455247475,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,(Intercept),8.474305555555556,0.4434644063180641,7.6051153191721506,9.343495791938961,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Replication2,-2.1111111111111134,0.2571078181260222,-2.615042434638117,-1.6071797875841098,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Replication3,-0.9826388888888884,0.3962297585822126,-1.759249215710025,-0.20602856206775166,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Dose_percent75,-1.0833333333333337,0.2571078181260221,-1.587264656860337,-0.5794020098063304,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionControl,-0.5333333333333342,0.5632950067942317,-1.6373915466500284,0.5707248799833599,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin B,-0.8770833333333334,0.6015993309710724,-2.056218022036635,0.3020513553699684,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Cu,-0.5333333333333343,0.563295006794232,-1.6373915466500288,0.5707248799833602,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Fe,0.37291666666666723,0.6015993309710723,-0.8062180220366344,1.5520513553699689,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin K,-0.04374999999999728,0.6015993309710723,-1.222884688703299,1.1353846887033043,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Mg y S,0.5333333333333332,0.5632950067942317,-0.5707248799833609,1.6373915466500273,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Mn,-0.06666666666666683,0.5632950067942316,-1.1707248799833607,1.037391546650027,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Mo,0.33333333333333304,0.5632950067942316,-0.7707248799833608,1.4373915466500269,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin N,-0.5333333333333337,0.563295006794232,-1.6373915466500282,0.5707248799833609,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin P,0.19999999999999982,0.5632950067942318,-0.9040582133166944,1.304058213316694,FALSE
Macollas,M1_Tratamientos,M1,Diseño_completo,Omission_descriptionSin Zn,-0.21041666666666686,0.6015993309710725,-1.389551355369969,0.9687180220366352,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,(Intercept),10.694634968039889,6.843634172795932,-2.7188880106401374,24.108157946719913,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Replication2,-2.0529772973151346,0.324194953892302,-2.6883994069440464,-1.4175551876862227,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Replication3,-0.9046329889856447,0.4509275100537694,-1.7884509086910327,-0.02081506928025667,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Dose_percent75,-1.0162770687449476,0.2930332889681352,-1.5906223151224925,-0.4419318223674027,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionControl,-0.44015577750520873,0.6068610076547917,-1.6296033525086004,0.749291797498183,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin B,-0.8180112416502965,0.6355022921747048,-2.0635957343127176,0.42757325101212484,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Cu,-0.47316666698063614,0.6035624197658804,-1.6561490097217617,0.7098156757604895,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Fe,0.44844374313500435,0.6280076520042155,-0.78245125479325806,1.6793387410632667,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin K,0.017145448485134898,0.6284184219839257,-1.2145546586033593,1.2488455555736293,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Mg y S,0.6267882815231128,0.5981142295530643,-0.5455156084008931,1.7990921714471186,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Mn,0.023393408114730407,0.602411594885197,-1.1573333178602556,1.2041201340897165,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Mo,0.45231010302894237,0.6170894861349981,-0.757185289795654,1.6618054958535389,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin N,-0.4452379954867004,0.6053669451897266,-1.6317572080585645,0.7412812170851636,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin P,0.25072592368867547,0.5857672997114991,-0.8973779837458629,1.3988298311232137,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Omission_descriptionSin Zn,-0.15707410092883384,0.6209692285121519,-1.3741737888126515,1.0600255869549837,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Suelo_CE,0.0014231583522097365,0.002981228009485916,-0.004420048546382659,0.007266365250802131,FALSE
Macollas,M2_CE_original,M2,M2_CE_original,Suelo_T,-0.16291353776878748,0.4146847392535416,-0.975695626705729,0.649868551168154,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,(Intercept),10.286651892626152,6.93188826371212,-3.2998491042496045,23.87315288950191,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Replication2,-2.0529772973151474,0.3241949538923016,-2.6883994069440584,-1.4175551876862365,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Replication3,-0.9046329889856592,0.450927510053769,-1.7884509086910465,-0.02081506928027199,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Dose_percent75,-1.0162770687449567,0.2930332889681351,-1.5906223151225014,-0.441931822367412,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionControl,-0.4401557775052233,0.6068610076547912,-1.6296033525086142,0.7492917974981675,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin B,-0.8180112416503106,0.6355022921747036,-2.0635957343127296,0.4275732510121083,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Cu,-0.4731666669806519,0.6035624197658785,-1.6561490097217737,0.70981567576047,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Fe,0.4484437431349946,0.6280076520042148,-0.7824512547932665,1.6793387410632556,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin K,0.017145448485122054,0.6284184219839245,-1.21455465860337,1.2488455555736142,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Mg y S,0.6267882815230998,0.5981142295530635,-0.5455156084009045,1.7990921714471042,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Mn,0.02339340811471475,0.6024115948851954,-1.1573333178602683,1.2041201340896976,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Mo,0.4523101030289251,0.6170894861349971,-0.7571852897956692,1.6618054958535196,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin N,-0.44523799548671666,0.6053669451897249,-1.6317572080585774,0.7412812170851439,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin P,0.2507259236886654,0.5857672997114985,-0.8973779837458717,1.3988298311232026,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Omission_descriptionSin Zn,-0.15707410092883764,0.6209692285121527,-1.374173788812657,1.0600255869549817,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Suelo_CE_corregida_OLS,0.0015297843192619836,0.0032045877775832452,-0.004751207724801177,0.007810776363325144,FALSE
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Suelo_T,-0.1629135377687852,0.41468473925354205,-0.9756956267057275,0.6498685511681572,FALSE
Macollas,M2_Indice_N,M2,M2_Indice_N,(Intercept),10.744740383656293,6.835376303744004,-2.652597171681956,24.14207793899454,FALSE
Macollas,M2_Indice_N,M2,M2_Indice_N,Replication2,-2.0439207776744035,0.324511747905989,-2.679963803570142,-1.4078777517786651,FALSE
