Respuesta,Modelo_ID,Familia,Escenario,Formula,n_predictores_nominales,Rango_LOOCV_min,Rango_LOOCV_max,n,RMSE,MAE,Sesgo,RRMSE_porcentaje,Cor_Pearson,Cor_Spearman,RMSE_M1,MAE_M1,Cor_Pearson_M1,Cor_Spearman_M1,Delta_RMSE,Mejora_RMSE_porcentaje,Delta_MAE,Mejora_MAE_porcentaje,Cambio_cor_Pearson,Cambio_cor_Spearman,R2,R2_ajustado,AIC,BIC,Sigma_residual,Rango_modelo,n_coeficientes,n_alias,SSE_LOOCV,SSE_M1,R2_incremental_LOOCV,Estado_modelo,Evidencia_integrada
Macollas,M0_Repeticion,M0,Diseño_reducido,Macollas ~ Replication,1,3,3,56,1.0471776370090604,0.8306713989943801,-4.7563562091877476e-17,15.271340539715466,0.6752056703792008,0.38814045720375917,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.018144906027913743,-1.7632972675818785,0.022097900342842203,-2.7329488759766405,-0.031077538049798736,-0.37705919377218183,0.5007633408493046,0.48192422163607085,167.1521200890629,175.2535268520035,1.0300346347124443,3,3,0,61.40853619330527,59.29886824010896,-0.03557686707702385,Modelo reducido,Baja
Macollas,M1_Tratamientos,M1,Diseño_completo,Macollas ~ Replication + Dose_percent + Omission_description,3,15,15,56,1.0290327309811467,0.8085734986515379,-3.0134733858347466e-16,15.00672732680839,0.7062832084289995,0.765199650975941,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0,0,0,0,0,0,0.7112495889703119,0.6126518876431013,160.49113645784476,192.89676350960715,0.8906476080348971,15,15,0,59.29886824010896,59.29886824010896,0,Referencia,Baja
Macollas,M2_CE_original,M2,M2_CE_original,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_CE + Suelo_T,5,17,17,56,1.0817379021385911,0.8449347295343894,0.010454325070348538,15.775344406187788,0.676940300161608,0.7271453672580515,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.05270517115744444,-5.121816786837471,0.03636123088285148,-4.496960504331553,-0.0293429082673915,-0.03805428371788955,0.7137969101088165,0.5963802578457669,163.99491922669222,200.45124965992488,0.9091622279902345,17,17,0,65.52878577969919,59.29886824010896,-0.10505963645654201,Sin mejora frente a M1,Baja
Macollas,M2_CE_corregida,M2,M2_CE_corregida,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_CE_corregida_OLS + Suelo_T,5,17,17,56,1.0817379021385929,0.8449347295343915,0.010454325070348778,15.775344406187815,0.676940300161607,0.7271453672580515,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.05270517115744622,-5.121816786837644,0.03636123088285359,-4.496960504331813,-0.029342908267392498,-0.03805428371788955,0.713796910108816,0.5963802578457661,163.9949192266923,200.451249659925,0.9091622279902352,17,17,0,65.52878577969943,59.29886824010896,-0.10505963645654609,Sin mejora frente a M1,Baja
Macollas,M2_Indice_N,M2,M2_Indice_N,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_N + Suelo_T,5,17,17,56,1.0799379223584937,0.8426529356962724,0.010575212776513934,15.749094701061367,0.6781378674523935,0.7292023555671266,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.05090519137734706,-4.946897202075462,0.034079437044734484,-4.214760575454047,-0.028145340976606037,-0.035997295408814356,0.7141560793662737,0.5968867785934628,163.9245981492613,200.380928582494,0.9085915744112624,17,17,0,65.31089130428687,59.29886824010896,-0.10138512323429907,Sin mejora frente a M1,Baja
Macollas,M2_Indice_P,M2,M2_Indice_P,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_P + Suelo_T,5,17,17,56,1.0813624835833149,0.8447832058101837,0.010037358763881328,15.769869552256676,0.6771725390059797,0.7271453672580515,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.05232975260216821,-5.0853341226837,0.0362097071586458,-4.47822086910255,-0.029110669423019764,-0.03805428371788955,0.7137596173073008,0.5963276654333729,164.00221565677782,200.45854609001051,0.9092214588359265,17,17,0,65.4833099704826,59.29886824010896,-0.1042927447676069,Sin mejora frente a M1,Baja
Macollas,M2_Indice_K,M2,M2_Indice_K,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_K + Suelo_T,5,17,17,56,1.0809953858294656,0.8441315697631284,0.010355410064144135,15.764516043346374,0.6774323344551907,0.7266996864577518,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.05196265484831897,-5.049660062685702,0.035558071111590484,-4.397630044874196,-0.02885087397380881,-0.038499964518189156,0.7139456268513982,0.596589986585305,163.96581296487847,200.42214339811113,0.9089259880289927,17,17,0,65.43885735433732,59.29886824010896,-0.10354310792858185,Sin mejora frente a M1,Baja
Macollas,M2_Exploratorio_pH_T_Hv,M2,M2_Exploratorio_pH_T_Hv,Macollas ~ Replication + Dose_percent + Omission_description +     Suelo_pH + Suelo_T + Suelo_Hv,6,18,18,56,1.0711223016626963,0.8137511749979353,0.012920597011677597,15.620533565914322,0.6841438276206052,0.7161404798044997,1.0290327309811467,0.8085734986515379,0.7062832084289995,0.765199650975941,0.042089570681549615,-4.090207183343788,0.00517767634639732,-0.6403470253517035,-0.022139380808394282,-0.04905917117144132,0.7221672275609416,0.597873618838205,164.3327121837209,202.81439430768873,0.9074787553472897,18,18,0,64.24896716667476,59.29886824010896,-0.08347712314714331,Sin mejora frente a M1,Baja
Altura,M0_Repeticion,M0,Diseño_reducido,Altura ~ Replication,1,3,3,56,4.662046772132021,3.775051759834368,1.9159339293655415e-14,10.420615182317684,0.5033038171292328,0.024607812994993577,5.2357437065642145,4.323755222310528,0.40922708328377283,0.24686421286505358,-0.5736969344321938,10.957315074703374,-0.5487034624761598,12.690437692792047,0.09407673384545995,-0.22225639987006002,0.3392587535560527,0.31432512161477166,331.9815423189308,340.0829490818714,4.487445897705712,3,3,0,1217.142085910609,1535.1286810062998,0.20714002612943547,Modelo reducido,Baja
Altura,M1_Tratamientos,M1,Diseño_completo,Altura ~ Replication + Dose_percent + Omission_description,3,15,15,56,5.2357437065642145,4.323755222310528,1.8905558542281486e-14,11.702943583810594,0.40922708328377283,0.24686421286505358,5.2357437065642145,4.323755222310528,0.40922708328377283,0.24686421286505358,0,0,0,0,0,0,0.49984982490081037,0.3290668382815748,340.3881238090089,372.7937508607713,4.438944708651818,15,15,0,1535.1286810062998,1535.1286810062998,0,Referencia,Baja
