Nodo,Respuesta,Modelo_ID,Familia,Escenario,Observado,Predicho_LOOCV,Residuo_LOOCV
1,Macollas,M0_Repeticion,M0,Diseño_reducido,8.666666666666666,7.782608695652174,0.8840579710144922
2,Macollas,M0_Repeticion,M0,Diseño_reducido,8.333333333333334,7.797101449275363,0.5362318840579707
3,Macollas,M0_Repeticion,M0,Diseño_reducido,7.333333333333333,7.840579710144928,-0.5072463768115947
4,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.826086956521739,-0.15942028985507228
5,Macollas,M0_Repeticion,M0,Diseño_reducido,8,7.811594202898551,0.18840579710144922
6,Macollas,M0_Repeticion,M0,Diseño_reducido,5.666666666666667,7.91304347826087,-2.246376811594203
7,Macollas,M0_Repeticion,M0,Diseño_reducido,6.666666666666667,5.666666666666666,1.0000000000000009
8,Macollas,M0_Repeticion,M0,Diseño_reducido,5.666666666666667,5.710144927536231,-0.043478260869563634
9,Macollas,M0_Repeticion,M0,Diseño_reducido,4.666666666666667,5.753623188405797,-1.08695652173913
10,Macollas,M0_Repeticion,M0,Diseño_reducido,6.333333333333333,5.681159420289854,0.6521739130434794
11,Macollas,M0_Repeticion,M0,Diseño_reducido,6,5.695652173913043,0.304347826086957
12,Macollas,M0_Repeticion,M0,Diseño_reducido,5.666666666666667,5.710144927536231,-0.043478260869563634
13,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.380952380952381,0.2857142857142856
14,Macollas,M0_Repeticion,M0,Diseño_reducido,7.333333333333333,7.42857142857143,-0.09523809523809668
15,Macollas,M0_Repeticion,M0,Diseño_reducido,7.333333333333333,7.42857142857143,-0.09523809523809668
16,Macollas,M0_Repeticion,M0,Diseño_reducido,6.666666666666667,7.523809523809524,-0.8571428571428568
17,Macollas,M0_Repeticion,M0,Diseño_reducido,5.333333333333333,5.72463768115942,-0.3913043478260869
18,Macollas,M0_Repeticion,M0,Diseño_reducido,6,5.695652173913043,0.304347826086957
19,Macollas,M0_Repeticion,M0,Diseño_reducido,6,5.695652173913043,0.304347826086957
20,Macollas,M0_Repeticion,M0,Diseño_reducido,5.666666666666667,5.710144927536231,-0.043478260869563634
21,Macollas,M0_Repeticion,M0,Diseño_reducido,6.666666666666667,5.666666666666666,1.0000000000000009
22,Macollas,M0_Repeticion,M0,Diseño_reducido,7,5.6521739130434785,1.3478260869565215
23,Macollas,M0_Repeticion,M0,Diseño_reducido,6.333333333333333,7.884057971014492,-1.5507246376811592
24,Macollas,M0_Repeticion,M0,Diseño_reducido,6.333333333333333,7.884057971014492,-1.5507246376811592
25,Macollas,M0_Repeticion,M0,Diseño_reducido,6.333333333333333,7.884057971014492,-1.5507246376811592
26,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.826086956521739,-0.15942028985507228
27,Macollas,M0_Repeticion,M0,Diseño_reducido,7,7.855072463768116,-0.8550724637681162
28,Macollas,M0_Repeticion,M0,Diseño_reducido,9.333333333333334,7.753623188405798,1.5797101449275361
29,Macollas,M0_Repeticion,M0,Diseño_reducido,9.333333333333334,7.753623188405798,1.5797101449275361
30,Macollas,M0_Repeticion,M0,Diseño_reducido,8.666666666666666,7.782608695652175,0.8840579710144914
31,Macollas,M0_Repeticion,M0,Diseño_reducido,9.333333333333334,7.753623188405798,1.5797101449275361
32,Macollas,M0_Repeticion,M0,Diseño_reducido,7,7.855072463768116,-0.8550724637681162
33,Macollas,M0_Repeticion,M0,Diseño_reducido,6.666666666666667,7.869565217391305,-1.2028985507246377
34,Macollas,M0_Repeticion,M0,Diseño_reducido,7,7.855072463768116,-0.8550724637681162
35,Macollas,M0_Repeticion,M0,Diseño_reducido,7,5.6521739130434785,1.3478260869565215
36,Macollas,M0_Repeticion,M0,Diseño_reducido,5.333333333333333,5.72463768115942,-0.3913043478260869
37,Macollas,M0_Repeticion,M0,Diseño_reducido,5,5.7391304347826075,-0.7391304347826075
38,Macollas,M0_Repeticion,M0,Diseño_reducido,4.666666666666667,5.753623188405796,-1.086956521739129
39,Macollas,M0_Repeticion,M0,Diseño_reducido,6,5.695652173913043,0.304347826086957
40,Macollas,M0_Repeticion,M0,Diseño_reducido,5,5.7391304347826075,-0.7391304347826075
41,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.380952380952381,0.2857142857142856
42,Macollas,M0_Repeticion,M0,Diseño_reducido,7.333333333333333,7.42857142857143,-0.09523809523809668
43,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.380952380952381,0.2857142857142856
44,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.380952380952381,0.2857142857142856
45,Macollas,M0_Repeticion,M0,Diseño_reducido,5,5.7391304347826075,-0.7391304347826075
46,Macollas,M0_Repeticion,M0,Diseño_reducido,4.666666666666667,5.753623188405796,-1.086956521739129
47,Macollas,M0_Repeticion,M0,Diseño_reducido,5.333333333333333,5.72463768115942,-0.3913043478260869
48,Macollas,M0_Repeticion,M0,Diseño_reducido,6.333333333333333,5.681159420289855,0.6521739130434776
49,Macollas,M0_Repeticion,M0,Diseño_reducido,7,5.6521739130434785,1.3478260869565215
50,Macollas,M0_Repeticion,M0,Diseño_reducido,4,5.782608695652174,-1.7826086956521738
51,Macollas,M0_Repeticion,M0,Diseño_reducido,6,7.898550724637682,-1.8985507246376816
52,Macollas,M0_Repeticion,M0,Diseño_reducido,7.666666666666667,7.826086956521739,-0.15942028985507228
53,Macollas,M0_Repeticion,M0,Diseño_reducido,8.666666666666666,7.782608695652175,0.8840579710144914
54,Macollas,M0_Repeticion,M0,Diseño_reducido,9.666666666666666,7.739130434782609,1.9275362318840568
55,Macollas,M0_Repeticion,M0,Diseño_reducido,10.666666666666666,7.695652173913045,2.9710144927536213
