Fila_base,Nodo,Respuesta,Modelo_ID,Tipo_modelo,Cook,Leverage,Residuo_estandarizado,Umbral_Cook,Umbral_Leverage,Influyente_Cook,Influyente_Leverage,Residuo_extremo,Estado_influencia
1,1,Macollas,M1_Tratamientos,M1,0.0027235867834869126,0.2916666666666667,0.3149863103123151,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
2,2,Macollas,M1_Tratamientos,M1,0.012901696562606502,0.29166666666666785,-0.6855584400914796,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
3,3,Macollas,M1_Tratamientos,M1,0.013600718314323667,0.24791666666666634,-0.786695512366124,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
4,4,Macollas,M1_Tratamientos,M1,2.1105650193303915e-4,0.2479166666666665,0.09799978382618105,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
5,5,Macollas,M1_Tratamientos,M1,0.013662964083431716,0.24791666666666654,0.7884936735372444,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
6,6,Macollas,M1_Tratamientos,M1,0.05224851947630545,0.24791666666666662,-1.5419232042375963,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
7,7,Macollas,M1_Tratamientos,M1,0.02579406760536262,0.24791666666666679,1.0833921056013447,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
8,8,Macollas,M1_Tratamientos,M1,0.020818004168588967,0.2916666666666669,-0.8708445049810787,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
9,9,Macollas,M1_Tratamientos,M1,0.04983969347999879,0.24791666666666676,-1.5059599808151445,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
10,10,Macollas,M1_Tratamientos,M1,0.02683178131775383,0.24791666666666698,1.1049700396548146,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
11,11,Macollas,M1_Tratamientos,M1,0.02280371264286789,0.2479166666666666,1.0186583034409316,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
12,12,Macollas,M1_Tratamientos,M1,0.017425300908882124,0.2916666666666665,0.7967300790252388,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
13,13,Macollas,M1_Tratamientos,M1,0.025816505917816885,0.30000000000000004,0.9505670450439522,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
14,14,Macollas,M1_Tratamientos,M1,0.012438374685110129,0.2999999999999998,-0.6598053606775675,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
15,15,Macollas,M1_Tratamientos,M1,4.3235947627071124e-4,0.2999999999999999,-0.12301455877039476,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
16,16,Macollas,M1_Tratamientos,M1,0.004377193044889343,0.30000000000000016,-0.3914099597239791,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
17,17,Macollas,M1_Tratamientos,M1,1.0532396262612202e-4,0.24791666666666662,0.0692292050882187,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
18,18,Macollas,M1_Tratamientos,M1,0.0012854355303742358,0.2479166666666667,0.2418526775159852,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
19,19,Macollas,M1_Tratamientos,M1,0.005511326375576285,0.2479166666666667,0.5007878861576344,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
20,20,Macollas,M1_Tratamientos,M1,0.0015926856969178424,0.29166666666666674,0.24087188435646795,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
21,21,Macollas,M1_Tratamientos,M1,3.284601229476987e-5,0.24791666666666667,-0.038660465179134205,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
22,22,Macollas,M1_Tratamientos,M1,3.9438308218291867e-4,0.2479166666666667,0.13396300724863067,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
23,23,Macollas,M1_Tratamientos,M1,0.010126040107261754,0.2479166666666666,-0.6788058420987664,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
24,24,Macollas,M1_Tratamientos,M1,0.03506735785935666,0.29166666666666674,-1.1302449958265017,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
25,25,Macollas,M1_Tratamientos,M1,0.010126040107261803,0.24791666666666673,-0.6788058420987677,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
26,26,Macollas,M1_Tratamientos,M1,2.3560439303517845e-4,0.29166666666666663,0.09264303244479433,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
27,27,Macollas,M1_Tratamientos,M1,0.0800655568134779,0.24791666666666679,-1.9087480831466,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,Revisar
28,28,Macollas,M1_Tratamientos,M1,0.0714125422256831,0.24791666666666667,1.8026565740503675,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
29,29,Macollas,M1_Tratamientos,M1,0.05587593785222395,0.29166666666666674,1.4267026996498455,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
30,30,Macollas,M1_Tratamientos,M1,0.019398954340831547,0.24791666666666673,0.9395392119115366,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
31,31,Macollas,M1_Tratamientos,M1,0.0039074319688319065,0.24791666666666665,0.42166879462824064,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
32,32,Macollas,M1_Tratamientos,M1,0.005890109825879678,0.29166666666666663,-0.4632151622239801,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
33,33,Macollas,M1_Tratamientos,M1,0.015931097587918625,0.2479166666666666,-0.8514293145265324,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
34,34,Macollas,M1_Tratamientos,M1,0.019324771026963037,0.24791666666666656,-0.9377410507404154,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
35,35,Macollas,M1_Tratamientos,M1,0.014937723327494842,0.24791666666666676,0.8244568969596942,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
36,36,Macollas,M1_Tratamientos,M1,0.032805555686218915,0.29166666666666674,-1.0931877828485839,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
37,37,Macollas,M1_Tratamientos,M1,0.025367726721060493,0.24791666666666679,-1.0744012997457304,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
38,38,Macollas,M1_Tratamientos,M1,2.3493159145394484e-4,0.24791666666666679,-0.10339426733954644,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
39,39,Macollas,M1_Tratamientos,M1,0.02850813155725692,0.29166666666666663,1.0190733568927435,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
40,40,Macollas,M1_Tratamientos,M1,0.020818004168588766,0.2916666666666665,-0.8708445049810752,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
41,41,Macollas,M1_Tratamientos,M1,0.02581650591781683,0.3,0.9505670450439511,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
42,42,Macollas,M1_Tratamientos,M1,0.006606881583673832,0.3,-0.4808750933751759,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
43,43,Macollas,M1_Tratamientos,M1,0.006606881583673825,0.3,-0.4808750933751756,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
44,44,Macollas,M1_Tratamientos,M1,0.0015757894961601667,0.29999999999999993,0.23484597583438782,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
45,45,Macollas,M1_Tratamientos,M1,0.0023666360129642695,0.24791666666666673,0.3281644137298684,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
46,46,Macollas,M1_Tratamientos,M1,0.00340212743542806,0.2916666666666667,0.35204352329022276,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
47,47,Macollas,M1_Tratamientos,M1,0.012684085413074196,0.24791666666666676,0.7597230947992835,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
48,48,Macollas,M1_Tratamientos,M1,4.989964766685349e-5,0.24791666666666665,0.047651271034747734,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
49,49,Macollas,M1_Tratamientos,M1,0.0034021274354280166,0.2916666666666665,0.3520435232902206,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
50,50,Macollas,M1_Tratamientos,M1,0.24201028903384705,0.24791666666666665,-3.318506441306686,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,Revisar
51,51,Macollas,M1_Tratamientos,M1,0.012901696562606629,0.29166666666666674,-0.6855584400914847,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
52,52,Macollas,M1_Tratamientos,M1,0.0024450827356758322,0.24791666666666665,-0.3335588972432349,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
53,53,Macollas,M1_Tratamientos,M1,0.03981714242294568,0.2916666666666664,1.2043594217823348,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
54,54,Macollas,M1_Tratamientos,M1,0.027182233524649966,0.24791666666666656,1.1121626843393027,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
55,55,Macollas,M1_Tratamientos,M1,0.14622001914885976,0.24791666666666676,2.579462199975311,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,Revisar
56,56,Macollas,M1_Tratamientos,M1,2.0338236601559638e-4,0.2479166666666667,-0.09620162265505712,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
1,1,Altura,M1_Tratamientos,M1,0.18246881299541087,0.2916666666666667,-2.578192814296473,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,Revisar
2,2,Altura,M1_Tratamientos,M1,8.274265976290471e-4,0.29166666666666785,-0.17361442599516147,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
3,3,Altura,M1_Tratamientos,M1,0.004255632527038945,0.24791666666666634,-0.4400558609872267,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
4,4,Altura,M1_Tratamientos,M1,0.03889753945653048,0.2479166666666665,1.3304140259001598,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
5,5,Altura,M1_Tratamientos,M1,0.011583599311545114,0.24791666666666654,0.7260182086288509,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
6,6,Altura,M1_Tratamientos,M1,0.009933833263537254,0.24791666666666662,0.6723326202752401,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
7,7,Altura,M1_Tratamientos,M1,0.006421783073083188,0.24791666666666679,0.5405720230525295,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
8,8,Altura,M1_Tratamientos,M1,0.02331571669162637,0.2916666666666669,0.9216063427023737,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
9,9,Altura,M1_Tratamientos,M1,0.016618823428508726,0.24791666666666676,0.8696127258649922,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
10,10,Altura,M1_Tratamientos,M1,0.03087884269491655,0.24791666666666698,1.1853763476867734,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
11,11,Altura,M1_Tratamientos,M1,0.029279793134783905,0.2479166666666666,-1.154276228627087,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
12,12,Altura,M1_Tratamientos,M1,0.0010062599184560593,0.2916666666666665,0.19145916357068168,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
13,13,Altura,M1_Tratamientos,M1,0.10300492601908746,0.30000000000000004,-1.8987291567435467,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,Revisar
14,14,Altura,M1_Tratamientos,M1,0.09866938127157578,0.2999999999999998,1.858340212260703,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,Revisar
15,15,Altura,M1_Tratamientos,M1,0.029415285542011196,0.2999999999999999,1.0146600386190403,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
16,16,Altura,M1_Tratamientos,M1,0.06384416469481141,0.30000000000000016,-1.494839711915093,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
17,17,Altura,M1_Tratamientos,M1,0.07539092018330226,0.24791666666666662,-1.8521888772240407,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,Revisar
18,18,Altura,M1_Tratamientos,M1,0.01126802524783586,0.2479166666666667,0.7160603978858416,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
19,19,Altura,M1_Tratamientos,M1,9.758697656433372e-5,0.2479166666666667,0.06663795812440894,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
20,20,Altura,M1_Tratamientos,M1,0.015160771572854451,0.29166666666666674,0.7431589669471691,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
21,21,Altura,M1_Tratamientos,M1,0.0023756410035110863,0.24791666666666667,-0.32878814964144176,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
22,22,Altura,M1_Tratamientos,M1,5.989562958097143e-5,0.2479166666666667,0.05220634835193286,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
23,23,Altura,M1_Tratamientos,M1,0.009478595938890255,0.2479166666666666,0.6567464817209633,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
24,24,Altura,M1_Tratamientos,M1,0.10750004558034527,0.29166666666666674,-1.9789070440519159,0.07142857142857142,0.5357142857142857,TRUE,FALSE,FALSE,Revisar
25,25,Altura,M1_Tratamientos,M1,0.0019220644323860656,0.24791666666666673,-0.2957397632624709,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
26,26,Altura,M1_Tratamientos,M1,0.005454237967885178,0.29166666666666663,-0.44574667402183893,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
27,27,Altura,M1_Tratamientos,M1,0.01857629847517952,0.24791666666666679,0.9194017795800337,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
28,28,Altura,M1_Tratamientos,M1,0.017135764028385656,0.24791666666666667,0.8830341229533941,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
29,29,Altura,M1_Tratamientos,M1,0.05773612288939773,0.29166666666666674,1.4502566933771424,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
30,30,Altura,M1_Tratamientos,M1,0.002529245257014227,0.24791666666666673,0.33925106672648664,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
31,31,Altura,M1_Tratamientos,M1,6.376431337425404e-5,0.24791666666666665,-0.053865983475767376,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
32,32,Altura,M1_Tratamientos,M1,0.057145626919152114,0.29166666666666663,1.4428213860540142,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
33,33,Altura,M1_Tratamientos,M1,0.02087390531746473,0.2479166666666666,-0.9746026869597543,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
34,34,Altura,M1_Tratamientos,M1,0.03734789370931089,0.24791666666666656,-1.3036433897722164,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
35,35,Altura,M1_Tratamientos,M1,0.004906838080725704,0.24791666666666676,-0.47252698297530604,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
36,36,Altura,M1_Tratamientos,M1,0.003121118731861445,0.29166666666666674,0.3371911871040922,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
37,37,Altura,M1_Tratamientos,M1,0.0028749270863083058,0.24791666666666679,-0.36169221992268585,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
38,38,Altura,M1_Tratamientos,M1,0.03812086771593659,0.24791666666666679,-1.3170647868606182,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
39,39,Altura,M1_Tratamientos,M1,0.0012543865983204805,0.29166666666666663,0.21376508554008616,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
40,40,Altura,M1_Tratamientos,M1,1.563463662160614e-4,0.2916666666666665,0.0754683693298019,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
41,41,Altura,M1_Tratamientos,M1,4.673708952017873e-4,0.3,0.12789832419567723,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
42,42,Altura,M1_Tratamientos,M1,0.007412482258803624,0.3,-0.5093494665336626,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
43,43,Altura,M1_Tratamientos,M1,0.001119049049796738,0.3,0.197905827965944,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
44,44,Altura,M1_Tratamientos,M1,0.014165040841401593,0.29999999999999993,0.7041139321509381,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
45,45,Altura,M1_Tratamientos,M1,0.01854715118672446,0.24791666666666673,0.9186801990914082,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
46,46,Altura,M1_Tratamientos,M1,0.01163236465735203,0.2916666666666667,0.650961156140317,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
47,47,Altura,M1_Tratamientos,M1,0.01030831704890862,0.24791666666666676,0.6848881207772916,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
48,48,Altura,M1_Tratamientos,M1,0.003951441387427897,0.24791666666666665,-0.4240367741397843,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
49,49,Altura,M1_Tratamientos,M1,0.034809217669930274,0.2916666666666665,-1.1260772940885304,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
50,50,Altura,M1_Tratamientos,M1,0.02524161773898941,0.24791666666666665,-1.0717274207285212,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
51,51,Altura,M1_Tratamientos,M1,0.02468974663626939,0.29166666666666674,-0.9483734490656467,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
52,52,Altura,M1_Tratamientos,M1,0.0180120542050202,0.24791666666666665,-0.9053309600518697,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
53,53,Altura,M1_Tratamientos,M1,0.04114141054006901,0.2916666666666664,1.224223350753892,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
