Nodo,Respuesta,Modelo_ID,Tipo_modelo,Replication_excluida,Observado,Predicho,Residuo
1,Macollas,M1_Tratamientos,M1,1,8.666666666666666,NA,NA
2,Macollas,M1_Tratamientos,M1,1,8.333333333333334,NA,NA
3,Macollas,M1_Tratamientos,M1,1,7.333333333333333,NA,NA
4,Macollas,M1_Tratamientos,M1,1,7.666666666666667,NA,NA
5,Macollas,M1_Tratamientos,M1,1,8,NA,NA
6,Macollas,M1_Tratamientos,M1,1,5.666666666666667,NA,NA
23,Macollas,M1_Tratamientos,M1,1,6.333333333333333,NA,NA
24,Macollas,M1_Tratamientos,M1,1,6.333333333333333,NA,NA
25,Macollas,M1_Tratamientos,M1,1,6.333333333333333,NA,NA
26,Macollas,M1_Tratamientos,M1,1,7.666666666666667,NA,NA
27,Macollas,M1_Tratamientos,M1,1,7,NA,NA
28,Macollas,M1_Tratamientos,M1,1,9.333333333333334,NA,NA
29,Macollas,M1_Tratamientos,M1,1,9.333333333333334,NA,NA
30,Macollas,M1_Tratamientos,M1,1,8.666666666666666,NA,NA
31,Macollas,M1_Tratamientos,M1,1,9.333333333333334,NA,NA
32,Macollas,M1_Tratamientos,M1,1,7,NA,NA
33,Macollas,M1_Tratamientos,M1,1,6.666666666666667,NA,NA
34,Macollas,M1_Tratamientos,M1,1,7,NA,NA
51,Macollas,M1_Tratamientos,M1,1,6,NA,NA
52,Macollas,M1_Tratamientos,M1,1,7.666666666666667,NA,NA
53,Macollas,M1_Tratamientos,M1,1,8.666666666666666,NA,NA
54,Macollas,M1_Tratamientos,M1,1,9.666666666666666,NA,NA
55,Macollas,M1_Tratamientos,M1,1,10.666666666666666,NA,NA
56,Macollas,M1_Tratamientos,M1,1,8.333333333333334,NA,NA
7,Macollas,M1_Tratamientos,M1,2,6.666666666666667,NA,NA
8,Macollas,M1_Tratamientos,M1,2,5.666666666666667,NA,NA
9,Macollas,M1_Tratamientos,M1,2,4.666666666666667,NA,NA
10,Macollas,M1_Tratamientos,M1,2,6.333333333333333,NA,NA
11,Macollas,M1_Tratamientos,M1,2,6,NA,NA
12,Macollas,M1_Tratamientos,M1,2,5.666666666666667,NA,NA
17,Macollas,M1_Tratamientos,M1,2,5.333333333333333,NA,NA
18,Macollas,M1_Tratamientos,M1,2,6,NA,NA
19,Macollas,M1_Tratamientos,M1,2,6,NA,NA
20,Macollas,M1_Tratamientos,M1,2,5.666666666666667,NA,NA
21,Macollas,M1_Tratamientos,M1,2,6.666666666666667,NA,NA
22,Macollas,M1_Tratamientos,M1,2,7,NA,NA
35,Macollas,M1_Tratamientos,M1,2,7,NA,NA
36,Macollas,M1_Tratamientos,M1,2,5.333333333333333,NA,NA
37,Macollas,M1_Tratamientos,M1,2,5,NA,NA
38,Macollas,M1_Tratamientos,M1,2,4.666666666666667,NA,NA
39,Macollas,M1_Tratamientos,M1,2,6,NA,NA
40,Macollas,M1_Tratamientos,M1,2,5,NA,NA
45,Macollas,M1_Tratamientos,M1,2,5,NA,NA
46,Macollas,M1_Tratamientos,M1,2,4.666666666666667,NA,NA
47,Macollas,M1_Tratamientos,M1,2,5.333333333333333,NA,NA
48,Macollas,M1_Tratamientos,M1,2,6.333333333333333,NA,NA
49,Macollas,M1_Tratamientos,M1,2,7,NA,NA
50,Macollas,M1_Tratamientos,M1,2,4,NA,NA
13,Macollas,M1_Tratamientos,M1,3,7.666666666666667,NA,NA
14,Macollas,M1_Tratamientos,M1,3,7.333333333333333,NA,NA
15,Macollas,M1_Tratamientos,M1,3,7.333333333333333,NA,NA
16,Macollas,M1_Tratamientos,M1,3,6.666666666666667,NA,NA
41,Macollas,M1_Tratamientos,M1,3,7.666666666666667,NA,NA
42,Macollas,M1_Tratamientos,M1,3,7.333333333333333,NA,NA
43,Macollas,M1_Tratamientos,M1,3,7.666666666666667,NA,NA
44,Macollas,M1_Tratamientos,M1,3,7.666666666666667,NA,NA
1,Altura,M1_Tratamientos,M1,1,28.53333333333333,NA,NA
2,Altura,M1_Tratamientos,M1,1,39.13333333333333,NA,NA
3,Altura,M1_Tratamientos,M1,1,39.9,NA,NA
4,Altura,M1_Tratamientos,M1,1,48.333333333333336,NA,NA
5,Altura,M1_Tratamientos,M1,1,46.5,NA,NA
6,Altura,M1_Tratamientos,M1,1,44.43333333333334,NA,NA
23,Altura,M1_Tratamientos,M1,1,45.06666666666666,NA,NA
24,Altura,M1_Tratamientos,M1,1,38.733333333333334,NA,NA
25,Altura,M1_Tratamientos,M1,1,41.9,NA,NA
26,Altura,M1_Tratamientos,M1,1,40.93333333333333,NA,NA
27,Altura,M1_Tratamientos,M1,1,46.300000000000004,NA,NA
28,Altura,M1_Tratamientos,M1,1,44.300000000000004,NA,NA
29,Altura,M1_Tratamientos,M1,1,50.6,NA,NA
30,Altura,M1_Tratamientos,M1,1,43.4,NA,NA
31,Altura,M1_Tratamientos,M1,1,44.6,NA,NA
32,Altura,M1_Tratamientos,M1,1,44.5,NA,NA
33,Altura,M1_Tratamientos,M1,1,40.800000000000004,NA,NA
34,Altura,M1_Tratamientos,M1,1,42.06666666666666,NA,NA
51,Altura,M1_Tratamientos,M1,1,40,NA,NA
52,Altura,M1_Tratamientos,M1,1,42.266666666666666,NA,NA
53,Altura,M1_Tratamientos,M1,1,45.300000000000004,NA,NA
54,Altura,M1_Tratamientos,M1,1,45.26666666666667,NA,NA
55,Altura,M1_Tratamientos,M1,1,38.6,NA,NA
56,Altura,M1_Tratamientos,M1,1,49.666666666666664,NA,NA
7,Altura,M1_Tratamientos,M1,2,44.699999999999996,NA,NA
8,Altura,M1_Tratamientos,M1,2,42.63333333333333,NA,NA
9,Altura,M1_Tratamientos,M1,2,46.46666666666667,NA,NA
10,Altura,M1_Tratamientos,M1,2,48.800000000000004,NA,NA
11,Altura,M1_Tratamientos,M1,2,41.13333333333333,NA,NA
12,Altura,M1_Tratamientos,M1,2,47.86666666666667,NA,NA
17,Altura,M1_Tratamientos,M1,2,37.6,NA,NA
18,Altura,M1_Tratamientos,M1,2,49.53333333333333,NA,NA
19,Altura,M1_Tratamientos,M1,2,48.36666666666667,NA,NA
20,Altura,M1_Tratamientos,M1,2,46.4,NA,NA
21,Altura,M1_Tratamientos,M1,2,45.9,NA,NA
22,Altura,M1_Tratamientos,M1,2,46.03333333333333,NA,NA
35,Altura,M1_Tratamientos,M1,2,41.96666666666667,NA,NA
36,Altura,M1_Tratamientos,M1,2,47.46666666666666,NA,NA
37,Altura,M1_Tratamientos,M1,2,40.53333333333334,NA,NA
38,Altura,M1_Tratamientos,M1,2,37.800000000000004,NA,NA
39,Altura,M1_Tratamientos,M1,2,40.93333333333333,NA,NA
40,Altura,M1_Tratamientos,M1,2,42.03333333333333,NA,NA
45,Altura,M1_Tratamientos,M1,2,47.599999999999994,NA,NA
46,Altura,M1_Tratamientos,M1,2,47,NA,NA
47,Altura,M1_Tratamientos,M1,2,46.199999999999996,NA,NA
48,Altura,M1_Tratamientos,M1,2,43,NA,NA
49,Altura,M1_Tratamientos,M1,2,36.6,NA,NA
50,Altura,M1_Tratamientos,M1,2,39.166666666666664,NA,NA
13,Altura,M1_Tratamientos,M1,3,44.333333333333336,NA,NA
14,Altura,M1_Tratamientos,M1,3,62.333333333333336,NA,NA
15,Altura,M1_Tratamientos,M1,3,56.666666666666664,NA,NA
16,Altura,M1_Tratamientos,M1,3,45.333333333333336,NA,NA
41,Altura,M1_Tratamientos,M1,3,50.666666666666664,NA,NA
42,Altura,M1_Tratamientos,M1,3,49.666666666666664,NA,NA
43,Altura,M1_Tratamientos,M1,3,54.833333333333336,NA,NA
44,Altura,M1_Tratamientos,M1,3,54.666666666666664,NA,NA
1,Diametro,M1_Tratamientos,M1,1,3.3555555555555556,NA,NA
2,Diametro,M1_Tratamientos,M1,1,3.2999999999999994,NA,NA
3,Diametro,M1_Tratamientos,M1,1,3.3444444444444446,NA,NA
4,Diametro,M1_Tratamientos,M1,1,3.3000000000000003,NA,NA
5,Diametro,M1_Tratamientos,M1,1,3.077777777777778,NA,NA
6,Diametro,M1_Tratamientos,M1,1,3.3333333333333335,NA,NA
23,Diametro,M1_Tratamientos,M1,1,3.055555555555556,NA,NA
24,Diametro,M1_Tratamientos,M1,1,2.833333333333333,NA,NA
25,Diametro,M1_Tratamientos,M1,1,2.844444444444444,NA,NA
26,Diametro,M1_Tratamientos,M1,1,3.511111111111111,NA,NA
27,Diametro,M1_Tratamientos,M1,1,3.411111111111111,NA,NA
28,Diametro,M1_Tratamientos,M1,1,3.6222222222222222,NA,NA
29,Diametro,M1_Tratamientos,M1,1,3.577777777777778,NA,NA
30,Diametro,M1_Tratamientos,M1,1,3.333333333333334,NA,NA
31,Diametro,M1_Tratamientos,M1,1,3.488888888888889,NA,NA
32,Diametro,M1_Tratamientos,M1,1,3.077777777777778,NA,NA
33,Diametro,M1_Tratamientos,M1,1,3.0444444444444443,NA,NA
34,Diametro,M1_Tratamientos,M1,1,3.2222222222222228,NA,NA
51,Diametro,M1_Tratamientos,M1,1,3.488888888888889,NA,NA
52,Diametro,M1_Tratamientos,M1,1,3.2000000000000006,NA,NA
53,Diametro,M1_Tratamientos,M1,1,3.0555555555555554,NA,NA
54,Diametro,M1_Tratamientos,M1,1,3.377777777777778,NA,NA
55,Diametro,M1_Tratamientos,M1,1,3.5222222222222217,NA,NA
56,Diametro,M1_Tratamientos,M1,1,3.377777777777778,NA,NA
7,Diametro,M1_Tratamientos,M1,2,3.1333333333333337,NA,NA
8,Diametro,M1_Tratamientos,M1,2,2.888888888888889,NA,NA
9,Diametro,M1_Tratamientos,M1,2,3.333333333333334,NA,NA
10,Diametro,M1_Tratamientos,M1,2,3.2777777777777786,NA,NA
11,Diametro,M1_Tratamientos,M1,2,3.222222222222222,NA,NA
12,Diametro,M1_Tratamientos,M1,2,3.2222222222222223,NA,NA
17,Diametro,M1_Tratamientos,M1,2,3.255555555555555,NA,NA
18,Diametro,M1_Tratamientos,M1,2,3.3444444444444446,NA,NA
19,Diametro,M1_Tratamientos,M1,2,3.6222222222222222,NA,NA
20,Diametro,M1_Tratamientos,M1,2,3.4222222222222225,NA,NA
21,Diametro,M1_Tratamientos,M1,2,3.622222222222222,NA,NA
22,Diametro,M1_Tratamientos,M1,2,5.233333333333333,NA,NA
35,Diametro,M1_Tratamientos,M1,2,3.077777777777778,NA,NA
36,Diametro,M1_Tratamientos,M1,2,3.211111111111111,NA,NA
37,Diametro,M1_Tratamientos,M1,2,2.6666666666666665,NA,NA
38,Diametro,M1_Tratamientos,M1,2,2.8555555555555556,NA,NA
39,Diametro,M1_Tratamientos,M1,2,3.1111111111111116,NA,NA
40,Diametro,M1_Tratamientos,M1,2,3.355555555555556,NA,NA
45,Diametro,M1_Tratamientos,M1,2,3.3111111111111113,NA,NA
46,Diametro,M1_Tratamientos,M1,2,3.2444444444444445,NA,NA
47,Diametro,M1_Tratamientos,M1,2,3.088888888888889,NA,NA
48,Diametro,M1_Tratamientos,M1,2,3.4,NA,NA
49,Diametro,M1_Tratamientos,M1,2,3.0222222222222226,NA,NA
50,Diametro,M1_Tratamientos,M1,2,3.1111111111111107,NA,NA
13,Diametro,M1_Tratamientos,M1,3,3.3111111111111113,NA,NA
14,Diametro,M1_Tratamientos,M1,3,3.533333333333333,NA,NA
15,Diametro,M1_Tratamientos,M1,3,4.022222222222222,NA,NA
16,Diametro,M1_Tratamientos,M1,3,3.2777777777777777,NA,NA
41,Diametro,M1_Tratamientos,M1,3,3.6222222222222222,NA,NA
42,Diametro,M1_Tratamientos,M1,3,3.4,NA,NA
43,Diametro,M1_Tratamientos,M1,3,3.4000000000000004,NA,NA
44,Diametro,M1_Tratamientos,M1,3,3.6999999999999997,NA,NA
1,NDVI,M1_Tratamientos,M1,1,0.7,NA,NA
2,NDVI,M1_Tratamientos,M1,1,0.69,NA,NA
3,NDVI,M1_Tratamientos,M1,1,0.7,NA,NA
4,NDVI,M1_Tratamientos,M1,1,0.66,NA,NA
5,NDVI,M1_Tratamientos,M1,1,0.68,NA,NA
6,NDVI,M1_Tratamientos,M1,1,0.65,NA,NA
23,NDVI,M1_Tratamientos,M1,1,0.7,NA,NA
24,NDVI,M1_Tratamientos,M1,1,0.67,NA,NA
25,NDVI,M1_Tratamientos,M1,1,0.66,NA,NA
26,NDVI,M1_Tratamientos,M1,1,0.71,NA,NA
27,NDVI,M1_Tratamientos,M1,1,0.72,NA,NA
28,NDVI,M1_Tratamientos,M1,1,0.7,NA,NA
29,NDVI,M1_Tratamientos,M1,1,0.73,NA,NA
30,NDVI,M1_Tratamientos,M1,1,0.67,NA,NA
31,NDVI,M1_Tratamientos,M1,1,0.69,NA,NA
32,NDVI,M1_Tratamientos,M1,1,0.67,NA,NA
33,NDVI,M1_Tratamientos,M1,1,0.68,NA,NA
34,NDVI,M1_Tratamientos,M1,1,0.69,NA,NA
51,NDVI,M1_Tratamientos,M1,1,0.68,NA,NA
52,NDVI,M1_Tratamientos,M1,1,0.67,NA,NA
53,NDVI,M1_Tratamientos,M1,1,0.69,NA,NA
54,NDVI,M1_Tratamientos,M1,1,0.72,NA,NA
55,NDVI,M1_Tratamientos,M1,1,0.71,NA,NA
56,NDVI,M1_Tratamientos,M1,1,0.72,NA,NA
7,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
8,NDVI,M1_Tratamientos,M1,2,0.69,NA,NA
9,NDVI,M1_Tratamientos,M1,2,0.66,NA,NA
10,NDVI,M1_Tratamientos,M1,2,0.69,NA,NA
11,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
12,NDVI,M1_Tratamientos,M1,2,0.69,NA,NA
17,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
18,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
19,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
20,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
21,NDVI,M1_Tratamientos,M1,2,0.72,NA,NA
22,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
35,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
36,NDVI,M1_Tratamientos,M1,2,0.7,NA,NA
37,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
38,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
39,NDVI,M1_Tratamientos,M1,2,0.69,NA,NA
40,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
45,NDVI,M1_Tratamientos,M1,2,0.67,NA,NA
46,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
47,NDVI,M1_Tratamientos,M1,2,0.71,NA,NA
48,NDVI,M1_Tratamientos,M1,2,0.72,NA,NA
49,NDVI,M1_Tratamientos,M1,2,0.72,NA,NA
50,NDVI,M1_Tratamientos,M1,2,0.68,NA,NA
13,NDVI,M1_Tratamientos,M1,3,0.67,NA,NA
14,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
15,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
16,NDVI,M1_Tratamientos,M1,3,0.71,NA,NA
41,NDVI,M1_Tratamientos,M1,3,0.7,NA,NA
42,NDVI,M1_Tratamientos,M1,3,0.7,NA,NA
43,NDVI,M1_Tratamientos,M1,3,0.72,NA,NA
44,NDVI,M1_Tratamientos,M1,3,0.71,NA,NA
1,Nitratos,M1_Tratamientos,M1,1,4900,NA,NA
2,Nitratos,M1_Tratamientos,M1,1,5500,NA,NA
3,Nitratos,M1_Tratamientos,M1,1,5400,NA,NA
4,Nitratos,M1_Tratamientos,M1,1,6100,NA,NA
5,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
6,Nitratos,M1_Tratamientos,M1,1,4100,NA,NA
23,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
24,Nitratos,M1_Tratamientos,M1,1,5600,NA,NA
25,Nitratos,M1_Tratamientos,M1,1,5000,NA,NA
26,Nitratos,M1_Tratamientos,M1,1,4600,NA,NA
27,Nitratos,M1_Tratamientos,M1,1,4000,NA,NA
28,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
29,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
30,Nitratos,M1_Tratamientos,M1,1,2200,NA,NA
31,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
32,Nitratos,M1_Tratamientos,M1,1,5200,NA,NA
33,Nitratos,M1_Tratamientos,M1,1,5200,NA,NA
34,Nitratos,M1_Tratamientos,M1,1,5800,NA,NA
51,Nitratos,M1_Tratamientos,M1,1,4800,NA,NA
52,Nitratos,M1_Tratamientos,M1,1,5900,NA,NA
53,Nitratos,M1_Tratamientos,M1,1,5700,NA,NA
54,Nitratos,M1_Tratamientos,M1,1,6000,NA,NA
55,Nitratos,M1_Tratamientos,M1,1,4800,NA,NA
56,Nitratos,M1_Tratamientos,M1,1,3600,NA,NA
7,Nitratos,M1_Tratamientos,M1,2,3400,NA,NA
8,Nitratos,M1_Tratamientos,M1,2,3800,NA,NA
9,Nitratos,M1_Tratamientos,M1,2,3600,NA,NA
10,Nitratos,M1_Tratamientos,M1,2,5400,NA,NA
11,Nitratos,M1_Tratamientos,M1,2,5900,NA,NA
12,Nitratos,M1_Tratamientos,M1,2,5400,NA,NA
17,Nitratos,M1_Tratamientos,M1,2,5900,NA,NA
18,Nitratos,M1_Tratamientos,M1,2,5200,NA,NA
19,Nitratos,M1_Tratamientos,M1,2,5600,NA,NA
20,Nitratos,M1_Tratamientos,M1,2,5700,NA,NA
21,Nitratos,M1_Tratamientos,M1,2,4500,NA,NA
22,Nitratos,M1_Tratamientos,M1,2,4600,NA,NA
35,Nitratos,M1_Tratamientos,M1,2,5600,NA,NA
36,Nitratos,M1_Tratamientos,M1,2,4500,NA,NA
37,Nitratos,M1_Tratamientos,M1,2,3700,NA,NA
38,Nitratos,M1_Tratamientos,M1,2,4000,NA,NA
39,Nitratos,M1_Tratamientos,M1,2,5500,NA,NA
40,Nitratos,M1_Tratamientos,M1,2,6700,NA,NA
45,Nitratos,M1_Tratamientos,M1,2,4400,NA,NA
46,Nitratos,M1_Tratamientos,M1,2,5800,NA,NA
47,Nitratos,M1_Tratamientos,M1,2,4800,NA,NA
48,Nitratos,M1_Tratamientos,M1,2,5100,NA,NA
49,Nitratos,M1_Tratamientos,M1,2,4300,NA,NA
50,Nitratos,M1_Tratamientos,M1,2,3600,NA,NA
13,Nitratos,M1_Tratamientos,M1,3,2800,NA,NA
14,Nitratos,M1_Tratamientos,M1,3,4500,NA,NA
