Nodo,Experimental_Unit,Treatment_ID,Dose_percent,Replication,X,Y,Distancia_vecino_mas_cercano_m
1,L2_NODE_01,T4-A,100,1,587212.895,517579,2.0512632692773924
2,L2_NODE_02,T6-A,100,1,587211.104,517578,2.0512632692773924
3,L2_NODE_03,T10-A,100,1,587208.994,517576,2.5278678763488505
4,L2_NODE_04,T3-B,75,1,587207.025,517574,2.5278678762776527
5,L2_NODE_05,T1-B,75,1,587204.915,517572,2.5278678762776527
6,L2_NODE_06,T2-B,75,1,587202.983,517570,1.8412267649359462
7,L2_NODE_07,T10-A,100,2,587201.014,517569,2.2083842510218576
8,L2_NODE_08,T4-A,100,2,587198.948,517567,2.1692452603915218
9,L2_NODE_09,T0-A,100,2,587197.023,517566,2.1692452603915218
10,L2_NODE_10,T3-B,75,2,587194.69,517564,2.51386733933626
11,L2_NODE_11,T8-B,75,2,587193.167,517562,2.2952899598885903
12,L2_NODE_12,T7-B,75,2,587191.101,517561,2.2952899598885903
13,L2_NODE_13,T0-A,100,3,587189.132,517559,2.5278678762776527
14,L2_NODE_14,T11-A,100,3,587187.054,517557,2.5278678762776527
15,L2_NODE_15,T8-A,100,3,587188.6,517555,1.8412267649359462
16,L2_NODE_16,T10-A,100,3,587190.678,517557,2.5278678762776527
17,L2_NODE_17,T1-B,75,2,587192.647,517559,2.2952899598885903
18,L2_NODE_18,T5-B,75,2,587194.713,517560,1.8412267649359462
19,L2_NODE_19,T11-B,75,2,587196.236,517562,2.5138673394067887
20,L2_NODE_20,T9-A,100,2,587198.569,517564,2.1692452603915218
21,L2_NODE_21,T11-A,100,2,587200.494,517565,1.8412267650336953
22,L2_NODE_22,T5-A,100,2,587202.56,517567,2.5272564174950225
23,L2_NODE_23,T10-B,75,1,587204.529,517569,1.8412267649359462
24,L2_NODE_24,T7-B,75,1,587206.461,517570,1.8412267649359462
25,L2_NODE_25,T0-B,75,1,587208.571,517572,2.5278678762776527
26,L2_NODE_26,T9-A,100,1,587210.54,517574,2.5278678762776527
27,L2_NODE_27,T1-A,100,1,587212.65,517576,2.0512632692773924
28,L2_NODE_28,T2-A,100,1,587214.441,517577,2.0512632692773924
29,L2_NODE_29,T7-A,100,1,587215.987,517575,1.8412267650336953
30,L2_NODE_30,T0-A,100,1,587214.196,517574,2.0512632692773924
31,L2_NODE_31,T5-A,100,1,587212.086,517572,2.5278678762776527
32,L2_NODE_32,T4-B,75,1,587210.117,517570,1.8412267649359462
33,L2_NODE_33,T8-B,75,1,587208.007,517569,1.8412267649359462
34,L2_NODE_34,T11-B,75,1,587206.075,517567,2.5278678762776527
35,L2_NODE_35,T1-A,100,2,587204.105,517565,2.294389897068329
36,L2_NODE_36,T7-A,100,2,587202.04,517564,1.8412267650336953
37,L2_NODE_37,T2-A,100,2,587200.115,517562,2.5278678762776527
38,L2_NODE_38,T2-B,75,2,587197.782,517560,1.821957463865764
39,L2_NODE_39,T4-B,75,2,587196.259,517559,1.821957463865764
40,L2_NODE_40,T6-B,75,2,587194.193,517557,2.5278678762776527
41,L2_NODE_41,T2-A,100,3,587192.224,517555,2.306097135941734
42,L2_NODE_42,T3-A,100,3,587190.146,517554,1.8412267649359462
43,L2_NODE_43,T5-A,100,3,587191.692,517552,2.3060971358368336
44,L2_NODE_44,T1-A,100,3,587193.77,517553,2.3060971358368336
45,L2_NODE_45,T0-B,75,2,587195.739,517555,2.5278678762776527
46,L2_NODE_46,T9-B,75,2,587197.805,517557,1.8219574637684508
47,L2_NODE_47,T10-B,75,2,587199.328,517558,1.8219574637684508
48,L2_NODE_48,T8-A,100,2,587201.661,517560,2.5278678762776527
49,L2_NODE_49,T6-A,100,2,587203.586,517562,2.294389897068329
50,L2_NODE_50,T3-A,100,2,587205.651,517563,2.294389897068329
51,L2_NODE_51,T9-B,75,1,587207.621,517565,2.5278678763488505
52,L2_NODE_52,T5-B,75,1,587209.552,517567,2.5272564175661913
53,L2_NODE_53,T6-B,75,1,587211.663,517569,1.8412267649359462
54,L2_NODE_54,T11-A,100,1,587213.632,517570,2.2083842510218576
55,L2_NODE_55,T3-A,100,1,587215.742,517572,2.5278678762776527
56,L2_NODE_56,T8-A,100,1,587217.533,517574,1.8412267650336953
