Variable_suelo,Variable_cultivo,n_original,Pearson_original,Spearman_original,n_residual,Pearson_residual,Spearman_residual,Cambio_abs_Spearman,Estabilidad_direccion,Magnitud_residual
Suelo_CE,Altura,56,-0.13833448997330142,-0.1281315151642096,56,0.03599044714181764,0.052289815447710185,-0.0758416997164994,Dirección cambia tras ajuste,Muy limitada
Suelo_CE,Calcio_savia,56,-0.45263011651644786,-0.43911176043646266,56,0.11433875627867277,0.19706420139926797,-0.2420475590371947,Dirección cambia tras ajuste,Muy limitada
Suelo_CE,Diametro,56,0.09535291611560139,0.12583325147465166,56,0.10828402333784169,0.08537252221462749,-0.04046072926002417,Dirección estable,Muy limitada
Suelo_CE,Macollas,56,0.4969780309940044,0.5099616849582044,56,0.06999540869110793,0.08646616541353383,-0.4234955195446706,Dirección estable,Muy limitada
Suelo_CE,NDVI,56,0.21026158920464783,0.1512940297894557,56,0.34412083039350866,0.3349965823650034,0.1837025525755477,Dirección estable,Limitada
Suelo_CE,Nitratos,56,-0.10871730009677054,-0.11756060719719202,56,-0.1868351423774937,-0.16001367053998633,0.042453063342794306,Dirección estable,Muy limitada
Suelo_CE,Potasio_savia,56,-0.43606364764113115,-0.3958712403019201,56,-0.3650934627205432,-0.3541353383458647,-0.04173590195605542,Dirección estable,Limitada
Suelo_CE_corregida_OLS,Altura,56,-0.13833448997330935,-0.1281315151642096,56,0.035990447141804896,0.052289815447710185,-0.0758416997164994,Dirección cambia tras ajuste,Muy limitada
Suelo_CE_corregida_OLS,Calcio_savia,56,-0.4526301165164453,-0.43911176043646266,56,0.11433875627867955,0.19706420139926797,-0.2420475590371947,Dirección cambia tras ajuste,Muy limitada
Suelo_CE_corregida_OLS,Diametro,56,0.09535291611560345,0.12583325147465166,56,0.10828402333784491,0.08537252221462749,-0.04046072926002417,Dirección estable,Muy limitada
Suelo_CE_corregida_OLS,Macollas,56,0.49697803099399984,0.5099616849582044,56,0.06999540869109666,0.08646616541353383,-0.4234955195446706,Dirección estable,Muy limitada
Suelo_CE_corregida_OLS,NDVI,56,0.21026158920464785,0.1512940297894557,56,0.3441208303935027,0.3349965823650034,0.1837025525755477,Dirección estable,Limitada
Suelo_CE_corregida_OLS,Nitratos,56,-0.10871730009676757,-0.11756060719719202,56,-0.1868351423774892,-0.16001367053998633,0.042453063342794306,Dirección estable,Muy limitada
Suelo_CE_corregida_OLS,Potasio_savia,56,-0.43606364764112937,-0.3958712403019201,56,-0.3650934627205367,-0.3541353383458647,-0.04173590195605542,Dirección estable,Limitada
