Nodo,X,Y,Replication,Dose_percent,Omission_description,Suelo_CE,Suelo_CE_corregida_OLS,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,RES_Suelo_CE,RES_Suelo_CE_corregida_OLS,RES_Suelo_N,RES_Suelo_P,RES_Suelo_K,RES_Suelo_pH,RES_Suelo_T,RES_Suelo_Hv,RES_Macollas,RES_Altura,RES_Diametro,RES_NDVI,RES_Nitratos,RES_Potasio_savia,RES_Calcio_savia
1,587212.895,517579,1,100,Sin K,324.6402235809403,568.7059999973585,22.427024753216713,31.98278557698091,64.70673585216969,8.360371652669484,16.390856305908574,14.840328765734377,8.666666666666666,28.53333333333333,3.3555555555555556,0.7,4900,4100,1200,36.12587264028343,33.60789931726244,2.3024065233445397,3.616019139848009,7.416115522349795,-0.06680850635297453,-0.1321810432855444,0.4786078703328182,0.2361111111111197,-9.631944444444507,0.15092592592592663,0.007916666666666088,491.6666666666782,175.00000000001125,103.33333333333528
2,587211.104,517578,1,100,Sin Fe,337.15086656957567,580.3446511696878,23.560660362417142,33.26813010971999,67.21999493961627,8.217142527949312,16.36011865982005,14.772671519790729,8.333333333333334,39.13333333333333,3.2999999999999994,0.69,5500,4100,1000,29.430340547831165,27.37904581165253,1.9875186972589138,2.9880538003534642,6.073570346804284,-0.43987326697190465,-0.4205096608710239,-0.05500086347735663,-0.5138888888888848,-0.6486111111111105,0.02037037037036949,-0.017083333333333336,391.66666666666526,-200.00000000000182,103.3333333333324
3,587208.994,517576,1,100,Sin Cu,298.9352269157599,544.7926415997391,20.902369398335367,29.280772308596628,59.09602907016894,8.231251924454888,16.304335526651716,14.759608853712594,7.333333333333333,39.9,3.3444444444444446,0.7,5400,4200,940,25.432895647892593,23.66022282123821,1.7141853924242925,2.3454872861922778,4.808809520750543,-0.10930419871243616,-0.08308839461079151,0.020948008495846833,-0.6076388888888917,-1.6940277777777522,0.11162037037037037,-0.005583333333333284,786.6666666666653,-111.87499999999952,-34.47916666666492
4,587207.025,517574,1,75,Sin P,271.87702244030226,519.6203939762178,18.73628086611692,27.05917647910598,53.581284404288716,7.42520932324566,16.333889117557277,14.826978230382531,7.666666666666667,48.333333333333336,3.3000000000000003,0.66,6100,4400,1400,18.98826723663825,17.664785010247307,1.2074561894849292,2.12693081090076,3.65969946714365,0.19703089249557576,-0.22711853018360734,0.11590846074010397,0.07569444444444559,5.121527777777783,0.12912037037037036,-0.013750000000000017,399.9999999999998,-66.87499999999966,84.02083333333354
5,587204.915,517572,1,75,Completo,305.8781793251412,551.2516702261818,21.150811636635034,30.062505935158978,60.05966081203442,7.0918728539374545,16.457688607156356,14.726391360087236,8,46.5,3.077777777777778,0.68,5800,4400,1600,15.322853675468108,14.254850774287963,0.924958278680166,1.5239587138310033,2.6728981348629617,-0.09404787448716531,-0.12099449395750353,-0.06542289756047917,0.609027777777779,2.7948611111111097,-0.07532407407407386,-0.007749999999999934,-59.99999999999825,153.12499999999974,26.020833333333233
6,587202.983,517570,1,75,Sin N,148.85795091202448,405.1757517334531,10.55382148641013,14.678825809389854,29.460809057147817,8.352391409188108,16.006800261883832,15.03269131416882,5.666666666666667,44.43333333333334,3.3333333333333335,0.65,4100,4100,1500,-78.00813907798843,-72.57097178425634,-5.273727915816377,-7.496049411238319,-15.761008350218596,0.6973753481809251,-0.5562639418497634,0.07808121089545894,-1.1909722222222225,2.588194444444447,0.264675925925926,-0.01375000000000003,-199.99999999999963,-6.875000000000373,-83.97916666666654
7,587201.014,517569,2,100,Sin Cu,200.9358476625796,453.62381908049406,14.123732236809962,19.85889325347906,39.99255671661046,7.1257731622419325,15.935461193644215,14.733609465511103,6.666666666666667,44.699999999999996,3.1333333333333337,0.7,3400,4400,1200,-11.170910288843041,-10.392297841714322,-0.6475907350273116,-0.8420039143253579,-2.199995785677682,-0.8496157887158036,-0.2724699146911905,-0.02381398328014018,0.8368055555555567,2.0809722222222167,-0.11106481481481462,-0.012250000000000006,-1130,-336.87500000000017,-223.64583333333377
8,587198.948,517567,2,100,Sin K,185.1994995630996,438.98429444354707,12.466164086525746,17.940420264903995,36.68296721220198,8.676340309296256,15.629953510551685,14.541577600093,5.666666666666667,42.63333333333333,2.888888888888889,0.69,3800,4400,1400,-41.91927806111296,-38.99750438025883,-3.2415931092726553,-4.191958317629023,-8.512986070487663,0.6143273224833564,-0.7135910257153972,0.1610941011169401,-0.6527777777777807,3.4430555555555804,-0.32731481481481545,-0.008749999999999812,-525.0000000000041,49.999999999996035,-145.8333333333341
9,587197.023,517566,2,100,Control,134.24655651633088,391.58277152713356,8.709670951393623,12.961889519778692,26.446414214170325,8.355867033529973,16.219063677723863,14.745240864528704,4.666666666666667,46.46666666666667,3.333333333333334,0.66,3600,4200,1600,-72.77142250113339,-67.69925435281131,-5.539755510906672,-7.243134341129392,-14.614998531127103,0.04318327722183816,-0.1470418314988843,-0.05996580933906113,-1.163194444444444,3.347638888888895,0.04226851851851901,-0.014249999999999987,409.99999999999955,-36.874999999999744,268.35416666666663
10,587194.69,517564,2,75,Sin P,157.04766448983474,412.7946422748846,10.5044462927879,15.16904986527205,31.333473314183614,7.019653100617845,16.297675315344055,14.693171625422769,6.333333333333333,48.800000000000004,3.2777777777777786,0.69,5400,4700,1700,-34.445517397384634,-32.04466483479342,-2.6075173497703004,-3.5288079483332484,-6.4934445758312185,0.15664184207734305,-0.08383951946972783,-0.03666074779415319,0.8534722222222226,4.5631944444444485,0.09532407407407466,0.009583333333333265,-216.66666666666615,-191.87499999999935,-65.14583333333314
