Nodo,Variable,Original,Residual_ajustado,Clase_estable
1,Altura,Coldspot,Sin_clasificar,FALSE
2,Altura,Coldspot,Sin_clasificar,FALSE
3,Altura,Sin_clasificar,Sin_clasificar,TRUE
4,Altura,Sin_clasificar,Sin_clasificar,TRUE
5,Altura,Sin_clasificar,Sin_clasificar,TRUE
6,Altura,Sin_clasificar,Sin_clasificar,TRUE
7,Altura,Sin_clasificar,Sin_clasificar,TRUE
8,Altura,Sin_clasificar,Sin_clasificar,TRUE
9,Altura,Sin_clasificar,Sin_clasificar,TRUE
10,Altura,Sin_clasificar,Sin_clasificar,TRUE
11,Altura,Sin_clasificar,Sin_clasificar,TRUE
12,Altura,Sin_clasificar,Sin_clasificar,TRUE
13,Altura,Sin_clasificar,Sin_clasificar,TRUE
14,Altura,Hotspot,Sin_clasificar,FALSE
15,Altura,Hotspot,Sin_clasificar,FALSE
16,Altura,Sin_clasificar,Sin_clasificar,TRUE
17,Altura,Sin_clasificar,Sin_clasificar,TRUE
18,Altura,Sin_clasificar,Sin_clasificar,TRUE
19,Altura,Sin_clasificar,Sin_clasificar,TRUE
20,Altura,Sin_clasificar,Sin_clasificar,TRUE
21,Altura,Sin_clasificar,Sin_clasificar,TRUE
22,Altura,Sin_clasificar,Sin_clasificar,TRUE
23,Altura,Sin_clasificar,Sin_clasificar,TRUE
24,Altura,Sin_clasificar,Sin_clasificar,TRUE
25,Altura,Sin_clasificar,Sin_clasificar,TRUE
26,Altura,Sin_clasificar,Sin_clasificar,TRUE
27,Altura,Sin_clasificar,Sin_clasificar,TRUE
28,Altura,Sin_clasificar,Sin_clasificar,TRUE
29,Altura,Sin_clasificar,Sin_clasificar,TRUE
30,Altura,Sin_clasificar,Sin_clasificar,TRUE
31,Altura,Sin_clasificar,Sin_clasificar,TRUE
32,Altura,Sin_clasificar,Sin_clasificar,TRUE
33,Altura,Sin_clasificar,Sin_clasificar,TRUE
34,Altura,Sin_clasificar,Sin_clasificar,TRUE
35,Altura,Sin_clasificar,Sin_clasificar,TRUE
36,Altura,Sin_clasificar,Sin_clasificar,TRUE
37,Altura,Sin_clasificar,Sin_clasificar,TRUE
38,Altura,Sin_clasificar,Sin_clasificar,TRUE
39,Altura,Sin_clasificar,Sin_clasificar,TRUE
40,Altura,Sin_clasificar,Sin_clasificar,TRUE
41,Altura,Sin_clasificar,Sin_clasificar,TRUE
42,Altura,Hotspot,Sin_clasificar,FALSE
43,Altura,Hotspot,Sin_clasificar,FALSE
44,Altura,Hotspot,Sin_clasificar,FALSE
45,Altura,Sin_clasificar,Sin_clasificar,TRUE
46,Altura,Sin_clasificar,Sin_clasificar,TRUE
47,Altura,Sin_clasificar,Sin_clasificar,TRUE
48,Altura,Sin_clasificar,Sin_clasificar,TRUE
49,Altura,Sin_clasificar,Sin_clasificar,TRUE
50,Altura,Sin_clasificar,Sin_clasificar,TRUE
51,Altura,Sin_clasificar,Coldspot,FALSE
52,Altura,Sin_clasificar,Sin_clasificar,TRUE
53,Altura,Sin_clasificar,Sin_clasificar,TRUE
54,Altura,Sin_clasificar,Sin_clasificar,TRUE
55,Altura,Sin_clasificar,Sin_clasificar,TRUE
56,Altura,Sin_clasificar,Sin_clasificar,TRUE
1,Calcio_savia,Coldspot,Sin_clasificar,FALSE
2,Calcio_savia,Coldspot,Sin_clasificar,FALSE
3,Calcio_savia,Coldspot,Sin_clasificar,FALSE
4,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
5,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
6,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
7,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
8,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
9,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
10,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
11,Calcio_savia,Hotspot,Sin_clasificar,FALSE
12,Calcio_savia,Hotspot,Sin_clasificar,FALSE
13,Calcio_savia,Hotspot,Sin_clasificar,FALSE
14,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
15,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
16,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
17,Calcio_savia,Hotspot,Sin_clasificar,FALSE
18,Calcio_savia,Hotspot,Sin_clasificar,FALSE
19,Calcio_savia,Hotspot,Sin_clasificar,FALSE
20,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
21,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
22,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
23,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
24,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
25,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
26,Calcio_savia,Coldspot,Sin_clasificar,FALSE
27,Calcio_savia,Coldspot,Sin_clasificar,FALSE
28,Calcio_savia,Coldspot,Sin_clasificar,FALSE
29,Calcio_savia,Coldspot,Sin_clasificar,FALSE
30,Calcio_savia,Coldspot,Sin_clasificar,FALSE
31,Calcio_savia,Coldspot,Sin_clasificar,FALSE
32,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
33,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
34,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
35,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
36,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
37,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
38,Calcio_savia,Hotspot,Sin_clasificar,FALSE
39,Calcio_savia,Hotspot,Sin_clasificar,FALSE
40,Calcio_savia,Hotspot,Sin_clasificar,FALSE
41,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
42,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
43,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
44,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
45,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
46,Calcio_savia,Hotspot,Sin_clasificar,FALSE
47,Calcio_savia,Hotspot,Sin_clasificar,FALSE
48,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
49,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
50,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
51,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
52,Calcio_savia,Sin_clasificar,Sin_clasificar,TRUE
53,Calcio_savia,Coldspot,Sin_clasificar,FALSE
54,Calcio_savia,Coldspot,Sin_clasificar,FALSE
55,Calcio_savia,Coldspot,Sin_clasificar,FALSE
56,Calcio_savia,Coldspot,Sin_clasificar,FALSE
1,Diametro,Sin_clasificar,Sin_clasificar,TRUE
2,Diametro,Sin_clasificar,Sin_clasificar,TRUE
3,Diametro,Sin_clasificar,Sin_clasificar,TRUE
4,Diametro,Sin_clasificar,Sin_clasificar,TRUE
5,Diametro,Sin_clasificar,Sin_clasificar,TRUE
6,Diametro,Sin_clasificar,Sin_clasificar,TRUE
7,Diametro,Sin_clasificar,Sin_clasificar,TRUE
8,Diametro,Sin_clasificar,Sin_clasificar,TRUE
9,Diametro,Sin_clasificar,Sin_clasificar,TRUE
10,Diametro,Sin_clasificar,Sin_clasificar,TRUE
11,Diametro,Sin_clasificar,Sin_clasificar,TRUE
12,Diametro,Sin_clasificar,Sin_clasificar,TRUE
13,Diametro,Sin_clasificar,Sin_clasificar,TRUE
14,Diametro,Sin_clasificar,Sin_clasificar,TRUE
15,Diametro,Sin_clasificar,Sin_clasificar,TRUE
16,Diametro,Sin_clasificar,Sin_clasificar,TRUE
17,Diametro,Sin_clasificar,Sin_clasificar,TRUE
18,Diametro,Sin_clasificar,Sin_clasificar,TRUE
19,Diametro,Sin_clasificar,Sin_clasificar,TRUE
20,Diametro,Sin_clasificar,Sin_clasificar,TRUE
21,Diametro,Sin_clasificar,Sin_clasificar,TRUE
22,Diametro,Sin_clasificar,Sin_clasificar,TRUE
23,Diametro,Sin_clasificar,Sin_clasificar,TRUE
24,Diametro,Coldspot,Sin_clasificar,FALSE
25,Diametro,Sin_clasificar,Sin_clasificar,TRUE
26,Diametro,Sin_clasificar,Sin_clasificar,TRUE
27,Diametro,Sin_clasificar,Sin_clasificar,TRUE
28,Diametro,Sin_clasificar,Sin_clasificar,TRUE
29,Diametro,Sin_clasificar,Sin_clasificar,TRUE
30,Diametro,Sin_clasificar,Sin_clasificar,TRUE
31,Diametro,Sin_clasificar,Sin_clasificar,TRUE
32,Diametro,Sin_clasificar,Sin_clasificar,TRUE
33,Diametro,Coldspot,Sin_clasificar,FALSE
34,Diametro,Sin_clasificar,Sin_clasificar,TRUE
35,Diametro,Sin_clasificar,Sin_clasificar,TRUE
36,Diametro,Sin_clasificar,Coldspot,FALSE
37,Diametro,Sin_clasificar,Sin_clasificar,TRUE
38,Diametro,Sin_clasificar,Sin_clasificar,TRUE
39,Diametro,Sin_clasificar,Sin_clasificar,TRUE
40,Diametro,Sin_clasificar,Sin_clasificar,TRUE
41,Diametro,Sin_clasificar,Sin_clasificar,TRUE
42,Diametro,Sin_clasificar,Sin_clasificar,TRUE
43,Diametro,Sin_clasificar,Sin_clasificar,TRUE
44,Diametro,Sin_clasificar,Sin_clasificar,TRUE
45,Diametro,Sin_clasificar,Sin_clasificar,TRUE
46,Diametro,Sin_clasificar,Sin_clasificar,TRUE
47,Diametro,Sin_clasificar,Sin_clasificar,TRUE
48,Diametro,Coldspot,Coldspot,TRUE
49,Diametro,Sin_clasificar,Sin_clasificar,TRUE
50,Diametro,Sin_clasificar,Sin_clasificar,TRUE
51,Diametro,Sin_clasificar,Sin_clasificar,TRUE
52,Diametro,Sin_clasificar,Sin_clasificar,TRUE
53,Diametro,Sin_clasificar,Sin_clasificar,TRUE
54,Diametro,Sin_clasificar,Sin_clasificar,TRUE
55,Diametro,Sin_clasificar,Sin_clasificar,TRUE
56,Diametro,Sin_clasificar,Sin_clasificar,TRUE
1,Macollas,Sin_clasificar,Sin_clasificar,TRUE
2,Macollas,Sin_clasificar,Sin_clasificar,TRUE
3,Macollas,Sin_clasificar,Sin_clasificar,TRUE
4,Macollas,Sin_clasificar,Sin_clasificar,TRUE
5,Macollas,Sin_clasificar,Sin_clasificar,TRUE
6,Macollas,Sin_clasificar,Sin_clasificar,TRUE
7,Macollas,Sin_clasificar,Sin_clasificar,TRUE
8,Macollas,Sin_clasificar,Sin_clasificar,TRUE
9,Macollas,Sin_clasificar,Sin_clasificar,TRUE
10,Macollas,Coldspot,Sin_clasificar,FALSE
11,Macollas,Sin_clasificar,Sin_clasificar,TRUE
12,Macollas,Sin_clasificar,Sin_clasificar,TRUE
13,Macollas,Sin_clasificar,Sin_clasificar,TRUE
14,Macollas,Sin_clasificar,Sin_clasificar,TRUE
15,Macollas,Sin_clasificar,Sin_clasificar,TRUE
16,Macollas,Sin_clasificar,Sin_clasificar,TRUE
17,Macollas,Sin_clasificar,Sin_clasificar,TRUE
18,Macollas,Sin_clasificar,Sin_clasificar,TRUE
19,Macollas,Sin_clasificar,Sin_clasificar,TRUE
20,Macollas,Coldspot,Sin_clasificar,FALSE
21,Macollas,Sin_clasificar,Sin_clasificar,TRUE
22,Macollas,Sin_clasificar,Sin_clasificar,TRUE
23,Macollas,Sin_clasificar,Sin_clasificar,TRUE
24,Macollas,Sin_clasificar,Sin_clasificar,TRUE
25,Macollas,Sin_clasificar,Sin_clasificar,TRUE
26,Macollas,Sin_clasificar,Sin_clasificar,TRUE
27,Macollas,Hotspot,Sin_clasificar,FALSE
28,Macollas,Hotspot,Sin_clasificar,FALSE
29,Macollas,Hotspot,Hotspot,TRUE
30,Macollas,Hotspot,Sin_clasificar,FALSE
31,Macollas,Hotspot,Sin_clasificar,FALSE
32,Macollas,Sin_clasificar,Sin_clasificar,TRUE
33,Macollas,Sin_clasificar,Sin_clasificar,TRUE
34,Macollas,Sin_clasificar,Sin_clasificar,TRUE
35,Macollas,Sin_clasificar,Sin_clasificar,TRUE
36,Macollas,Sin_clasificar,Sin_clasificar,TRUE
37,Macollas,Sin_clasificar,Sin_clasificar,TRUE
38,Macollas,Coldspot,Sin_clasificar,FALSE
39,Macollas,Coldspot,Sin_clasificar,FALSE
40,Macollas,Sin_clasificar,Sin_clasificar,TRUE
41,Macollas,Sin_clasificar,Sin_clasificar,TRUE
42,Macollas,Sin_clasificar,Sin_clasificar,TRUE
43,Macollas,Sin_clasificar,Sin_clasificar,TRUE
44,Macollas,Sin_clasificar,Sin_clasificar,TRUE
45,Macollas,Sin_clasificar,Sin_clasificar,TRUE
46,Macollas,Coldspot,Sin_clasificar,FALSE
47,Macollas,Coldspot,Sin_clasificar,FALSE
48,Macollas,Coldspot,Sin_clasificar,FALSE
49,Macollas,Sin_clasificar,Sin_clasificar,TRUE
50,Macollas,Sin_clasificar,Sin_clasificar,TRUE
51,Macollas,Sin_clasificar,Sin_clasificar,TRUE
52,Macollas,Sin_clasificar,Sin_clasificar,TRUE
53,Macollas,Hotspot,Sin_clasificar,FALSE
54,Macollas,Hotspot,Hotspot,TRUE
55,Macollas,Hotspot,Hotspot,TRUE
56,Macollas,Hotspot,Hotspot,TRUE
1,NDVI,Sin_clasificar,Sin_clasificar,TRUE
2,NDVI,Sin_clasificar,Sin_clasificar,TRUE
3,NDVI,Sin_clasificar,Sin_clasificar,TRUE
4,NDVI,Sin_clasificar,Sin_clasificar,TRUE
5,NDVI,Coldspot,Sin_clasificar,FALSE
6,NDVI,Sin_clasificar,Sin_clasificar,TRUE
7,NDVI,Sin_clasificar,Sin_clasificar,TRUE
8,NDVI,Sin_clasificar,Sin_clasificar,TRUE
9,NDVI,Sin_clasificar,Sin_clasificar,TRUE
10,NDVI,Sin_clasificar,Sin_clasificar,TRUE
11,NDVI,Sin_clasificar,Sin_clasificar,TRUE
12,NDVI,Sin_clasificar,Sin_clasificar,TRUE
13,NDVI,Sin_clasificar,Sin_clasificar,TRUE
14,NDVI,Sin_clasificar,Sin_clasificar,TRUE
