Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
1,587212.895,517579,Altura,Original,28.53333333333333,-2.1875968064265914,-1.8903672606253457,2.04617455188218,0.026,Coldspot
2,587211.104,517578,Altura,Original,39.13333333333333,-2.1875968064265914,-1.8903672606253457,2.04617455188218,0.026,Coldspot
3,587208.994,517576,Altura,Original,39.9,-0.7792915101265938,-1.8827972625823555,2.0584579449330755,0.408,Sin_clasificar
4,587207.025,517574,Altura,Original,48.333333333333336,-0.5250538400034704,-1.8996512204893918,1.9184843962136031,0.694,Sin_clasificar
5,587204.915,517572,Altura,Original,46.5,-0.053714339213412884,-1.9473564911754182,1.9630474035610277,0.944,Sin_clasificar
6,587202.983,517570,Altura,Original,44.43333333333334,0.2605119946466263,-1.953498187700864,2.1360147173358026,0.692,Sin_clasificar
7,587201.014,517569,Altura,Original,44.699999999999996,-0.07085395742396199,-1.862515381033206,2.274274304234221,0.99,Sin_clasificar
8,587198.948,517567,Altura,Original,42.63333333333333,0.20623653697989516,-2.003631570966713,1.9434796727706514,0.77,Sin_clasificar
9,587197.023,517566,Altura,Original,46.46666666666667,0.5575987102961212,-2.0013462885386426,1.8604953546012486,0.52,Sin_clasificar
10,587194.69,517564,Altura,Original,48.800000000000004,0.6404401983137683,-2.0651913663729307,1.9776160790399901,0.486,Sin_clasificar
11,587193.167,517562,Altura,Original,41.13333333333333,0.10625543075169902,-2.0066310041535598,1.9121998695364022,0.88,Sin_clasificar
12,587191.101,517561,Altura,Original,47.86666666666667,-0.2765293759505316,-1.9554978098254265,1.9457649551987242,0.856,Sin_clasificar
13,587189.132,517559,Altura,Original,44.333333333333336,1.1803381719460173,-1.9149340467271316,1.9467647662610061,0.212,Sin_clasificar
14,587187.054,517557,Altura,Original,62.333333333333336,2.968571671913157,-1.876369905753398,2.0174656913795173,0.008,Hotspot
15,587188.6,517555,Altura,Original,56.666666666666664,3.511326248580497,-2.043766843609747,2.0727409601085323,0.004,Hotspot
16,587190.678,517557,Altura,Original,45.333333333333336,0.9346703109281672,-1.9954902523167046,2.032177197010236,0.294,Sin_clasificar
17,587192.647,517559,Altura,Original,37.6,-0.11370300295032863,-2.047337597403612,2.1878620624227096,0.974,Sin_clasificar
18,587194.713,517560,Altura,Original,49.53333333333333,-0.5250538400034728,-1.9006510315516731,2.0921658607471523,0.686,Sin_clasificar
19,587196.236,517562,Altura,Original,48.36666666666667,0.14910447627807055,-2.100184753552801,2.0763117139023963,0.868,Sin_clasificar
20,587198.569,517564,Altura,Original,46.4,-0.1508388424065155,-1.966352901358775,1.9749023061566562,0.912,Sin_clasificar
21,587200.494,517565,Altura,Original,45.9,0.4061987494362826,-1.7652480476883476,2.0031826762040597,0.644,Sin_clasificar
