Variable_suelo,Variable_cultivo,n_original,Pearson_original,Spearman_original,n_residual,Pearson_residual,Spearman_residual,Cambio_abs_Spearman,Estabilidad_direccion,Magnitud_residual,Moran_bivariado_residual,Moran_Q025,Moran_Q975,Clasificacion_Moran,Coherencia_correlacion_espacial,Prioridad_interpretacion,Suelo_etiqueta,Cultivo_etiqueta,Magnitud_Spearman_residual,Magnitud_Moran_residual,Puntuacion_integrada,Rango
Suelo_N,Potasio_savia,56,-0.4388224165115457,-0.3917182647447385,56,-0.3645249224349495,-0.35946684894053316,-0.03225141580420532,Dirección estable,Limitada,-0.23858349271597154,-0.17080094678662658,0.17411983165359646,Asociación espacial negativa menor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil N index,Sap potassium,0.35946684894053316,0.23858349271597154,0.3111135064507085,1
Suelo_P,Potasio_savia,56,-0.44050114593535195,-0.4060992296906813,56,-0.37206523834811056,-0.3572795625427204,-0.04881966714796088,Dirección estable,Limitada,-0.24009653112552307,-0.17432100978764165,0.18009903552585121,Asociación espacial negativa menor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil P index,Sap potassium,0.3572795625427204,0.24009653112552307,0.3104063499758415,2
Suelo_K,Potasio_savia,56,-0.4362823517880042,-0.39851404292921744,56,-0.3674427983791712,-0.355228981544771,-0.04328506138444643,Dirección estable,Limitada,-0.24118505220013764,-0.16914208766727254,0.17193803586247774,Asociación espacial negativa menor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil K index,Sap potassium,0.355228981544771,0.24118505220013764,0.30961140980691765,3
Suelo_CE_corregida_OLS,Potasio_savia,56,-0.43606364764112937,-0.3958712403019201,56,-0.3650934627205367,-0.3541353383458647,-0.04173590195605542,Dirección estable,Limitada,-0.2381612150156614,-0.17991614218692842,0.1774097114479007,Asociación espacial negativa menor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,OLS-corrected soil EC,Sap potassium,0.3541353383458647,0.2381612150156614,0.30774568901378335,4
Suelo_CE,Potasio_savia,56,-0.43606364764113115,-0.3958712403019201,56,-0.3650934627205432,-0.3541353383458647,-0.04173590195605542,Dirección estable,Limitada,-0.23816121501565912,-0.16496818355402765,0.17379512373672246,Asociación espacial negativa menor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil EC,Sap potassium,0.3541353383458647,0.23816121501565912,0.30774568901378246,5
Suelo_K,NDVI,56,0.21786023339591123,0.15125938494636212,56,0.35359707780944594,0.350786056049214,0.19952667110285185,Dirección estable,Limitada,0.2260477296569394,-0.1676905873494151,0.17702471915744583,Asociación espacial positiva mayor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil K index,NDVI,0.350786056049214,0.2260477296569394,0.30089072549230417,6
Suelo_N,NDVI,56,0.2119910637577225,0.15867338136837805,56,0.3505513124541012,0.34832535885167465,0.1896519774832966,Dirección estable,Limitada,0.22605842944438503,-0.1576953325173375,0.17769763497471647,Asociación espacial positiva mayor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil N index,NDVI,0.34832535885167465,0.22605842944438503,0.2994185870887588,7
Suelo_P,NDVI,56,0.20731854083318985,0.15264517867010344,56,0.3458785204853255,0.3446343130553657,0.19198913438526224,Dirección estable,Limitada,0.22185902231547755,-0.1671650228527534,0.17933415998558486,Asociación espacial positiva mayor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil P index,NDVI,0.3446343130553657,0.22185902231547755,0.29552419675941044,8
Suelo_CE_corregida_OLS,NDVI,56,0.21026158920464785,0.1512940297894557,56,0.3441208303935027,0.3349965823650034,0.1837025525755477,Dirección estable,Limitada,0.21990882516761334,-0.18127275319775427,0.16996894393519882,Asociación espacial positiva mayor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,OLS-corrected soil EC,NDVI,0.3349965823650034,0.21990882516761334,0.2889614794860474,9
Suelo_CE,NDVI,56,0.21026158920464783,0.1512940297894557,56,0.34412083039350866,0.3349965823650034,0.1837025525755477,Dirección estable,Limitada,0.21990882516760832,-0.17686430055889327,0.16326716861745824,Asociación espacial positiva mayor que la referencia,Dirección coherente,Media: asociación residual limitada o moderada,Soil EC,NDVI,0.3349965823650034,0.21990882516760832,0.28896147948604534,10
Suelo_pH,NDVI,56,0.13255808292987953,0.0995692790508119,56,0.296198215666234,0.29460013670539986,0.19503085765458794,Dirección estable,Limitada,0.06703806469234988,-0.12446190758985619,0.1232525140397667,Compatible con la referencia permutada,Dirección coherente,Media: asociación residual limitada o moderada,Soil pH,NDVI,0.29460013670539986,0.06703806469234988,0.20357530790017989,11
Suelo_pH,Macollas,56,0.1478961920452613,0.08893046122901394,56,-0.1419287111746156,-0.24032809295967192,0.15139763173065798,Dirección cambia tras ajuste,Limitada,0.063454114387136,-0.11393694226005854,0.10951007218420489,Compatible con la referencia permutada,Dirección no coincidente,Media: asociación residual limitada o moderada,Soil pH,Tillers,0.24032809295967192,0.063454114387136,0.16957850153065757,12
Suelo_T,Diametro,56,-0.1465180632188434,-0.16087239376248594,56,-0.2217340935462431,-0.1556390977443609,-0.005233296018125028,Dirección estable,Muy limitada,-0.1648567604095695,-0.15751372782228223,0.14810477603955063,Asociación espacial negativa menor que la referencia,Dirección coherente,Baja: evidencia débil,Soil temperature,Stem diameter,0.1556390977443609,0.1648567604095695,0.15932616281044434,13
Suelo_Hv,Altura,56,0.04183027385305863,-0.10728322915456226,56,-0.22875458461286613,-0.22720437457279563,0.11992114541823337,Dirección estable,Limitada,-0.048155393570319276,-0.11849840089063869,0.12426935479197972,Compatible con la referencia permutada,Dirección coherente,Media: asociación residual limitada o moderada,Soil moisture index,Plant height,0.22720437457279563,0.048155393570319276,0.15558478217180507,14
Suelo_pH,Altura,56,-0.23462425913742452,-0.18308896418636195,56,0.19260757774618287,0.22200956937799043,0.03892060519162849,Dirección cambia tras ajuste,Limitada,0.04069621260016707,-0.12056331557544948,0.1185781603906424,Compatible con la referencia permutada,Dirección coherente,Media: asociación residual limitada o moderada,Soil pH,Plant height,0.22200956937799043,0.04069621260016707,0.14948422666686106,15
Suelo_P,Calcio_savia,56,-0.45587680357003246,-0.4479955243759287,56,0.11830172228047175,0.2031818725838793,-0.24481365179204942,Dirección cambia tras ajuste,Limitada,0.028915046189600634,-0.17001766823208012,0.1807652899637197,Compatible con la referencia permutada,Dirección coherente,Media: asociación residual limitada o moderada,Soil P index,Sap calcium,0.2031818725838793,0.028915046189600634,0.13347514202616784,16
Suelo_CE_corregida_OLS,Calcio_savia,56,-0.4526301165164453,-0.43911176043646266,56,0.11433875627867955,0.19706420139926797,-0.2420475590371947,Dirección cambia tras ajuste,Muy limitada,0.028303193970375406,-0.17079180747589495,0.1708390912156732,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,OLS-corrected soil EC,Sap calcium,0.19706420139926797,0.028303193970375406,0.12955979842771095,17
Suelo_CE,Calcio_savia,56,-0.45263011651644786,-0.43911176043646266,56,0.11433875627867277,0.19706420139926797,-0.2420475590371947,Dirección cambia tras ajuste,Muy limitada,0.02830319397037317,-0.17654357449919425,0.16743537172685402,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil EC,Sap calcium,0.19706420139926797,0.02830319397037317,0.12955979842771004,18
Suelo_N,Calcio_savia,56,-0.45759518915989383,-0.44288478759222044,56,0.10566117283098748,0.18510227450198322,-0.25778251309023725,Dirección cambia tras ajuste,Muy limitada,0.02945548409202688,-0.17524265531268157,0.17467535561584566,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil N index,Sap calcium,0.18510227450198322,0.02945548409202688,0.12284355833800067,19
Suelo_K,Calcio_savia,56,-0.45154861365615745,-0.44559450709499193,56,0.1097797646132245,0.18212888124465818,-0.26346562585033373,Dirección cambia tras ajuste,Muy limitada,0.029101515916785024,-0.17991538886443262,0.16771573906603487,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil K index,Sap calcium,0.18212888124465818,0.029101515916785024,0.1209179351135089,20
Suelo_T,Altura,56,-0.07525388797382128,-0.13626576445977692,56,-0.09125980355281903,-0.11161995898838004,-0.024645805471396887,Dirección estable,Muy limitada,-0.13418020989102192,-0.1537436621385989,0.14499117012924603,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil temperature,Plant height,0.11161995898838004,0.13418020989102192,0.12064405934943678,21
Suelo_pH,Calcio_savia,56,-0.4426945003814878,-0.4152387886145772,56,0.1678407570545248,0.18848579096721518,-0.226752997647362,Dirección cambia tras ajuste,Muy limitada,0.011442876765914243,-0.11676173338571266,0.11273209877986266,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil pH,Sap calcium,0.18848579096721518,0.011442876765914243,0.1176686252866948,22
Suelo_N,Nitratos,56,-0.10850122173878272,-0.1096547847044551,56,-0.1905084897159746,-0.16486671223513327,0.055211927530678176,Dirección estable,Muy limitada,-0.04581893917729063,-0.16277638263271013,0.16909614148639293,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil N index,Sap nitrate,0.16486671223513327,0.04581893917729063,0.11724760301199622,23
Suelo_K,Nitratos,56,-0.11395836482604664,-0.11934027286655272,56,-0.18883815548183652,-0.1618591934381408,0.0425189205715881,Dirección estable,Muy limitada,-0.047571638549729574,-0.18036323329681472,0.17072099052622047,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil K index,Sap nitrate,0.1618591934381408,0.047571638549729574,0.11614417148277632,24
