Rango,Variable_suelo,Suelo_etiqueta,Variable_cultivo,Cultivo_etiqueta,Spearman_original,Spearman_residual,Moran_bivariado_residual,Clasificacion_Moran,Estabilidad_direccion,Prioridad_interpretacion,Cultivo_LISA_residual,Cultivo_Gi_residual,Cultivo_evidencia_local
1,Suelo_N,Soil N index,Potasio_savia,Sap potassium,-0.3917182647447385,-0.35946684894053316,-0.23858349271597154,Asociación espacial negativa menor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,3,5,Estructura local residual relevante
2,Suelo_P,Soil P index,Potasio_savia,Sap potassium,-0.4060992296906813,-0.3572795625427204,-0.24009653112552307,Asociación espacial negativa menor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,3,5,Estructura local residual relevante
3,Suelo_K,Soil K index,Potasio_savia,Sap potassium,-0.39851404292921744,-0.355228981544771,-0.24118505220013764,Asociación espacial negativa menor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,3,5,Estructura local residual relevante
4,Suelo_CE_corregida_OLS,OLS-corrected soil EC,Potasio_savia,Sap potassium,-0.3958712403019201,-0.3541353383458647,-0.2381612150156614,Asociación espacial negativa menor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,3,5,Estructura local residual relevante
5,Suelo_CE,Soil EC,Potasio_savia,Sap potassium,-0.3958712403019201,-0.3541353383458647,-0.23816121501565912,Asociación espacial negativa menor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,3,5,Estructura local residual relevante
6,Suelo_K,Soil K index,NDVI,NDVI,0.15125938494636212,0.350786056049214,0.2260477296569394,Asociación espacial positiva mayor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
7,Suelo_N,Soil N index,NDVI,NDVI,0.15867338136837805,0.34832535885167465,0.22605842944438503,Asociación espacial positiva mayor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
8,Suelo_P,Soil P index,NDVI,NDVI,0.15264517867010344,0.3446343130553657,0.22185902231547755,Asociación espacial positiva mayor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
9,Suelo_CE_corregida_OLS,OLS-corrected soil EC,NDVI,NDVI,0.1512940297894557,0.3349965823650034,0.21990882516761334,Asociación espacial positiva mayor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
10,Suelo_CE,Soil EC,NDVI,NDVI,0.1512940297894557,0.3349965823650034,0.21990882516760832,Asociación espacial positiva mayor que la referencia,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
11,Suelo_pH,Soil pH,NDVI,NDVI,0.0995692790508119,0.29460013670539986,0.06703806469234988,Compatible con la referencia permutada,Dirección estable,Media: asociación residual limitada o moderada,7,10,Estructura local residual relevante
12,Suelo_pH,Soil pH,Macollas,Tillers,0.08893046122901394,-0.24032809295967192,0.063454114387136,Compatible con la referencia permutada,Dirección cambia tras ajuste,Media: asociación residual limitada o moderada,3,4,Estructura local residual limitada
