Nodo,X,Y,Variable,Observado,Predicho,Residuo,Residuo_absoluto,Residuo_estandarizado,var1.pred,var1.var,observed,residual,zscore,fold
1,587213.774,517578.231,CE,335,321.8524186427527,13.147581357247304,13.147581357247304,0.18090858570459603,321.8524186427527,5281.695709856548,335,13.147581357247304,0.18090858570459603,1
2,587211.773,517576.571,CE,383,302.1502377752889,80.84976222471113,80.84976222471113,1.2409127581533708,302.1502377752889,4244.973609645646,383,80.84976222471113,1.2409127581533708,2
3,587209.772,517574.911,CE,299,295.11621269367515,3.883787306324848,3.883787306324848,0.05960322388413156,295.11621269367515,4245.915765747439,299,3.883787306324848,0.05960322388413156,3
4,587207.771,517573.251,CE,248,307.8391559102297,-59.83915591022969,59.83915591022969,-0.9182367422917306,307.8391559102297,4246.797805436532,248,-59.83915591022969,-0.9182367422917306,4
5,587205.77,517571.59,CE,377,189.53637320930008,187.46362679069992,187.46362679069992,2.87665255890665,189.53637320930008,4246.774564813071,377,187.46362679069992,2.87665255890665,5
6,587203.769,517569.93,CE,112,280.42045703412754,-168.42045703412754,168.42045703412754,-2.584526420235642,280.42045703412754,4246.466779524105,112,-168.42045703412754,-2.584526420235642,6
7,587201.768,517568.27,CE,211,188.65086153742007,22.34913846257993,22.34913846257993,0.3429626031802402,188.65086153742007,4246.469786771978,211,22.34913846257993,0.3429626031802402,7
8,587199.767,517566.61,CE,207,175.39793913287852,31.60206086712148,31.60206086712148,0.48495490046060813,175.39793913287852,4246.4704468378,207,31.60206086712148,0.48495490046060813,8
9,587197.766,517564.95,CE,84,189.87188862983345,-105.87188862983345,105.87188862983345,-1.624675657464905,189.87188862983345,4246.469155856624,84,-105.87188862983345,-1.624675657464905,9
10,587195.765,517563.29,CE,166,129.50343818175054,36.49656181824946,36.49656181824946,0.5600652852245714,129.50343818175054,4246.455701347073,166,36.49656181824946,0.5600652852245714,10
11,587193.764,517561.63,CE,115,188.68620924235154,-73.68620924235154,73.68620924235154,-1.130779525494825,188.68620924235154,4246.357527474871,115,-73.68620924235154,-1.130779525494825,11
12,587191.763,517559.97,CE,166,147.80286374504854,18.19713625495146,18.19713625495146,0.2792678948316097,147.80286374504854,4245.84437223574,166,18.19713625495146,0.2792678948316097,12
13,587189.762,517558.31,CE,117,204.4670101849885,-87.46701018498851,87.46701018498851,-1.3664691526890727,204.4670101849885,4097.216367179884,117,-87.46701018498851,-1.3664691526890727,13
14,587188.015,517556.735,CE,215,179.33836900206973,35.661630997930274,35.661630997930274,0.5026125330319421,179.33836900206973,5034.261561286428,215,35.661630997930274,0.5026125330319421,14
15,587190.888,517553.272,CE,234,243.12470215901632,-9.124702159016323,9.124702159016323,-0.12830512728561266,243.12470215901632,5057.656979257375,234,-9.124702159016323,-0.12830512728561266,15
16,587192.635,517554.846,CE,259,216.60170482982144,42.39829517017856,42.39829517017856,0.6633501500998734,216.60170482982144,4085.179318079988,259,42.39829517017856,0.6633501500998734,16
17,587194.636,517556.506,CE,216,249.1004071883861,-33.1004071883861,33.1004071883861,-0.5079631921801506,249.1004071883861,4246.217004225706,216,-33.1004071883861,-0.5079631921801506,17
18,587196.637,517558.167,CE,280,209.37485982583541,70.625140174164585,70.625140174164585,1.0837701551049619,209.37485982583541,4246.6285105677925,280,70.625140174164585,1.0837701551049619,18
19,587198.638,517559.827,CE,219,187.13319591356418,31.86680408643582,31.86680408643582,0.4890193831959374,187.13319591356418,4246.438842017154,219,31.86680408643582,0.4890193831959374,19
20,587200.639,517561.487,CE,99,239.16574462897216,-140.16574462897216,140.16574462897216,-2.150939607317568,239.16574462897216,4246.462993020033,99,-140.16574462897216,-2.150939607317568,20
21,587202.64,517563.147,CE,301,213.3095661375796,87.6904338624204,87.6904338624204,1.345669108595669,213.3095661375796,4246.4681597853205,301,87.6904338624204,1.345669108595669,21
22,587204.641,517564.807,CE,331,237.09185148753468,93.90814851246532,93.90814851246532,1.4410840094322659,237.09185148753468,4246.468998487056,331,93.90814851246532,1.4410840094322659,22
23,587206.642,517566.467,CE,190,269.85196327274224,-79.85196327274224,79.85196327274224,-1.2253827190264899,269.85196327274224,4246.466417630189,190,-79.85196327274224,-1.2253827190264899,23
24,587208.643,517568.127,CE,247,200.93973487329816,46.060265126701836,46.060265126701836,0.7068267646818852,200.93973487329816,4246.458603030238,247,46.060265126701836,0.7068267646818852,24
25,587210.644,517569.787,CE,169,260.7026630832258,-91.70266308322579,91.70266308322579,-1.4072521294506506,260.7026630832258,4246.391842397577,169,-91.70266308322579,-1.4072521294506506,25
26,587212.645,517571.447,CE,270,226.5389128448391,43.4610871551609,43.4610871551609,0.6669831845520886,226.5389128448391,4245.916035413655,270,43.4610871551609,0.6669831845520886,26
27,587214.646,517573.107,CE,254,307.1678941153036,-53.167894115303625,53.167894115303625,-0.8160019918885629,307.1678941153036,4245.3791269006815,254,-53.167894115303625,-0.8160019918885629,27
28,587216.647,517574.768,CE,345,264.2259751770307,80.7740248229693,80.7740248229693,1.1113870735856666,264.2259751770307,5282.174746282027,345,80.7740248229693,1.1113870735856666,28
