Nodo,X,Y,Variable,Observado,Predicho,Residuo,Residuo_absoluto,Residuo_estandarizado,var1.pred,var1.var,observed,residual,zscore,fold
1,587213.774,517578.231,T,16.5,16.07982861776182,0.4201713822381805,0.4201713822381805,1.0196884275752172,16.07982861776182,0.16979228687215986,16.5,0.4201713822381805,1.0196884275752172,1
2,587211.773,517576.571,T,16.1,16.471644031630806,-0.3716440316308045,0.3716440316308045,-1.392004676258071,16.471644031630806,0.07128086100630371,16.1,-0.3716440316308045,-1.392004676258071,2
3,587209.772,517574.911,T,16.1,15.780136480809144,0.3198635191908572,0.3198635191908572,1.3946209194980426,15.780136480809144,0.05260379437208231,16.1,0.3198635191908572,1.3946209194980426,3
4,587207.771,517573.251,T,16.1,16.491317531801197,-0.3913175318011959,0.3913175318011959,-1.8220514024692636,16.491317531801197,0.04612510433289202,16.1,-0.3913175318011959,-1.8220514024692636,4
5,587205.77,517571.59,T,16.5,16.116130215719323,0.38386978428067664,0.38386978428067664,1.8327591152468985,16.116130215719323,0.04386893396482399,16.5,0.38386978428067664,1.8327591152468985,5
6,587203.769,517569.93,T,16.1,16.43138072110091,-0.3313807211009099,0.3313807211009099,-1.6009427281473627,16.43138072110091,0.04284527016573299,16.1,-0.3313807211009099,-1.6009427281473627,6
7,587201.768,517568.27,T,15.7,15.47053600436647,0.22946399563352848,0.22946399563352848,1.112818694325029,15.47053600436647,0.04251872938113868,15.7,0.22946399563352848,1.112818694325029,7
8,587199.767,517566.61,T,15.3,15.557239157377214,-0.2572391573772137,0.2572391573772137,-1.2481132045902978,15.557239157377214,0.04247820933876895,15.3,-0.2572391573772137,-1.2481132045902978,8
9,587197.766,517564.95,T,15.7,15.647362418682883,0.052637581317116044,0.052637581317116044,0.2548041810497522,15.647362418682883,0.04267551302334819,15.7,0.052637581317116044,0.2548041810497522,9
10,587195.765,517563.29,T,16.2,16.204106713147997,-0.004106713147997709,0.004106713147997709,-0.01970338148128549,16.204106713147997,0.043441739350456365,16.2,-0.004106713147997709,-0.01970338148128549,10
11,587193.764,517561.63,T,15.8,15.780000714386622,0.019999285613378603,0.019999285613378603,0.09426151103400443,15.780000714386622,0.04501530227120666,15.8,0.019999285613378603,0.09426151103400443,11
12,587191.763,517559.97,T,15.8,16.029081899319774,-0.22908189931977319,0.22908189931977319,-1.0305171297798317,16.029081899319774,0.04941640184114743,15.8,-0.22908189931977319,-1.0305171297798317,12
13,587189.762,517558.31,T,16.5,16.2130779636295,0.2869220363704983,0.2869220363704983,1.189686850207588,16.2130779636295,0.058165100979937406,16.5,0.2869220363704983,1.189686850207588,13
14,587188.015,517556.735,T,16.4,16.77048587639607,-0.3704858763960708,0.3704858763960708,-1.01203085339703,16.77048587639607,0.13401573954792487,16.4,-0.3704858763960708,-1.01203085339703,14
15,587190.888,517553.272,T,16.4,16.111241402208734,0.288758597791265,0.288758597791265,0.7889391635644569,16.111241402208734,0.13396236862038896,16.4,0.288758597791265,0.7889391635644569,15
16,587192.635,517554.846,T,16.4,16.68270214572801,-0.28270214572800967,0.28270214572800967,-1.1723830076246906,16.68270214572801,0.05814591100538378,16.4,-0.28270214572800967,-1.1723830076246906,16
17,587194.636,517556.506,T,17,16.75450395226898,0.24549604773102018,0.24549604773102018,1.1043569128304307,16.75450395226898,0.04941628595607584,17,0.24549604773102018,1.1043569128304307,17
18,587196.637,517558.167,T,16.5,16.518823351123476,-0.01882335112347633,0.01882335112347633,-0.08871529366586521,16.518823351123476,0.04501910926942821,16.5,-0.01882335112347633,-0.08871529366586521,18
19,587198.638,517559.827,T,16.4,16.615494633845106,-0.21549463384510759,0.21549463384510759,-1.0338968711618934,16.615494633845106,0.043442866927951615,16.4,-0.21549463384510759,-1.0338968711618934,19
20,587200.639,517561.487,T,17.4,17.09905658534855,0.30094341465144936,0.30094341465144936,1.4567805857993035,17.09905658534855,0.04267577321980256,17.4,0.30094341465144936,1.4567805857993035,20
21,587202.64,517563.147,T,17.1,17.19242766137707,-0.09242766137706937,0.09242766137706937,-0.4484559945241424,17.19242766137707,0.0424780196915664,17.1,-0.09242766137706937,-0.4484559945241424,21
22,587204.641,517564.807,T,17.1,17.176886279822465,-0.07688627982246388,0.07688627982246388,-0.37287479420018155,17.176886279822465,0.042517883968949316,17.1,-0.07688627982246388,-0.37287479420018155,22
23,587206.642,517566.467,T,17.5,17.202399649477698,0.29760035052230194,0.29760035052230194,1.4377829795893988,17.202399649477698,0.042843032221855905,17.5,0.29760035052230194,1.4377829795893988,23
24,587208.643,517568.127,T,17.1,17.370466270034054,-0.27046627003405277,0.27046627003405277,-1.2914179032695312,17.370466270034054,0.04386242289947423,17.1,-0.27046627003405277,-1.2914179032695312,24
25,587210.644,517569.787,T,17.4,17.147178901056265,0.25282109894373406,0.25282109894373406,1.1772682272337247,17.147178901056265,0.04611856474000437,17.4,0.25282109894373406,1.1772682272337247,25
26,587212.645,517571.447,T,17.2,17.226118902166768,-0.026118902166768265,0.026118902166768265,-0.11388079772670767,17.226118902166768,0.052602796859882194,17.2,-0.026118902166768265,-0.11388079772670767,26
27,587214.646,517573.107,T,16.6,16.656103787800642,-0.05610378780064096,0.05610378780064096,-0.21012974803205275,16.656103787800642,0.07128682740950429,16.6,-0.05610378780064096,-0.21012974803205275,27
28,587216.647,517574.768,T,16.6,16.47425827200935,0.12574172799065053,0.12574172799065053,0.30513684385781037,16.47425827200935,0.16981245821096788,16.6,0.12574172799065053,0.30513684385781037,28
