Nodo,X,Y,Variable,Observado,Predicho,Residuo,Residuo_absoluto,Residuo_estandarizado,var1.pred,var1.var,observed,residual,zscore,fold
1,587213.774,517578.231,pH,8.49,8.02841793317085,0.46158206682915015,0.46158206682915015,0.5808073124561044,8.02841793317085,0.6315877584066517,8.49,0.46158206682915015,0.5808073124561044,1
2,587211.773,517576.571,pH,8.41,8.341806526403179,0.06819347359682126,0.06819347359682126,0.09581936762830831,8.341806526403179,0.506499504645181,8.41,0.06819347359682126,0.09581936762830831,2
3,587209.772,517574.911,pH,8.43,8.213467587027724,0.21653241297227588,0.21653241297227588,0.3079888084935056,8.213467587027724,0.49428332538281894,8.43,0.21653241297227588,0.3079888084935056,3
4,587207.771,517573.251,pH,7.36,7.211417540980522,0.14858245901947864,0.14858245901947864,0.21207661291772964,7.211417540980522,0.49085082567868005,7.36,0.14858245901947864,0.21207661291772964,4
5,587205.77,517571.59,pH,6.76,7.607974393898155,-0.8479743938981557,0.8479743938981557,-1.2102416453876148,7.607974393898155,0.49093194177784627,6.76,-0.8479743938981557,-1.2102416453876148,5
6,587203.769,517569.93,pH,8.56,7.454832966589339,1.1051670334106616,1.1051670334106616,1.577903884035406,7.454832966589339,0.49056295914001075,8.56,1.1051670334106616,1.577903884035406,6
7,587201.768,517568.27,pH,7,7.99236945841212,-0.9923694584121199,0.9923694584121199,-1.4167726855269558,7.99236945841212,0.4906213338600786,7,-0.9923694584121199,-1.4167726855269558,7
8,587199.767,517566.61,pH,8.61,7.792342317102122,0.8176576828978774,0.8176576828978774,1.1673773811921955,7.792342317102122,0.4905920374480467,8.61,0.8176576828978774,1.1673773811921955,8
9,587197.766,517564.95,pH,8.49,8.460464826900687,0.02953517309931364,0.02953517309931364,0.042168974170534376,8.460464826900687,0.49056094363929803,8.49,0.02953517309931364,0.042168974170534376,9
10,587195.765,517563.29,pH,7,6.95567207959296,0.044327920407040367,0.044327920407040367,0.06328676876525545,6.95567207959296,0.49060149784376605,7,0.044327920407040367,0.06328676876525545,10
11,587193.764,517561.63,pH,6.24,7.024391301899217,-0.784391301899217,0.784391301899217,-1.120677802492568,7.024391301899217,0.48989611856977855,6.24,-0.784391301899217,-1.120677802492568,11
12,587191.763,517559.97,pH,6.68,7.1323801782707434,-0.4523801782707437,0.4523801782707437,-0.6474319027082437,7.1323801782707434,0.4882237961352779,6.68,-0.4523801782707437,-0.6474319027082437,12
13,587189.762,517558.31,pH,6.7,6.823135013568312,-0.12313501356831225,0.12313501356831225,-0.1807299494107095,6.823135013568312,0.46419757901639236,6.7,-0.12313501356831225,-0.1807299494107095,13
14,587188.015,517556.735,pH,6.82,7.105012311356769,-0.28501231135676885,0.28501231135676885,-0.37582472826312685,7.105012311356769,0.575117438144362,6.82,-0.28501231135676885,-0.37582472826312685,14
15,587190.888,517553.272,pH,6.65,6.862645536226701,-0.21264553622670057,0.21264553622670057,-0.27977381448862665,6.862645536226701,0.5776947395815643,6.65,-0.21264553622670057,-0.27977381448862665,15
16,587192.635,517554.846,pH,6.62,7.32679405972527,-0.7067940597252695,0.7067940597252695,-1.0384056501994408,7.32679405972527,0.46328868823895775,6.62,-0.7067940597252695,-1.0384056501994408,16
17,587194.636,517556.506,pH,8.5,7.642763092175987,0.8572369078240127,0.8572369078240127,1.2259391661235057,7.642763092175987,0.48894936004151696,8.5,0.8572369078240127,1.2259391661235057,17
18,587196.637,517558.167,pH,7.97,7.448062510422617,0.5219374895773825,0.5219374895773825,0.7458354462506579,7.448062510422617,0.4897235009168792,7.97,0.5219374895773825,0.7458354462506579,18
19,587198.638,517559.827,pH,6.7,7.635453212340279,-0.9354532123402786,0.9354532123402786,-1.3353322221193988,7.635453212340279,0.4907558482520854,6.7,-0.9354532123402786,-1.3353322221193988,19
20,587200.639,517561.487,pH,8.56,8.002656877602991,0.5573431223970093,0.5573431223970093,0.7958011255887043,8.002656877602991,0.4904968181532494,8.56,0.5573431223970093,0.7958011255887043,20
21,587202.64,517563.147,pH,8.67,7.959959573039353,0.7100404269606466,0.7100404269606466,1.0136939892138976,7.959959573039353,0.49062809114228745,8.67,0.7100404269606466,1.0136939892138976,21
22,587204.641,517564.807,pH,6.7,7.949825778415265,-1.249825778415265,1.249825778415265,-1.7843934466612115,7.949825778415265,0.4905888990435675,6.7,-1.249825778415265,-1.7843934466612115,22
23,587206.642,517566.467,pH,8.59,7.369342811362995,1.2206571886370048,1.2206571886370048,1.7427475888696695,7.369342811362995,0.4905897216807184,8.59,1.2206571886370048,1.7427475888696695,23
24,587208.643,517568.127,pH,6.76,7.505934276532761,-0.7459342765327612,0.7459342765327612,-1.064827925221964,7.505934276532761,0.49072961029615614,6.76,-0.7459342765327612,-1.064827925221964,24
25,587210.644,517569.787,pH,6.88,7.280030358622278,-0.40003035862227776,0.40003035862227776,-0.5709568996701323,7.280030358622278,0.490884424112411,6.88,-0.40003035862227776,-0.5709568996701323,25
26,587212.645,517571.447,pH,8.67,8.044841943444524,0.6251580565554757,0.6251580565554757,0.8895408226175467,8.044841943444524,0.49391008951798226,8.67,0.6251580565554757,0.8895408226175467,26
27,587214.646,517573.107,pH,8.66,8.495620935829022,0.16437906417097814,0.16437906417097814,0.23086557564831542,8.495620935829022,0.5069611123385607,8.66,0.16437906417097814,0.23086557564831542,27
28,587216.647,517574.768,pH,8.46,8.104775503131913,0.35522449686808777,0.35522449686808777,0.447594027942057,8.104775503131913,0.6298501672760082,8.46,0.35522449686808777,0.447594027942057,28
