DX_m,DY_m,N_celdas,Correlacion,RMSE
-5,-5,132120,0.6630216030077711,0.24540908920836915
-5,-4.75,132487,0.6624771053759195,0.24569177141904427
-5,-4.5,132854,0.6619272580285307,0.24598275404081837
-5,-4.25,133221,0.6616492731636018,0.24618659888575867
-5,-4,133588,0.661431203263317,0.24637508299737254
-5,-3.75,133955,0.6613188213994909,0.2465310488830141
-5,-3.5,134322,0.6616916007161271,0.24652144884791735
-5,-3.25,134322,0.6625033438759378,0.24622892670099578
-5,-3,134689,0.6646538955270507,0.24558696661085694
-5,-2.75,135056,0.6676540035544672,0.24463584812409456
-5,-2.5,135423,0.6709837322101853,0.24356506297539277
-5,-2.25,135790,0.6743303177883596,0.2424838317573164
-5,-2,136157,0.6776951052878497,0.2413928568401722
-5,-1.75,136524,0.6810030981750405,0.24031897340914263
-5,-1.5,136891,0.6841135962489074,0.23931483236471485
-5,-1.25,137258,0.6871677309492273,0.2383296236834862
-5,-1,137625,0.690598195150472,0.23719816691916693
-5,-0.75,137992,0.6942990049408112,0.2359591096186448
-5,-0.5,138359,0.6985140533855912,0.23451965532724608
-5,-0.25,138726,0.7033895282953464,0.23281663102374914
-5,0,139093,0.7086834746930227,0.23093991484477644
-5,0.25,138726,0.712804630190186,0.2291826947058126
-5,0.5,138359,0.7156033478161024,0.2279387964803804
-5,0.75,137992,0.7175585495425081,0.22702825388162412
-5,1,137625,0.719257059064304,0.22622076202172708
-5,1.25,137258,0.7207613213209317,0.2254915631620809
-5,1.5,136891,0.7219405555978748,0.22488938350883228
-5,1.75,136524,0.7229997521086584,0.22433305204658288
-5,2,136157,0.7235891941650582,0.22396141668350342
-5,2.25,135790,0.7236614617742844,0.22379321966299345
-5,2.5,135423,0.7235027966527681,0.22371599551470972
-5,2.75,135056,0.7230342695644915,0.22376352454705728
-5,3,134689,0.7217484275441325,0.2241350404725697
-5,3.25,134322,0.7196221264392137,0.22483674798264852
-5,3.5,134322,0.7180584814455283,0.22542377942846947
-5,3.75,133955,0.7161328937001612,0.2260436877326968
-5,4,133588,0.7146990374894162,0.22646471868873272
-5,4.25,133221,0.7134681176852905,0.2268029209602675
-5,4.5,132854,0.7121460026822395,0.22717598687389962
-5,4.75,132487,0.7105013647934646,0.22767494564816557
-5,5,132120,0.7086453982824419,0.228259276464107
-4.75,-5,132480,0.6716100518244329,0.24242183409088996
-4.75,-4.75,132848,0.6707855159438161,0.24280667941691056
-4.75,-4.5,133216,0.6696626054411352,0.2433052167943806
-4.75,-4.25,133584,0.668801153816555,0.24371869707434551
-4.75,-4,133952,0.6683606763722246,0.2439861545827297
-4.75,-3.75,134320,0.6681231067282627,0.2441854961877551
-4.75,-3.5,134688,0.6681868071583187,0.24428364792597115
-4.75,-3.25,134688,0.6685449079698434,0.2441530829764654
-4.75,-3,135056,0.6701598832441554,0.24369529386841196
-4.75,-2.75,135424,0.672632949299996,0.24292401282922402
-4.75,-2.5,135792,0.6756932603984296,0.24193969546066316
-4.75,-2.25,136160,0.6789835378764374,0.24086748600151567
-4.75,-2,136528,0.6823429757848658,0.23976664189617777
-4.75,-1.75,136896,0.6858742518230492,0.23859792049851608
-4.75,-1.5,137264,0.6894342331546859,0.2374137892748383
-4.75,-1.25,137632,0.6928479539237018,0.23628033803328338
