Nodo,Experimental_Unit,Treatment_ID,Treatment_base,Dose_percent,Omission_description,Replication,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,X,Y,GLI_09_buffer_0_0m,GLI_09_buffer_0_5m,GLI_09_buffer_1_0m,GRVI_09_buffer_0_0m,GRVI_09_buffer_0_5m,GRVI_09_buffer_1_0m,GLI_14_buffer_0_0m,GLI_14_buffer_0_5m,GLI_14_buffer_1_0m,GRVI_14_buffer_0_0m,GRVI_14_buffer_0_5m,GRVI_14_buffer_1_0m,Delta_GLI_buffer_0_0m,Delta_GLI_buffer_0_5m,Delta_GLI_buffer_1_0m,Delta_GRVI_buffer_0_0m,Delta_GRVI_buffer_0_5m,Delta_GRVI_buffer_1_0m
1,L2_NODE_01,T4-A,T4,100,Sin K,1,8.666666666666666,28.53333333333333,3.3555555555555556,0.7,4900,4100,1200,587212.895,517579,0.02583126159482422,0.030686279481159123,0.030686279481159123,-0.070358883077111245,-0.07122167349949231,-0.07122167349949231,0.13377059507494926,0.13362828900002136,0.13362828900002136,0.043357746545662816,0.04030907433722913,0.04030907433722913,0.10793933348012504,0.10294200951886223,0.10294200951886223,0.11371662962277404,0.11153074783672143,0.11153074783672143
2,L2_NODE_02,T6-A,T6,100,Sin Fe,1,8.333333333333334,39.13333333333333,3.2999999999999994,0.69,5500,4100,1000,587211.104,517578,0.12213031788476794,0.12792776344001913,0.12792776344001913,0.020800091219272225,0.01620556737541202,0.01620556737541202,0.20930084217883904,0.18104883431602645,0.18104883431602645,0.12376061359230986,0.10278401287974621,0.10278401287974621,0.08717052429407111,0.053121070876007315,0.053121070876007315,0.10296052237303764,0.08657844550433419,0.08657844550433419
3,L2_NODE_03,T10-A,T10,100,Sin Cu,1,7.333333333333333,39.9,3.3444444444444446,0.7,5400,4200,940,587208.994,517576,-0.013604885076532989,-0.017773124234304452,-0.017773124234304452,-0.11327257750900387,-0.1167870900374383,-0.1167870900374383,0.04749486093410571,0.03588081096415835,0.03588081096415835,-0.038693333715142206,-0.04300582938687738,-0.04300582938687738,0.0610997460106387,0.0536539351984628,0.0536539351984628,0.07457924379386167,0.07378126065056093,0.07378126065056093
4,L2_NODE_04,T3-B,T3,75,Sin P,1,7.666666666666667,48.333333333333336,3.3000000000000003,0.66,6100,4400,1400,587207.025,517574,0.030643205431266068,0.035936846706484005,0.035936846706484005,-0.032767745245990285,-0.022566458667691316,-0.022566458667691316,0.182799265586269,0.16871782229488444,0.16871782229488444,0.10633868680908765,0.09866019485351031,0.09866019485351031,0.1521560601550029,0.13278097558840044,0.13278097558840044,0.13910643205507794,0.12122665352120163,0.12122665352120163
5,L2_NODE_05,T1-B,T1,75,Completo,1,8,46.5,3.077777777777778,0.68,5800,4400,1600,587204.915,517572,0.05401138514209975,0.044766039942341795,0.044766039942341795,-0.0585270600790404,-0.05941504411767288,-0.05941504411767288,0.1726329708462451,0.1419020001636617,0.1419020001636617,0.05117824350352884,0.03807119435313387,0.03807119435313387,0.11862158570414535,0.0971359602213199,0.0971359602213199,0.10970530358256923,0.09748623847080676,0.09748623847080676
6,L2_NODE_06,T2-B,T2,75,Sin N,1,5.666666666666667,44.43333333333334,3.3333333333333335,0.65,4100,4100,1500,587202.983,517570,0.025895117016606184,0.021807061062652754,0.021807061062652754,-0.0876974146306447,-0.0874598215649118,-0.0874598215649118,0.14732269983373716,0.13265496182181055,0.13265496182181055,0.05324303127120686,0.051296496121497885,0.051296496121497885,0.12142758281713097,0.11084790075915779,0.11084790075915779,0.14094044590185156,0.1387563176864097,0.1387563176864097
7,L2_NODE_07,T10-A,T10,100,Sin Cu,2,6.666666666666667,44.699999999999996,3.1333333333333337,0.7,3400,4400,1200,587201.014,517569,0.06128767081736129,0.05633864791390962,0.05633864791390962,-0.06060755300104555,-0.059120539920805924,-0.059120539920805924,0.2706911905628873,0.27296208419341533,0.27296208419341533,0.1466815864961182,0.14979476640837855,0.14979476640837855,0.20940351974552604,0.2166234362795057,0.2166234362795057,0.20728913949716374,0.20891530632918448,0.20891530632918448
8,L2_NODE_08,T4-A,T4,100,Sin K,2,5.666666666666667,42.63333333333333,2.888888888888889,0.69,3800,4400,1400,587198.948,517567,0.011617446270928812,0.010752094825414006,0.010752094825414006,-0.0552141338587705,-0.05871172201015013,-0.05871172201015013,0.1976673543585192,0.16643657873968268,0.16643657873968268,0.10945734930148406,0.09178011819613185,0.09178011819613185,0.18604990808759042,0.15568448391426867,0.15568448391426867,0.16467148316025454,0.15049184020628198,0.15049184020628198
9,L2_NODE_09,T0-A,T0,100,Control,2,4.666666666666667,46.46666666666667,3.333333333333334,0.66,3600,4200,1600,587197.023,517566,-0.02223143089561463,-0.019834459352849495,-0.019834459352849495,-0.08235984280041374,-0.07770303834868854,-0.07770303834868854,0.2889804110423327,0.3554226015745402,0.3554226015745402,0.18659792989264745,0.23244658994874115,0.23244658994874115,0.3112118419379474,0.3752570609273897,0.3752570609273897,0.2689577726930612,0.3101496282974297,0.3101496282974297
10,L2_NODE_10,T3-B,T3,75,Sin P,2,6.333333333333333,48.800000000000004,3.2777777777777786,0.69,5400,4700,1700,587194.69,517564,0.032326518519246596,0.03861136507580565,0.03861136507580565,-0.06872142976258128,-0.06317100736111139,-0.06317100736111139,0.27040791897001915,0.24709923556857596,0.24709923556857596,0.18545909805623978,0.17455554615646138,0.17455554615646138,0.23808140045077253,0.20848787049277032,0.20848787049277032,0.25418052781882106,0.23772655351757277,0.23772655351757277
11,L2_NODE_11,T8-B,T8,75,Sin Mn,2,6,41.13333333333333,3.222222222222222,0.7,5900,4500,2000,587193.167,517562,-0.030223521437585693,-0.02987323133992892,-0.02987323133992892,-0.0744929822377425,-0.07410789097584643,-0.07410789097584643,0.22926619281728058,0.235306670367515,0.235306670367515,0.10187933712737164,0.11558959549476777,0.11558959549476777,0.2594897142548663,0.2651799017074439,0.2651799017074439,0.1763723193651141,0.18969748647061419,0.18969748647061419
12,L2_NODE_12,T7-B,T7,75,Sin Zn,2,5.666666666666667,47.86666666666667,3.2222222222222223,0.69,5400,4900,1800,587191.101,517561,0.1453561677934409,0.1410716641326286,0.1410716641326286,0.11120875362215957,0.10855585365139742,0.10855585365139742,0.20600267333325084,0.19934959714420442,0.19934959714420442,0.12135837382899341,0.10745736542225776,0.10745736542225776,0.060646505539809936,0.05827793301157583,0.05827793301157583,0.01014962020683385,-0.0010984882291396603,-0.0010984882291396603
13,L2_NODE_13,T0-A,T0,100,Control,3,7.666666666666667,44.333333333333336,3.3111111111111113,0.67,2800,4300,1000,587189.132,517559,0.03286418076338271,0.02288731975378207,0.02288731975378207,-0.08031035696429853,-0.08987336515142738,-0.08987336515142738,0.2672103103767661,0.2748445360929985,0.2748445360929985,0.1936816212542105,0.1990551685065898,0.1990551685065898,0.2343461296133834,0.25195721633921647,0.25195721633921647,0.273991978218509,0.2889285336580172,0.2889285336580172
14,L2_NODE_14,T11-A,T11,100,Sin Mo,3,7.333333333333333,62.333333333333336,3.533333333333333,0.72,4500,4800,2000,587187.054,517557,0.11641533955365999,0.10395866527448432,0.10395866527448432,0.026428675874341872,0.009154139550536736,0.009154139550536736,0.2562367954444569,0.279887481019727,0.279887481019727,0.16833917033616597,0.18444566997753525,0.18444566997753525,0.1398214558907969,0.17592881574524266,0.17592881574524266,0.14191049446182408,0.17529153042699852,0.17529153042699852
15,L2_NODE_15,T8-A,T8,100,Sin Mn,3,7.333333333333333,56.666666666666664,4.022222222222222,0.72,4900,4800,1700,587188.6,517555,0.19077106961180076,0.20180358543352012,0.20180358543352012,0.08959964201383813,0.0886606707906253,0.0886606707906253,0.13263127790445667,0.15899302053538497,0.15899302053538497,0.0357153437682087,0.03830773221268402,0.03830773221268402,-0.05813979170734408,-0.042810564898135145,-0.042810564898135145,-0.05388429824562942,-0.05035293857794128,-0.05035293857794128
16,L2_NODE_16,T10-A,T10,100,Sin Cu,3,6.666666666666667,45.333333333333336,3.2777777777777777,0.71,5300,5700,1900,587190.678,517557,0.24885400877319525,0.26233851673823366,0.26233851673823366,0.11547452583277433,0.11957468278248316,0.11957468278248316,0.24791200992009077,0.25235171256549144,0.25235171256549144,0.13639077415721537,0.14622603922477936,0.14622603922477936,-9.419988531044897e-4,-0.009986804172742225,-0.009986804172742225,0.020916248324441025,0.0266513564422962,0.0266513564422962
