Variable_UAV,Variable_cultivo,n,Pearson,Spearman
Delta_GLI_buffer_0_0m,Altura,56,0.10396768155629152,0.11989473331449647
Delta_GLI_buffer_0_0m,Calcio_savia,56,0.13911713682978175,0.13401106452314165
Delta_GLI_buffer_0_0m,Diametro,56,0.18776366246879522,0.03739787479306409
Delta_GLI_buffer_0_0m,Macollas,56,-0.11693626583955362,-0.11642553829365124
Delta_GLI_buffer_0_0m,NDVI,56,-0.0787723529948241,-0.11044775978218105
Delta_GLI_buffer_0_0m,Nitratos,56,-0.0682950007441078,-0.04568949362685629
Delta_GLI_buffer_0_0m,Potasio_savia,56,0.20958736868563085,0.18101481891384832
Delta_GLI_buffer_0_5m,Altura,56,0.11448036971458382,0.14457090134558725
Delta_GLI_buffer_0_5m,Calcio_savia,56,0.13172921138345667,0.1590159444917545
Delta_GLI_buffer_0_5m,Diametro,56,0.2327549612131975,0.06180562854283353
Delta_GLI_buffer_0_5m,Macollas,56,-0.13842086435382836,-0.12708759436235725
Delta_GLI_buffer_0_5m,NDVI,56,-0.09534779961653939,-0.11020524588052633
Delta_GLI_buffer_0_5m,Nitratos,56,-0.07000419039208572,-0.03388209639744399
Delta_GLI_buffer_0_5m,Potasio_savia,56,0.21486217865517668,0.1793673575357928
Delta_GLI_buffer_1_0m,Altura,56,0.11448036971458382,0.14457090134558725
Delta_GLI_buffer_1_0m,Calcio_savia,56,0.13172921138345667,0.1590159444917545
Delta_GLI_buffer_1_0m,Diametro,56,0.2327549612131975,0.06180562854283353
Delta_GLI_buffer_1_0m,Macollas,56,-0.13842086435382836,-0.12708759436235725
Delta_GLI_buffer_1_0m,NDVI,56,-0.09534779961653939,-0.11020524588052633
Delta_GLI_buffer_1_0m,Nitratos,56,-0.07000419039208572,-0.03388209639744399
Delta_GLI_buffer_1_0m,Potasio_savia,56,0.21486217865517668,0.1793673575357928
Delta_GRVI_buffer_0_0m,Altura,56,0.12558824663923862,0.17611675050444708
Delta_GRVI_buffer_0_0m,Calcio_savia,56,0.12550766952348028,0.1572323316544872
Delta_GRVI_buffer_0_0m,Diametro,56,0.11279846885187086,0.06707004601827399
Delta_GRVI_buffer_0_0m,Macollas,56,-0.10491068649760554,-0.11176303145974766
Delta_GRVI_buffer_0_0m,NDVI,56,-0.035329776204687205,-0.047671304096700486
Delta_GRVI_buffer_0_0m,Nitratos,56,-0.0924468011872746,-0.0994559314454265
Delta_GRVI_buffer_0_0m,Potasio_savia,56,0.2583564264002613,0.21495938772420023
Delta_GRVI_buffer_0_5m,Altura,56,0.13892021003153732,0.16757237099229652
Delta_GRVI_buffer_0_5m,Calcio_savia,56,0.14065090017483814,0.1552086170891262
Delta_GRVI_buffer_0_5m,Diametro,56,0.14994566875634646,0.08023108970687516
Delta_GRVI_buffer_0_5m,Macollas,56,-0.13378941607182537,-0.10442643982404644
Delta_GRVI_buffer_0_5m,NDVI,56,-0.03802505955820694,-0.05200190948339202
Delta_GRVI_buffer_0_5m,Nitratos,56,-0.09150202859764464,-0.09497254293222936
Delta_GRVI_buffer_0_5m,Potasio_savia,56,0.26540643490815574,0.19663137989333276
Delta_GRVI_buffer_1_0m,Altura,56,0.13892021003153732,0.16757237099229652
Delta_GRVI_buffer_1_0m,Calcio_savia,56,0.14065090017483814,0.1552086170891262
Delta_GRVI_buffer_1_0m,Diametro,56,0.14994566875634646,0.08023108970687516
