Nodo,Variable,Buffer_m,Valor
1,GLI_09,0,0.02583126159482422
2,GLI_09,0,0.12213031788476794
3,GLI_09,0,-0.013604885076532989
4,GLI_09,0,0.030643205431266068
5,GLI_09,0,0.05401138514209975
6,GLI_09,0,0.025895117016606184
7,GLI_09,0,0.06128767081736129
8,GLI_09,0,0.011617446270928812
9,GLI_09,0,-0.02223143089561463
10,GLI_09,0,0.032326518519246596
11,GLI_09,0,-0.030223521437585693
12,GLI_09,0,0.1453561677934409
13,GLI_09,0,0.03286418076338271
14,GLI_09,0,0.11641533955365999
15,GLI_09,0,0.19077106961180076
16,GLI_09,0,0.24885400877319525
17,GLI_09,0,0.08626782967152177
18,GLI_09,0,-0.018072791890403853
19,GLI_09,0,0.09433775259337718
20,GLI_09,0,0.18758226975155334
21,GLI_09,0,-0.019819454089719628
22,GLI_09,0,-0.00623523862803349
23,GLI_09,0,0.22428564153233096
24,GLI_09,0,0.21962038119922433
25,GLI_09,0,0.22503189118098965
26,GLI_09,0,0.06426232820615739
27,GLI_09,0,0.23288844097069364
28,GLI_09,0,0.20963941695964056
29,GLI_09,0,0.09157072647211378
30,GLI_09,0,0.12944463028960998
31,GLI_09,0,-0.003625161039921142
32,GLI_09,0,0.21982832710125075
33,GLI_09,0,0.014680207063531767
34,GLI_09,0,0.11186204685501573
35,GLI_09,0,0.03979109932467914
36,GLI_09,0,0.08823890461782986
37,GLI_09,0,0.004163771002262695
38,GLI_09,0,0.03911914869579755
39,GLI_09,0,0.004635901089478315
40,GLI_09,0,-0.007573482648418637
41,GLI_09,0,0.011000710430013308
42,GLI_09,0,0.01409569489130397
43,GLI_09,0,0.10710969465587483
44,GLI_09,0,0.20497661230476344
45,GLI_09,0,0.19793379901538186
46,GLI_09,0,0.1698081712074932
47,GLI_09,0,0.12364778162870349
48,GLI_09,0,0.11800400386774766
49,GLI_09,0,0.22799759700507571
50,GLI_09,0,0.1602988086165515
51,GLI_09,0,0.1743172176146146
52,GLI_09,0,0.0938294983202553
53,GLI_09,0,0.21044151059982882
54,GLI_09,0,0.1574729193196978
55,GLI_09,0,0.2222037428233058
56,GLI_09,0,0.21970041256812878
1,GLI_09,0.5,0.030686279481159123
2,GLI_09,0.5,0.12792776344001913
3,GLI_09,0.5,-0.017773124234304452
4,GLI_09,0.5,0.035936846706484005
5,GLI_09,0.5,0.044766039942341795
6,GLI_09,0.5,0.021807061062652754
7,GLI_09,0.5,0.05633864791390962
8,GLI_09,0.5,0.010752094825414006
9,GLI_09,0.5,-0.019834459352849495
10,GLI_09,0.5,0.03861136507580565
11,GLI_09,0.5,-0.02987323133992892
12,GLI_09,0.5,0.1410716641326286
13,GLI_09,0.5,0.02288731975378207
14,GLI_09,0.5,0.10395866527448432
15,GLI_09,0.5,0.20180358543352012
16,GLI_09,0.5,0.26233851673823366
17,GLI_09,0.5,0.08403050790954979
18,GLI_09,0.5,-0.017494782679428084
19,GLI_09,0.5,0.09565896008087568
20,GLI_09,0.5,0.17745906095723016
21,GLI_09,0.5,-0.0208029118890621
22,GLI_09,0.5,-0.007195281583676311
23,GLI_09,0.5,0.2202877550512946
24,GLI_09,0.5,0.2114667096449013
25,GLI_09,0.5,0.22154872032745904
26,GLI_09,0.5,0.07288820782323983
27,GLI_09,0.5,0.24388646191474198
28,GLI_09,0.5,0.20686945453830585
29,GLI_09,0.5,0.07827704281955267
30,GLI_09,0.5,0.13509923312830763
31,GLI_09,0.5,-0.012468364584967565
32,GLI_09,0.5,0.20915165506837444
33,GLI_09,0.5,0.017978223907339563
34,GLI_09,0.5,0.10876376095585194
35,GLI_09,0.5,0.041423007145366814
36,GLI_09,0.5,0.09513162033595955
37,GLI_09,0.5,0.0018099780493110776
38,GLI_09,0.5,0.03468652799408606
39,GLI_09,0.5,0.0027797170926838616
40,GLI_09,0.5,-0.009884340756875129
41,GLI_09,0.5,0.01694798006713365
42,GLI_09,0.5,0.015960540489164707
43,GLI_09,0.5,0.10465218116356717
44,GLI_09,0.5,0.17600904327515607
45,GLI_09,0.5,0.19963211116311846
46,GLI_09,0.5,0.17381740375579824
47,GLI_09,0.5,0.139229531333146
48,GLI_09,0.5,0.11299098754769003
49,GLI_09,0.5,0.22627692208176076
50,GLI_09,0.5,0.14985278178005443
51,GLI_09,0.5,0.1721531573228191
52,GLI_09,0.5,0.09533657114747258
53,GLI_09,0.5,0.21371258147979896
54,GLI_09,0.5,0.14594835226873323
55,GLI_09,0.5,0.23265353816424783
56,GLI_09,0.5,0.23250939363009027
1,GLI_09,1,0.030686279481159123
2,GLI_09,1,0.12792776344001913
3,GLI_09,1,-0.017773124234304452
4,GLI_09,1,0.035936846706484005
5,GLI_09,1,0.044766039942341795
6,GLI_09,1,0.021807061062652754
7,GLI_09,1,0.05633864791390962
8,GLI_09,1,0.010752094825414006
9,GLI_09,1,-0.019834459352849495
10,GLI_09,1,0.03861136507580565
11,GLI_09,1,-0.02987323133992892
12,GLI_09,1,0.1410716641326286
13,GLI_09,1,0.02288731975378207
14,GLI_09,1,0.10395866527448432
15,GLI_09,1,0.20180358543352012
16,GLI_09,1,0.26233851673823366
17,GLI_09,1,0.08403050790954979
18,GLI_09,1,-0.017494782679428084
19,GLI_09,1,0.09565896008087568
20,GLI_09,1,0.17745906095723016
21,GLI_09,1,-0.0208029118890621
22,GLI_09,1,-0.007195281583676311
23,GLI_09,1,0.2202877550512946
24,GLI_09,1,0.2114667096449013
25,GLI_09,1,0.22154872032745904
26,GLI_09,1,0.07288820782323983
27,GLI_09,1,0.24388646191474198
28,GLI_09,1,0.20686945453830585
29,GLI_09,1,0.07827704281955267
30,GLI_09,1,0.13509923312830763
31,GLI_09,1,-0.012468364584967565
32,GLI_09,1,0.20915165506837444
33,GLI_09,1,0.017978223907339563
34,GLI_09,1,0.10876376095585194
35,GLI_09,1,0.041423007145366814
36,GLI_09,1,0.09513162033595955
37,GLI_09,1,0.0018099780493110776
38,GLI_09,1,0.03468652799408606
39,GLI_09,1,0.0027797170926838616
40,GLI_09,1,-0.009884340756875129
41,GLI_09,1,0.01694798006713365
42,GLI_09,1,0.015960540489164707
43,GLI_09,1,0.10465218116356717
44,GLI_09,1,0.17600904327515607
45,GLI_09,1,0.19963211116311846
46,GLI_09,1,0.17381740375579824
47,GLI_09,1,0.139229531333146
48,GLI_09,1,0.11299098754769003
