Nodo,X,Y,N ,P,K,pH,T,Hv,CE
1,587213.774,517578.231,23,33,67,8.49,16.5,17.2,335
2,587211.773,517576.571,27,38,77,8.41,16.1,15.6,383
3,587209.772,517574.911,21,29,59,8.43,16.1,13.5,299
4,587207.771,517573.251,17,25,49,7.36,16.1,15.8,248
5,587205.77,517571.59,26,37,74,6.76,16.5,14.3,377
6,587203.769,517569.93,8,11,22,8.56,16.1,16.1,112
7,587201.768,517568.27,15,21,42,7,15.7,14.1,211
8,587199.767,517566.61,14,20,41,8.61,15.3,12.8,207
9,587197.766,517564.95,5,8,16,8.49,15.7,12.8,84
10,587195.765,517563.29,11,16,33,7,16.2,8.8,166
11,587193.764,517561.63,8,11,23,6.24,15.8,14.1,115
12,587191.763,517559.97,11,16,32,6.68,15.8,15.2,166
13,587189.762,517558.31,8,11,23,6.7,16.5,17.3,117
14,587188.015,517556.735,15,21,43,6.82,16.4,13.7,215
15,587190.888,517553.272,16,23,46,6.65,16.4,15.9,234
16,587192.635,517554.846,18,25,52,6.62,16.4,17.3,259
17,587194.636,517556.506,15,21,43,8.5,17,15.5,216
18,587196.637,517558.167,20,28,56,7.97,16.5,15.3,280
19,587198.638,517559.827,15,21,44,6.7,16.4,14.7,219
20,587200.639,517561.487,7,9,20,8.56,17.4,12.6,99
21,587202.64,517563.147,21,30,60,8.67,17.1,14.7,301
22,587204.641,517564.807,23,32,65,6.7,17.1,15.8,331
23,587206.642,517566.467,13,19,38,8.59,17.5,14.7,190
24,587208.643,517568.127,17,24,49,6.76,17.1,18.8,247
25,587210.644,517569.787,12,16,33,6.88,17.4,11.1,169
26,587212.645,517571.447,19,27,54,8.67,17.2,18.3,270
27,587214.646,517573.107,18,25,50,8.66,16.6,14.6,254
28,587216.647,517574.768,24,34,69,8.46,16.6,13,345
