Nodo,X,Y,Macollas,Altura,Diametro,NVDI,Nitratos,Potasio,Calcio
1,587212.895,517579,8.67,28.53,3.36,0.7,4900,4100,1200
2,587211.104,517578,8.33,39.13,3.3,0.69,5500,4100,1000
3,587208.994,517576,7.33,39.9,3.34,0.7,5400,4200,940
4,587207.025,517574,7.67,48.33,3.3,0.66,6100,4400,1400
5,587204.915,517572,8,46.5,3.08,0.68,5800,4400,1600
6,587202.983,517570,5.67,44.43,3.33,0.65,4100,4100,1500
7,587201.014,517569,6.67,44.7,3.13,0.7,3400,4400,1200
8,587198.948,517567,5.67,42.63,2.89,0.69,3800,4400,1400
9,587197.023,517566,4.67,46.47,3.33,0.66,3600,4200,1600
10,587194.69,517564,6.33,48.8,3.28,0.69,5400,4700,1700
11,587193.167,517562,6,41.13,3.22,0.7,5900,4500,2000
12,587191.101,517561,5.67,47.87,3.22,0.69,5400,4900,1800
13,587189.132,517559,7.67,44.33,3.31,0.67,2800,4300,1000
14,587187.054,517557,7.33,62.33,3.53,0.72,4500,4800,2000
15,587188.6,517555,7.33,56.67,4.02,0.72,4900,4800,1700
16,587190.678,517557,6.67,45.33,3.28,0.71,5300,5700,1900
17,587192.647,517559,5.33,37.6,3.26,0.7,5900,4700,2300
18,587194.713,517560,6,49.53,3.34,0.71,5200,5600,1800
19,587196.236,517562,6,48.37,3.62,0.7,5600,5600,1800
20,587198.569,517564,5.67,46.4,3.42,0.71,5700,5000,1300
21,587200.494,517565,6.67,45.9,3.62,0.72,4500,5600,1300
22,587202.56,517567,7,46.03,5.23,0.7,4600,4700,1200
23,587204.529,517569,6.33,45.07,3.06,0.7,5800,4400,1500
24,587206.461,517570,6.33,38.73,2.83,0.67,5600,4400,1600
25,587208.571,517572,6.33,41.9,2.84,0.66,5000,4300,1600
26,587210.54,517574,7.67,40.93,3.51,0.71,4600,4400,1200
27,587212.65,517576,7,46.3,3.41,0.72,4000,4200,750
28,587214.441,517577,9.33,44.3,3.62,0.7,3600,3200,1200
29,587215.987,517575,9.33,50.6,3.58,0.73,3600,4100,950
30,587214.196,517574,8.67,43.4,3.33,0.67,2200,3700,780
31,587212.086,517572,9.33,44.6,3.49,0.69,5800,4600,1000
32,587210.117,517570,7,44.5,3.08,0.67,5200,4200,1300
33,587208.007,517569,6.67,40.8,3.04,0.68,5200,4700,1400
34,587206.075,517567,7,42.07,3.22,0.69,5800,4400,1500
35,587204.105,517565,7,41.97,3.08,0.7,5600,4300,1700
36,587202.04,517564,5.33,47.47,3.21,0.7,4500,5000,1600
37,587200.115,517562,5,40.53,2.67,0.67,3700,5100,1900
38,587197.782,517560,4.67,37.8,2.86,0.67,4000,4300,2000
39,587196.259,517559,6,40.93,3.11,0.69,5500,4000,2300
40,587194.193,517557,5,42.03,3.36,0.71,6700,4500,1800
41,587192.224,517555,7.67,50.67,3.62,0.7,2900,5200,1500
42,587190.146,517554,7.33,49.67,3.4,0.7,5400,5100,1500
43,587191.692,517552,7.67,54.83,3.4,0.72,3400,5000,1900
44,587193.77,517553,7.67,54.67,3.7,0.71,4800,5000,1700
45,587195.739,517555,5,47.6,3.31,0.67,4400,4300,1900
46,587197.805,517557,4.67,47,3.24,0.71,5800,4400,1700
47,587199.328,517558,5.33,46.2,3.09,0.71,4800,4600,1800
48,587201.661,517560,6.33,43,3.4,0.72,5100,4300,1400
49,587203.586,517562,7,36.6,3.02,0.72,4300,4800,1400
50,587205.651,517563,4,39.17,3.11,0.68,3600,4600,1300
51,587207.621,517565,6,40,3.49,0.68,4800,3800,1500
52,587209.552,517567,7.67,42.27,3.2,0.67,5900,4300,1300
53,587211.663,517569,8.67,45.3,3.06,0.69,5700,4800,1200
54,587213.632,517570,9.67,45.27,3.38,0.72,6000,4800,940
55,587215.742,517572,10.67,38.6,3.52,0.71,4800,4900,860
56,587217.533,517574,8.33,49.67,3.38,0.72,3600,3800,1200
